"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.01221	31	0.553571428571429	-0.256826333171928	1.49136169383427	-1.91328433605512
0.0264310555975353	30	0.535714285714286	-0.271066772286538	1.47712125471966	-1.57788549176689
0.130678636356522	29	0.517857142857143	-0.285790029107244	1.46239799789896	-0.883795406075449
0.198965758360578	26	0.464285714285714	-0.333214679035382	1.41497334797082	-0.701221658437584
0.224659173861207	25	0.446428571428571	-0.350248018334163	1.39794000867204	-0.648475842479578
0.268562659169141	24	0.428571428571429	-0.367976785294594	1.38021124171161	-0.570954371578458
0.312901892611726	23	0.410714285714286	-0.386460190988608	1.36172783601759	-0.504591809981505
0.416933199325743	22	0.392857142857143	-0.405765346183994	1.34242268082221	-0.37993352173647
0.432985376196472	21	0.375	-0.425968732272281	1.32221929473392	-0.363526771416673
0.536707670152011	20	0.357142857142857	-0.447158031342219	1.30102999566398	-0.270262198115441
0.540003306656543	19	0.339285714285714	-0.469434426053371	1.27875360095283	-0.267603580809822
0.54555794247724	18	0.321428571428571	-0.492915521902894	1.25527250510331	-0.263159117189709
0.577392083423387	17	0.303571428571429	-0.517739105627927	1.23044892137827	-0.238529174991336
0.707563838533316	16	0.285714285714286	-0.544068044350276	1.20411998265592	-0.150234370684223
0.74300053674274	15	0.267857142857143	-0.572096767950519	1.17609125905568	-0.129010872505473
0.762205567940828	14	0.25	-0.602059991327962	1.14612803567824	-0.117927883014462
0.804115135785915	13	0.232142857142857	-0.634244674699364	1.11394335230684	-0.0946817631215262
0.907848364541127	12	0.214285714285714	-0.669006780958576	1.07918124604762	-0.0419866844552231
0.959567875556492	11	0.196428571428571	-0.706795341847975	1.04139268515823	-0.0179242997851582
0.96389616012307	10	0.178571428571429	-0.7481880270062	1	-0.0159697498260114
0.980129371460727	9	0.160714285714286	-0.793945517566875	0.954242509439325	-0.00871659614089617
1.06802882573459	8	0.142857142857143	-0.845098040014257	0.903089986991944	0.0285829743110081
1.29866964067079	7	0.125	-0.903089986991944	0.845098040014257	0.113498688039355
1.3518779271813	6	0.107142857142857	-0.970036776622557	0.778151250383644	0.130937477149183
1.57467496646133	5	0.0892857142857143	-1.04921802267018	0.698970004336019	0.19719092330661
1.70334409753285	4	0.0714285714285714	-1.14612803567824	0.602059991327962	0.231302389926409
1.7368815223843	3	0.0535714285714286	-1.27106677228654	0.477121254719662	0.239770194998851
1.77514925873854	2	0.0357142857142857	-1.44715803134222	0.301029995663981	0.249234875431251
2.14118510885911	1	0.0178571428571429	-1.7481880270062	0	0.330654214366351
