"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.010412722986808	29	0.298969072164948	-0.524373736367289	1.46239799789896	-1.98243568513826
0.0482562845648108	28	0.288659793814433	-0.539613702924026	1.44715803134222	-1.31644611912672
0.0672901738740509	27	0.278350515463918	-0.555407970107258	1.43136376415899	-1.17204834950324
0.123569475599761	26	0.268041237113402	-0.571798386295427	1.41497334797082	-0.908088796365218
0.151225024714827	25	0.257731958762887	-0.588831725594207	1.39794000867204	-0.820376335843511
0.230495448978933	18	0.185567010309278	-0.731499229162939	1.25527250510331	-0.637337645124001
0.500840069083934	15	0.154639175257732	-0.810680475210564	1.17609125905568	-0.3003009332203
0.567968680474549	14	0.144329896907216	-0.840643698588007	1.14612803567824	-0.245675611951125
0.719788570206557	13	0.134020618556701	-0.872828381959408	1.11394335230684	-0.142795053953784
0.759150740367155	12	0.123711340206186	-0.90759048821862	1.07918124604762	-0.119671980086544
0.770806890213106	11	0.11340206185567	-0.94537904910802	1.04139268515823	-0.113054411857585
0.809322458294591	10	0.103092783505155	-0.986771734266245	1	-0.091878407984953
0.818733170819407	9	0.0927835051546392	-1.03252922482692	0.954242509439325	-0.0868576138952848
1.03182724658733	8	0.0824742268041237	-1.0836817472743	0.903089986991944	0.0136069917349016
1.24540219238606	7	0.0721649484536082	-1.14167369425199	0.845098040014257	0.0953096259110992
1.25647391258235	6	0.0618556701030928	-1.2086204838826	0.778151250383644	0.0991534760251753
1.3831294846109	5	0.0515463917525773	-1.28780172993023	0.698970004336019	0.140862839414927
1.46955280708112	4	0.0412371134020619	-1.38471174293828	0.602059991327962	0.167185196677347
1.57791956201829	3	0.0309278350515464	-1.50965047954658	0.477121254719662	0.198084860304333
1.71346756315957	2	0.0206185567010309	-1.68574173860226	0.301029995663981	0.233875887421184
1.74100943478202	1	0.0103092783505155	-1.98677173426624	0	0.24080112462834
