"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.0908099405351639	15	0.375	-0.425968732272281	1.17609125905568	-1.04186660871159
0.397513301664234	14	0.35	-0.455931955649724	1.14612803567824	-0.400648334321416
0.438621384225621	13	0.325	-0.488116639021126	1.11394335230684	-0.357910198867351
0.571034318933635	12	0.3	-0.522878745280338	1.07918124604762	-0.243337790045544
0.655423748196539	10	0.25	-0.602059991327962	1	-0.1834778267256
0.678252690964068	9	0.225	-0.647817481888638	0.954242509439325	-0.168608474501821
0.789798346098547	8	0.2	-0.698970004336019	0.903089986991944	-0.102483780046204
0.924983053844772	7	0.175	-0.756961951313706	0.845098040014257	-0.0338662236816384
1.17119465931159	6	0.15	-0.823908740944319	0.778151250383644	0.0686290833208802
1.36807668863993	5	0.125	-0.903089986991944	0.698970004336019	0.136110442793196
1.37472951048561	4	0.1	-1	0.602059991327962	0.13821725550478
1.64979909031373	3	0.075	-1.1249387366083	0.477121254719662	0.217431059801353
2.53622223748235	2	0.05	-1.30102999566398	0.301029995663981	0.404187306103814
3.01345681701265	1	0.025	-1.60205999132796	0	0.47906497238681
