Order	Perspective	Nsp	interceptSemilog	slopeSemilog	r2Semilog	interceptSemilog2	slopeSemilog2	r2Semilog2	interceptPlain	slopePlain	r2Plain	interceptPlain2	slopePlain2	r2Plain2	interceptLoglog	slopeLoglog	r2Loglog	BestModel	R2Best	corr
Rodentia	Present	2221	+AC0-0.083	+AC0-0.276	0.9652	+AC0-0.344	+AC0-0.025	0.58	0.679	+AC0-0.145	0.6136	0.526	+AC0-0.009	0.1826	+AC0-0.547	+AC0-0.691	0.7154	law	0.9652	0.7767704591
Chiroptera	Present	1141	0.063	+AC0-0.201	0.9572	+AC0-0.152	+AC0-0.027	0.9677	0.82	+AC0-0.13	0.8976	0.647	+AC0-0.014	0.6114	+AC0-0.336	+AC0-0.609	0.5832	law2	0.9677	0.8112817838
Eulipotyphla	Present	454	+AC0-0.095	+AC0-0.257	0.9746	+AC0-0.287	+AC0-0.034	0.7689	0.685	+AC0-0.142	0.6501	0.561	+AC0-0.015	0.316	+AC0-0.557	+AC0-0.669	0.7666	law	0.9746	0.8846706342
Primates	Present	425	+AC0-0.015	+AC0-0.487	0.9925	+AC0-0.26	+AC0-0.123	0.8371	0.73	+AC0-0.278	0.7308	0.568	+AC0-0.056	0.3892	+AC0-0.65	+AC0-0.787	0.7303	law	0.9925	0.9970007158
Carnivora	Present	288	0.062	+AC0-0.113	0.9764	+AC0-0.181	+AC0-0.008	0.9197	0.815	+AC0-0.072	0.8441	0.632	+AC0-0.004	0.5461	+AC0-0.09	+AC0-0.748	0.6591	law	0.9764	0.8132674208
Artiodactyla	Present	230	0.04	+AC0-0.198	0.9918	+AC0-0.234	+AC0-0.02	0.8237	0.786	+AC0-0.121	0.7813	0.594	+AC0-0.01	0.4104	+AC0-0.269	+AC0-0.813	0.7099	law	0.9918	0.8689285511
Diprotodontia	Present	138	0.028	+AC0-0.49	0.9869	+AC0-0.196	+AC0-0.152	0.9163	0.789	+AC0-0.315	0.8492	0.618	+AC0-0.081	0.5386	+AC0-0.597	+AC0-0.711	0.6872	law	0.9869	0.8972192013
Didelphimorphia	Present	95	0.067	+AC0-0.296	0.9788	+AC0-0.184	+AC0-0.053	0.8987	0.825	+AC0-0.195	0.8367	0.633	+AC0-0.029	0.5408	+AC0-0.39	+AC0-0.719	0.6484	law	0.9788	0.9362505789
Lagomorpha	Present	91	+AC0-0.048	+AC0-0.197	0.9549	+AC0-0.254	+AC0-0.023	0.8077	0.726	+AC0-0.12	0.7008	0.583	+AC0-0.012	0.4102	+AC0-0.391	+AC0-0.67	0.708	law	0.9549	0.9348778563
Dasyuromorphia	Present	73	0.137	+AC0-0.489	0.9687	+AC0-0.119	+AC0-0.157	0.9688	0.891	+AC0-0.342	0.906	0.685	+AC0-0.096	0.687	+AC0-0.481	+AC0-0.883	0.6822	law2	0.9688	0.7145099224
Afrosoricida	Present	54	0.136	+AC0-0.858	0.9187	+AC0-0.188	+AC0-0.366	0.7571	0.888	+AC0-0.592	0.8063	0.638	+AC0-0.206	0.4406	+AC0-0.694	+AC0-0.939	0.672	law	0.9187	0.7858935245
Cingulata	Present	20	0.183	+AC0-0.273	0.9316	+AC0-0.063	+AC0-0.056	0.9593	0.977	+AC0-0.222	0.9607	0.754	+AC0-0.042	0.8379	+AC0-0.174	+AC0-0.934	0.7	lin	0.9607	0.9414324377
Scandentia	Present	19	0.196	+AC0-0.507	0.8026	0.008	+AC0-0.235	0.9011	1.033	+AC0-0.453	0.9816	0.841	+AC0-0.196	0.9619	+AC0-0.418	+AC0-0.734	0.5437	lin	0.9816	0.9351769882
Peramelemorphia	Present	19	+AC0-0.01	+AC0-0.345	0.9468	+AC0-0.139	+AC0-0.12	0.9616	0.814	+AC0-0.277	0.9381	0.687	+AC0-0.085	0.7498	+AC0-0.491	+AC0-0.31	0.5189	law2	0.9616	0.662779187
Macroscelidea	Present	19	0.031	+AC0-0.376	0.9635	+AC0-0.139	+AC0-0.125	0.9581	0.841	+AC0-0.297	0.9239	0.686	+AC0-0.089	0.744	+AC0-0.475	+AC0-0.683	0.7478	law	0.9635	0.9769023591
Perissodactyla	Present	16	0.124	+AC0-0.253	0.9569	+AC0-0.103	+AC0-0.05	0.9589	0.922	+AC0-0.205	0.9285	0.72	+AC0-0.038	0.7943	+AC0-0.166	+AC0-1.034	0.8385	law2	0.9589	0.7127883792
Pilosa	Present	10	0.071	+AC0-0.146	0.8136	+AC0-0.046	+AC0-0.026	0.9	0.933	+AC0-0.139	0.9686	0.802	+AC0-0.023	0.9441	+AC0-0.348	+AC0-0.193	0.3426	lin	0.9686	0.9375609753
