"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.0368145351729449	19	0.387755102040816	-0.411442479075685	1.27875360095283	-1.43398067863423
0.0496407091004953	18	0.36734693877551	-0.434923574925208	1.25527250510331	-1.30416202338135
0.0769030558560582	16	0.326530612244898	-0.486076097372589	1.20411998265592	-1.11405640252555
0.0852607178013416	15	0.306122448979592	-0.514104820972832	1.17609125905568	-1.06925101539227
0.124597190979572	14	0.285714285714286	-0.544068044350276	1.14612803567824	-0.904491748654562
0.31238168960424	13	0.26530612244898	-0.576252727721677	1.11394335230684	-0.505314430418596
0.350310091204921	12	0.244897959183673	-0.611014833980889	1.07918124604762	-0.455547352001493
0.364783223298441	11	0.224489795918367	-0.648803394870289	1.04139268515823	-0.437965143469867
0.45306496222948	10	0.204081632653061	-0.690196080028514	1	-0.343839522677958
0.472630648604172	9	0.183673469387755	-0.735953570589189	0.954242509439325	-0.325478119165588
0.475619133340954	8	0.163265306122449	-0.78710609303657	0.903089986991944	-0.322740682780731
0.476783441407103	7	0.142857142857143	-0.845098040014257	0.845098040014257	-0.321678835965803
0.651031796458514	6	0.122448979591837	-0.91204482964487	0.778151250383644	-0.186397799927578
0.698506692881321	5	0.102040816326531	-0.991226075692495	0.698970004336019	-0.155829428250586
0.771430035712896	4	0.0816326530612245	-1.08813608870055	0.602059991327962	-0.112703455837586
0.960518859783607	3	0.0612244897959184	-1.21307482530885	0.477121254719662	-0.0174941033483181
1.14582972557008	2	0.0408163265306122	-1.38916608436453	0.301029995663981	0.0591200846997712
1.3136511180675	1	0.0204081632653061	-1.69019608002851	0	0.118480039792643
