"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.137747377470499	21	0.25	-0.602059991327962	1.32221929473392	-0.860916660795109
0.1998	18	0.214285714285714	-0.669006780958576	1.25527250510331	-0.699404516110037
0.224757869717614	17	0.202380952380952	-0.693830364683608	1.23044892137827	-0.648285092853475
0.257940690857414	16	0.19047619047619	-0.720159303405957	1.20411998265592	-0.588480141301858
0.262204462204593	14	0.166666666666667	-0.778151250383644	1.14612803567824	-0.581359921744554
0.410099561082428	13	0.154761904761905	-0.810335933755045	1.11394335230684	-0.387110695524955
0.45658659638671	12	0.142857142857143	-0.845098040014257	1.07918124604762	-0.34047684186184
0.519688676035951	11	0.130952380952381	-0.882886600903657	1.04139268515823	-0.284256746307177
0.634547303201267	10	0.119047619047619	-0.924279286061882	1	-0.197535997283153
0.668492834666161	9	0.107142857142857	-0.970036776622557	0.954242509439325	-0.174903243423126
0.700620182409842	8	0.0952380952380952	-1.02118929906994	0.903089986991944	-0.154517356337512
0.798891607165828	7	0.0833333333333333	-1.07918124604762	0.845098040014257	-0.0975121413407262
1.12378934858807	6	0.0714285714285714	-1.14612803567824	0.778151250383644	0.0506849114825437
1.12570637823546	4	0.0476190476190476	-1.32221929473392	0.602059991327962	0.0514251268020282
1.23728907293324	3	0.0357142857142857	-1.44715803134222	0.477121254719662	0.0924711774893418
1.25484014918236	2	0.0238095238095238	-1.6232492903979	0.301029995663981	0.0985884056978491
1.73887797444214	1	0.0119047619047619	-1.92427928606188	0	0.240269106507689
