"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.22088721103767	12	0.4	-0.397940008672038	1.07918124604762	-0.655829428250586
0.234942716422536	11	0.366666666666667	-0.435728569561437	1.04139268515823	-0.62903801421427
0.326837987388247	10	0.333333333333333	-0.477121254719662	1	-0.485667472475238
0.37147705178113	9	0.3	-0.522878745280338	0.954242509439325	-0.430068009878251
0.520754462294852	8	0.266666666666667	-0.574031267727719	0.903089986991944	-0.283366999936668
0.618021844274132	7	0.233333333333333	-0.632023214705406	0.845098040014257	-0.208996174296207
0.783081202685903	6	0.2	-0.698970004336019	0.778151250383644	-0.106193200841331
0.852896148426055	5	0.166666666666667	-0.778151250383644	0.698970004336019	-0.0691038468058502
1.03973291762837	4	0.133333333333333	-0.8750612633917	0.602059991327962	0.0169217938211212
1.29770346381598	2	0.0666666666666667	-1.17609125905568	0.301029995663981	0.113175463850019
1.35982928340288	1	0.0333333333333333	-1.47712125471966	0	0.133484389304151
