"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.0604730881353873	90	0.989010989010989	-0.00479888288176871	1.95424250943932	-1.21843785302605
0.0674816478035543	88	0.967032967032967	-0.014558720170925	1.94448267215017	-1.17081432111472
0.0692839430452494	87	0.956043956043956	-0.0195221397024751	1.93951925261862	-1.15936740398632
0.0845287631495045	86	0.945054945054945	-0.0245429410775259	1.93449845124357	-1.07299548570642
0.118598550922111	85	0.934065934065934	-0.0296224666068009	1.92941892571429	-0.925920617298702
0.127153001768777	84	0.923076923076923	-0.0347621062592119	1.92427928606188	-0.895673382745623
0.167402542343182	83	0.912087912087912	-0.0399632999450197	1.91907809237607	-0.776237950660376
0.167846632374093	82	0.901098901098901	-0.0452275399373769	1.91381385238372	-0.77508736788645
0.171029262206099	81	0.89010989010989	-0.0505563734424439	1.90848501887865	-0.766929577751685
0.174549449572359	80	0.879120879120879	-0.05595140532915	1.90308998699194	-0.758081516360338
0.18016696076782	79	0.868131868131868	-0.0614143010306522	1.89762709129044	-0.744324847495622
0.181434155890777	78	0.857142857142857	-0.0669467896306132	1.89209460269048	-0.74128095146258
0.368261407987605	77	0.846153846153846	-0.0725506671486117	1.88649072517248	-0.433843790719339
0.40270364318418	76	0.835164835164835	-0.0782278000403022	1.88081359228079	-0.395014441394235
0.426937722518983	75	0.824175824175824	-0.0839801289293936	1.8750612633917	-0.369635470967752
0.456579413692027	74	0.813186813186813	-0.0898096725901174	1.86923171973098	-0.340483673926616
0.48768559689695	73	0.802197802197802	-0.0957185322006377	1.86332286012046	-0.311860070491159
0.492455426937062	72	0.791208791208791	-0.101708895889825	1.85733249643127	-0.307633072194402
0.503883382718902	71	0.78021978021978	-0.107783043602018	1.85125834871908	-0.29766996375672
0.531792848122496	70	0.769230769230769	-0.113943352306837	1.84509804001426	-0.274257507624649
0.535761493308556	69	0.758241758241758	-0.120192301583838	1.83884909073726	-0.27102850357695
0.590789432126511	68	0.747252747252747	-0.126532479614857	1.83250891270624	-0.228567281826895
