"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.0786664143624963	18	0.947368421052632	-0.0234810958495229	1.25527250510331	-1.10421064464555
0.188344257024741	17	0.894736842105263	-0.048304679574555	1.23044892137827	-0.725047617725062
0.224990636492155	16	0.842105263157895	-0.0746336182969042	1.20411998265592	-0.647835555685998
0.335648727001943	15	0.789473684210526	-0.102662341897148	1.17609125905568	-0.474114995602792
0.431299070517235	14	0.736842105263158	-0.132625565274591	1.14612803567824	-0.365221477791147
0.45284459733699	13	0.684210526315789	-0.164810248645992	1.11394335230684	-0.344050809241149
0.641715536809652	12	0.631578947368421	-0.199572354905204	1.07918124604762	-0.192657445718918
0.664572050459172	11	0.578947368421053	-0.237360915794604	1.04139268515823	-0.177457927557153
0.674024633899324	10	0.526315789473684	-0.278753600952829	1	-0.171324230807347
0.906319150370833	9	0.473684210526316	-0.324511091513504	0.954242509439325	-0.0427188433409297
1.10001934098136	8	0.421052631578947	-0.375663613960885	0.903089986991944	0.0414003211651645
1.51962296683953	7	0.368421052631579	-0.433655560938572	0.845098040014257	0.181735848647028
1.7536942675812	6	0.315789473684211	-0.500602350569185	0.778151250383644	0.243953882373379
1.93161828577285	5	0.263157894736842	-0.57978359661681	0.698970004336019	0.285921308020842
1.99793831184336	4	0.210526315789474	-0.676693609624867	0.602059991327962	0.300582074861125
2.01796880094215	3	0.157894736842105	-0.801632346233167	0.477121254719662	0.304914447488896
2.66658657413206	2	0.105263157894737	-0.977723605288848	0.301029995663981	0.425955688171709
3.09744614908558	1	0.0526315789473684	-1.27875360095283	0	0.491003764649949
