"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.268293014647766	19	0.95	-0.0222763947111523	1.27875360095283	-0.571390634593891
0.583615451326007	18	0.9	-0.0457574905606751	1.25527250510331	-0.233873218600395
0.827056488807818	17	0.85	-0.0705810742857073	1.23044892137827	-0.0824648266751452
1.04103868387432	16	0.8	-0.0969100130080564	1.20411998265592	0.0174668677247664
1.14189516132323	15	0.75	-0.1249387366083	1.17609125905568	0.0576262326761443
1.31103660121515	14	0.7	-0.154901959985743	1.14612803567824	0.117614816391748
1.3798480953122	13	0.65	-0.187086643357144	1.11394335230684	0.139831278431034
1.76001952405015	12	0.6	-0.221848749616356	1.07918124604762	0.245517485507453
1.80070797402764	11	0.55	-0.259637310505756	1.04139268515823	0.255443287749227
1.93235711352884	10	0.5	-0.301029995663981	1	0.286087390248733
2.16006914403249	9	0.45	-0.346787486224656	0.954242509439325	0.33446765318387
2.1621413416479	8	0.4	-0.397940008672038	0.903089986991944	0.334884080871378
2.28623923910574	7	0.35	-0.455931955649724	0.845098040014257	0.35912167434757
2.82496425894557	6	0.3	-0.522878745280338	0.778151250383644	0.451012957556906
3.28232380995202	5	0.25	-0.602059991327962	0.698970004336019	0.51618142313341
3.34457146474019	4	0.2	-0.698970004336019	0.602059991327962	0.52434048012442
4.0074211994779	3	0.15	-0.823908740944319	0.477121254719662	0.602864991296079
4.31570816889023	2	0.1	-1	0.301029995663981	0.635052069716696
4.34453492088804	1	0.05	-1.30102999566398	0	0.637943292383637
