"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.0380893390596371	28	0.288659793814433	-0.539613702924026	1.44715803134222	-1.41919656331288
0.056495619741711	27	0.278350515463918	-0.555407970107258	1.43136376415899	-1.24798522290177
0.135203741257408	26	0.268041237113402	-0.571798386295427	1.41497334797082	-0.869011290754094
0.142517256849829	25	0.257731958762887	-0.588831725594207	1.39794000867204	-0.846132545473757
0.199135979923268	18	0.185567010309278	-0.731499229162939	1.25527250510331	-0.700850264480849
0.363349136850495	15	0.154639175257732	-0.810680475210564	1.17609125905568	-0.439675867152329
0.460445340078494	14	0.144329896907216	-0.840643698588007	1.14612803567824	-0.33682191793455
0.587531398863073	13	0.134020618556701	-0.872828381959408	1.11394335230684	-0.230968918862886
0.592286160525468	12	0.123711340206186	-0.90759048821862	1.07918124604762	-0.227468415050499
0.69052795779751	11	0.11340206185567	-0.94537904910802	1.04139268515823	-0.160818733202101
0.717590747850054	10	0.103092783505155	-0.986771734266245	1	-0.144123169439398
0.724365367925607	9	0.0927835051546392	-1.03252922482692	0.954242509439325	-0.140042321580433
0.915729817959424	8	0.0824742268041237	-1.0836817472743	0.903089986991944	-0.0382326441026112
1.08046683868595	7	0.0721649484536082	-1.14167369425199	0.845098040014257	0.0336114422079583
1.11413758346983	6	0.0618556701030928	-1.2086204838826	0.778151250383644	0.0469388246368696
1.21436714092156	5	0.0515463917525773	-1.28780172993023	0.698970004336019	0.0843500073083913
1.28529181044617	4	0.0412371134020619	-1.38471174293828	0.602059991327962	0.109001740335777
1.39893868518245	3	0.0309278350515464	-1.50965047954658	0.477121254719662	0.145798679988272
1.51162378131928	2	0.0206185567010309	-1.68574173860226	0.301029995663981	0.179443715749934
1.53069865298497	1	0.0103092783505155	-1.98677173426624	0	0.184889700020685
