"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.00111	1125	0.614418350628072	-0.211535821854315	3.05115252244738	-2.95467702121334
0.00156977705423414	1124	0.613872200983069	-0.211922033068654	3.05076631123304	-2.80416202338135
0.00192257639640145	1123	0.613326051338067	-0.212308588040239	3.05037975626146	-2.71611639385351
0.00248203545502477	1122	0.612779901693064	-0.212695487381554	3.04999285692014	-2.60519201904533
0.00271893361448933	1121	0.612233752048061	-0.213082731706723	3.04960561259497	-2.56560139602152
0.00333	1119	0.611141452758056	-0.213858257773346	3.04883008652835	-2.47755576649368
0.00587356791056339	1118	0.610595303113053	-0.214246540751292	3.0484418035504	-2.23109800554223
0.00627910821693654	1115	0.608956854178045	-0.215413476917517	3.04727486738418	-2.20210203205339
0.0070202564055738	1113	0.607864554888039	-0.216193179966988	3.04649516433471	-2.15364702554936
0.0074461063650743	1112	0.607318405243037	-0.216583557055658	3.04610478724604	-2.12807076432567
0.00769030558560582	1111	0.606772255598034	-0.216974285360829	3.04571405894087	-2.11405640252555
0.00866937714025639	1110	0.606226105953031	-0.217365365515039	3.04532297878666	-2.06201210370796
0.00874014874015311	1109	0.605679956308028	-0.217756798152536	3.04493154614916	-2.05848117646422
0.00881035186584509	1108	0.605133806663026	-0.218148583909286	3.04453976039241	-2.05500674648655
0.00901768262914592	1107	0.604587657018023	-0.218540723422974	3.04414762087872	-2.04490505344241
0.00928692629452824	1105	0.603495357728017	-0.219326066280567	3.04336227802113	-2.03212800120621
0.00980325456162391	1103	0.602403058438012	-0.220112831861506	3.04257551244019	-2.0086297198681
0.010173318042802	1101	0.601310759148007	-0.220901025329945	3.04178731897175	-1.9925373781824
0.0102336943475951	1100	0.600764609503004	-0.221295659143471	3.04139268515822	-1.9899675583562
0.011319823320176	1099	0.600218459858001	-0.221690651878206	3.04099769242349	-1.94616035156395
0.0119034238771876	1098	0.599672310212998	-0.222086004187623	3.04060234011407	-1.92432810103654
0.0120064857472951	1097	0.599126160567996	-0.222481716726985	3.04020662757471	-1.92058409034026
0.0121594407766147	1096	0.598580010922993	-0.222877790153346	3.03981055414835	-1.91508639818953
0.01221	1092	0.596395412342982	-0.224465705932978	3.03822263836872	-1.91328433605512
0.0124597190979572	1091	0.595849262697979	-0.224863593713355	3.03782475058834	-1.90449174865456
0.0128491789620971	1090	0.595303113052977	-0.225261846361073	3.03742649794062	-1.89112462203094
0.01332	1089	0.594756963407974	-0.225660464545922	3.03702787975578	-1.87549577516572
0.0135946680724466	1088	0.594210813762971	-0.226059448939535	3.03662889536216	-1.8666313916855
0.0137299417333068	1087	0.593664664117968	-0.226458800215402	3.0362295440863	-1.86233130580454
0.0140405128111476	1086	0.593118514472966	-0.226858519048868	3.03582982525283	-1.85261702988538
0.0141279934881072	1085	0.592572364827963	-0.227258606117148	3.03542973818455	-1.84991951394203
0.014725814069178	1084	0.59202621518296	-0.227659062099328	3.03502928220237	-1.83192068730627
0.0148922127301486	1082	0.590933915892955	-0.228461083531146	3.03422726077055	-1.82704076866169
0.0152599770642029	1081	0.590387766247952	-0.228862650348386	3.03382569395331	-1.81644611912672
0.0159314971047921	1080	0.589841616602949	-0.229264588814747	3.03342375548695	-1.79774341102877
0.0160854281882703	1079	0.589295466957946	-0.229666899618786	3.03302144468291	-1.79356737384638
0.016313601686936	1078	0.588749317312944	-0.230069583450977	3.03261876085072	-1.78745014563788
0.016538627512584	1077	0.588203167667941	-0.230472641003715	3.03221570329798	-1.78150053398802
0.0167606324463011	1076	0.587657018022938	-0.230876072971326	3.03181227133037	-1.77570959771312
0.0173031875676131	1075	0.587110868377936	-0.231279880050072	3.03140846425162	-1.76187388441419
0.017515504560246	1074	0.586564718732933	-0.23168406293816	3.03100428136354	-1.75657734766547
0.0176207037316902	1071	0.584926269797925	-0.232898873469841	3.02978947083186	-1.75397675082257
0.0180353652582918	1070	0.584380120152922	-0.233304566616487	3.02938377768521	-1.74387505777843
0.0184072675864725	1069	0.583833970507919	-0.233710639092918	3.02897770520878	-1.73501067429821
