"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.01	192	0.415584415584416	-0.381340746852576	2.28330122870355	-2
0.04	188	0.406926406926407	-0.390484126292446	2.27415784926368	-1.39794000867204
0.06	186	0.402597402597403	-0.395129031338209	2.26951294421792	-1.22184874961636
0.08	185	0.4004329004329	-0.397470247153112	2.26717172840301	-1.09691001300806
0.1	183	0.396103896103896	-0.402190885825696	2.26245108973043	-1
0.12	182	0.393939393939394	-0.404570587571051	2.26007138798507	-0.920818753952375
0.13	181	0.391774891774892	-0.406963400686941	2.25767857486918	-0.886056647693163
0.2	179	0.387445887445887	-0.411788944576232	2.25285303097989	-0.698970004336019
0.24	178	0.385281385281385	-0.414221973247232	2.25042000230889	-0.619788758288394
0.25	175	0.378787878787879	-0.421603926869831	2.24303804868629	-0.602059991327962
0.28	174	0.376623376623377	-0.424092727273526	2.2405492482826	-0.552841968657781
0.29	171	0.37012987012987	-0.431645865163972	2.23299611039215	-0.537602002101044
0.31	169	0.365800865800866	-0.436755270942452	2.22788670461367	-0.508638306165727
0.32	168	0.363636363636364	-0.439332693830263	2.22530928172586	-0.494850021680094
0.33	166	0.359307359307359	-0.44453388751607	2.22010808804005	-0.481486060122112
0.35	165	0.357142857142857	-0.447158031342219	2.21748394421391	-0.455931955649724
0.43	163	0.352813852813853	-0.452454371152168	2.21218760440396	-0.366531544420413
0.45	158	0.341991341991342	-0.465984888601703	2.19865708695442	-0.346787486224656
0.47	157	0.33982683982684	-0.468742323146892	2.19589965240923	-0.327902142064283
0.49	154	0.333333333333333	-0.477121254719662	2.18752072083646	-0.309803919971486
0.51	149	0.322510822510823	-0.491455707143851	2.17318626841227	-0.292429823902064
0.55	148	0.32034632034632	-0.494380260161168	2.17026171539496	-0.259637310505756
0.64	147	0.318181818181818	-0.497324640807949	2.16731733474818	-0.193820026016113
0.65	146	0.316017316017316	-0.500289119771688	2.16435285578444	-0.187086643357144
0.66	142	0.307359307359307	-0.512353631173069	2.15228834438306	-0.180456064458131
0.68	140	0.303030303030303	-0.518513939877888	2.14612803567824	-0.167491087293764
0.72	139	0.300865800865801	-0.52162717530203	2.1430148002541	-0.142667503568732
0.77	137	0.296536796536797	-0.527921408399719	2.13672056715641	-0.113509274827518
0.78	136	0.294372294372294	-0.531103067185908	2.13353890837022	-0.10790539730952
0.82	135	0.292207792207792	-0.534308207061119	2.13033376849501	-0.0861861476162833
0.85	134	0.29004329004329	-0.537537177191318	2.12710479836481	-0.0705810742857073
0.86	133	0.287878787878788	-0.54079033458904	2.12385164096709	-0.0655015487564323
0.87	132	0.285714285714286	-0.544068044350276	2.12057393120585	-0.0604807473813815
0.89	129	0.279220779220779	-0.554052265256877	2.11058971029925	-0.0506099933550872
0.9	128	0.277056277056277	-0.557432005908257	2.10720996964787	-0.0457574905606751
0.91	127	0.274891774891775	-0.560838254600169	2.10380372095596	-0.0409586076789064
0.93	126	0.272727272727273	-0.564271430438563	2.10037054511756	-0.0315170514460649
0.95	125	0.270562770562771	-0.567731962548069	2.09691001300806	-0.0222763947111523
0.96	124	0.268398268398268	-0.57122029039389	2.09342168516224	-0.0177287669604316
0.97	123	0.266233766233766	-0.574736864116728	2.0899051114394	-0.0132282657337552
1	122	0.264069264069264	-0.578282144881377	2.08635983067475	0
1.06	121	0.261904761904762	-0.581856605239675	2.08278537031645	0.0253058652647703
1.1	120	0.25974025974026	-0.585460729508501	2.07918124604762	0.0413926851582251
1.15	119	0.257575757575758	-0.589095014163595	2.07554696139253	0.0606978403536116
1.16	117	0.253246753246753	-0.596456113809964	2.06818586174616	0.0644579892269184
1.17	115	0.248917748917749	-0.603944135202514	2.06069784035361	0.0681858617461616
1.18	113	0.244588744588745	-0.611563532072706	2.05307844348342	0.0718820073061254
1.2	112	0.242424242424242	-0.615423952885944	2.04921802267018	0.0791812460476248
1.22	111	0.24025974025974	-0.619318996769468	2.04532297878666	0.0863598306747482
1.24	110	0.238095238095238	-0.6232492903979	2.04139268515822	0.0934216851622351
1.3	108	0.233766233766234	-0.631218220069176	2.03342375548695	0.113943352306837
1.31	107	0.231601731601732	-0.635258197870916	2.02938377768521	0.117271295655764
1.36	105	0.227272727272727	-0.643452676486187	2.02118929906994	0.133538908370218
1.38	104	0.225108225108225	-0.647608636257345	2.01703333929878	0.139879086401236
1.42	101	0.218614718614719	-0.660320601773483	2.00432137378264	0.152288344383056
1.44	100	0.216450216450216	-0.664641975556125	2	0.15836249209525
1.45	99	0.214285714285714	-0.669006780958576	1.99563519459755	0.161368002234975
1.47	96	0.207792207792208	-0.682370742516557	1.98227123303957	0.167317334748176
1.51	95	0.205627705627706	-0.686918370267278	1.97772360528885	0.178976947293169
1.52	94	0.203463203463203	-0.691514121956427	1.9731278535997	0.181843587944773
1.58	93	0.201298701298701	-0.69615902700219	1.96848294855394	0.198657086954423
1.59	92	0.199134199134199	-0.70085414821057	1.96378782734556	0.201397124320452
1.63	91	0.196969696969697	-0.705600583235032	1.95904139232109	0.212187604403958
1.64	87	0.188311688311688	-0.725122722937507	1.93951925261862	0.214843848047698
1.65	85	0.183982683982684	-0.735223049841833	1.92941892571429	0.217483944213906
1.67	83	0.17965367965368	-0.745563883180052	1.91907809237607	0.222716471147583
1.73	82	0.177489177489178	-0.750828123172409	1.91381385238372	0.238046103128795
1.76	81	0.175324675324675	-0.756156956677476	1.90848501887865	0.24551266781415
1.78	79	0.170995670995671	-0.767014884265684	1.89762709129044	0.250420002308894
