"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.98	34	0.693877551020408	-0.158717162986259	1.53147891704226	-0.00877392430750515
2.58	32	0.653061224489796	-0.185046101708608	1.50514997831991	0.41161970596323
2.77	31	0.63265306122449	-0.198834386194241	1.49136169383427	0.442479769064449
3.17	30	0.612244897959184	-0.213074825308851	1.47712125471966	0.501059262217751
3.46	29	0.591836734693878	-0.227798082129558	1.46239799789896	0.539076098792777
3.61	28	0.571428571428571	-0.243038048686294	1.44715803134222	0.557507201905658
3.95	27	0.551020408163265	-0.258832315869526	1.43136376415899	0.59659709562646
4.54	26	0.530612244897959	-0.275222732057696	1.41497334797082	0.657055852857104
4.67	25	0.510204081632653	-0.292256071356476	1.39794000867204	0.669316880566112
4.94	24	0.489795918367347	-0.309984838316908	1.38021124171161	0.693726948923647
4.97	23	0.469387755102041	-0.328468244010921	1.36172783601759	0.696356388733332
5.46	22	0.448979591836735	-0.347773399206307	1.34242268082221	0.737192642704737
5.92	21	0.428571428571429	-0.367976785294594	1.32221929473392	0.77232170672292
6.29	20	0.408163265306122	-0.389166084364532	1.30102999566398	0.798650645445269
6.33	19	0.387755102040816	-0.411442479075685	1.27875360095283	0.801403710017355
6.35	18	0.36734693877551	-0.434923574925208	1.25527250510331	0.802773725291976
6.57	17	0.346938775510204	-0.45974715865024	1.23044892137827	0.817565369559781
6.86	16	0.326530612244898	-0.486076097372589	1.20411998265592	0.836324115706752
8.07	15	0.306122448979592	-0.514104820972832	1.17609125905568	0.90687353472207
8.24	14	0.285714285714286	-0.544068044350276	1.14612803567824	0.915927211697116
9.49	13	0.26530612244898	-0.576252727721677	1.11394335230684	0.977266212427293
9.89	11	0.224489795918367	-0.648803394870289	1.04139268515823	0.995196291597179
10.93	10	0.204081632653061	-0.690196080028514	1	1.0386201619497
11.06	9	0.183673469387755	-0.735953570589189	0.954242509439325	1.04375512696868
11.85	8	0.163265306122449	-0.78710609303657	0.903089986991944	1.07371835034612
12.3	7	0.142857142857143	-0.845098040014257	0.845098040014257	1.0899051114394
12.81	6	0.122448979591837	-0.91204482964487	0.778151250383644	1.10754912974469
15.2	5	0.102040816326531	-0.991226075692495	0.698970004336019	1.18184358794477
15.84	4	0.0816326530612245	-1.08813608870055	0.602059991327962	1.19975517725347
17.25	3	0.0612244897959184	-1.21307482530885	0.477121254719662	1.23678909940929
18.28	2	0.0408163265306122	-1.38916608436453	0.301029995663981	1.26197619139781
18.37	1	0.0204081632653061	-1.69019608002851	0	1.26410915630581
