"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.25	63	0.508064516129032	-0.294081135708653	1.79934054945358	-0.602059991327962
0.31	62	0.5	-0.301029995663981	1.79239168949825	-0.508638306165727
0.43	61	0.491935483870968	-0.308091850151468	1.78532983501077	-0.366531544420413
0.45	57	0.459677419354839	-0.337546829489744	1.75587485567249	-0.346787486224656
0.49	54	0.435483870967742	-0.361027925339267	1.73239375982297	-0.309803919971486
0.54	53	0.42741935483871	-0.369145815561446	1.72427586960079	-0.267606240177031
0.58	52	0.419354838709677	-0.377418341527436	1.7160033436348	-0.236572006437063
0.6	51	0.411290322580645	-0.385851509064299	1.70757017609794	-0.221848749616356
0.64	46	0.370967741935484	-0.430663853480661	1.66275783168157	-0.193820026016113
0.65	45	0.362903225806452	-0.440209171386891	1.65321251377534	-0.187086643357144
0.68	43	0.346774193548387	-0.459953229582649	1.63346845557959	-0.167491087293764
0.97	42	0.338709677419355	-0.470172394764335	1.6232492903979	-0.0132282657337552
1.17	41	0.330645161290323	-0.4806378284425	1.61278385671974	0.0681858617461616
1.25	40	0.32258064516129	-0.491361693834273	1.60205999132796	0.0969100130080564
1.3	39	0.314516129032258	-0.502357078135736	1.5910646070265	0.113943352306837
1.48	38	0.306451612903226	-0.513638088545425	1.57978359661681	0.170261715394957
1.69	37	0.298387096774194	-0.52521996109524	1.56820172406699	0.227886704613674
1.76	35	0.282258064516129	-0.549353640811959	1.54406804435028	0.24551266781415
1.78	33	0.266129032258065	-0.574907745284348	1.51851393987789	0.250420002308894
1.87	32	0.258064516129032	-0.588271706842329	1.50514997831991	0.271841606536499
1.97	31	0.25	-0.602059991327962	1.49136169383427	0.294466226161593
2.28	30	0.241935483870968	-0.616300430442573	1.47712125471966	0.357934847000454
2.33	29	0.233870967741935	-0.631023687263279	1.46239799789896	0.367355921026019
2.4	28	0.225806451612903	-0.646263653820016	1.44715803134222	0.380211241711606
2.41	26	0.209677419354839	-0.678448337191417	1.41497334797082	0.382017042574868
2.49	25	0.201612903225806	-0.695481676490198	1.39794000867204	0.396199347095736
2.69	23	0.185483870967742	-0.731693849144642	1.36172783601759	0.429752280002408
2.78	22	0.17741935483871	-0.750999004340029	1.34242268082221	0.444044795918076
2.8	21	0.169354838709677	-0.771202390428316	1.32221929473392	0.447158031342219
2.84	20	0.161290322580645	-0.792391689498254	1.30102999566398	0.453318340047038
3	18	0.145161290322581	-0.838149180058929	1.25527250510331	0.477121254719662
3.07	17	0.137096774193548	-0.862972763783961	1.23044892137827	0.487138375477186
3.25	16	0.129032258064516	-0.88930170250631	1.20411998265592	0.511883360978874
3.71	15	0.120967741935484	-0.917330426106554	1.17609125905568	0.569373909615046
3.93	14	0.112903225806452	-0.947293649483997	1.14612803567824	0.594392550375427
4.11	13	0.104838709677419	-0.979478332855398	1.11394335230684	0.613841821876069
4.41	12	0.0967741935483871	-1.01424043911461	1.07918124604762	0.644438589467838
4.42	11	0.0887096774193548	-1.05202900000401	1.04139268515823	0.645422269349092
5.19	10	0.0806451612903226	-1.09342168516224	1	0.715167357848458
5.37	9	0.0725806451612903	-1.13917917572291	0.954242509439325	0.729974285699556
5.47	8	0.0645161290322581	-1.19033169817029	0.903089986991944	0.737987326333431
6.09	7	0.0564516129032258	-1.24832364514798	0.845098040014257	0.784617292632875
6.7	5	0.0403225806451613	-1.39445168082622	0.698970004336019	0.826074802700826
6.9	4	0.032258064516129	-1.49136169383427	0.602059991327962	0.838849090737255
7	3	0.0241935483870968	-1.61630043044257	0.477121254719662	0.845098040014257
7.85	2	0.0161290322580645	-1.79239168949825	0.301029995663981	0.894869656745253
10.06	1	0.00806451612903226	-2.09342168516224	0	1.00259798071991
