"duration"	"psurvive"	"log10p"
0.296	0.9044	-0.0436394463266779
0.298	0.9037	-0.0439757177193229
0.3	0.9033	-0.0441679897675782
0.302	0.9026	-0.044504670815873
0.304	0.9023	-0.0446490426323402
0.306	0.9015	-0.0450342689415793
0.308	0.9008	-0.045371622492729
0.31	0.9004	-0.0455645136715176
0.312	0.8996	-0.0459505532364054
0.314	0.8987	-0.0463852583093594
0.316	0.8983	-0.0465786003189648
0.318	0.8976	-0.0469171560879138
0.32	0.8971	-0.0471591433242984
0.322	0.8969	-0.0472559759851016
0.324	0.8964	-0.0474981521369764
0.326	0.896	-0.0476919903378748
0.328	0.8954	-0.0479829099525737
0.33	0.8947	-0.0483225626566994
0.332	0.8945	-0.0484196550966082
0.334	0.8942	-0.048565334467987
0.336	0.8936	-0.0488568398924474
0.338	0.893	-0.0491485411114536
0.34	0.8924	-0.0494404383881999
0.342	0.8914	-0.0499273702498425
0.344	0.8904	-0.0504148486733481
0.346	0.8898	-0.0507075985879743
0.348	0.8896	-0.0508052257620178
0.35	0.889	-0.0510982390297863
0.352	0.8884	-0.0513914501235637
0.354	0.8883	-0.0514403378910384
0.356	0.8875	-0.0518316382728683
0.358	0.8871	-0.0520274207542199
0.36	0.8863	-0.0524192506956775
0.362	0.8858	-0.0526643240512601
0.364	0.8851	-0.0530076592516277
0.366	0.8845	-0.0533021627542581
0.368	0.8841	-0.0534986094304124
0.37	0.8835	-0.0537934461572171
0.372	0.8829	-0.0540884831807266
0.374	0.8825	-0.0542852859401399
0.376	0.882	-0.0545314148681803
0.378	0.8811	-0.0549747987575373
0.38	0.8805	-0.0552706396967043
0.382	0.8797	-0.0556654080292179
0.384	0.8789	-0.0560605355277836
0.386	0.8783	-0.056357117247871
0.388	0.8777	-0.0566539016434093
0.39	0.8765	-0.0572480795701863
0.392	0.8762	-0.0573967511578434
0.394	0.8756	-0.0576942471041059
0.396	0.8754	-0.0577934577229048
0.398	0.8752	-0.0578926910106445
0.4	0.8745	-0.0582401861853046
0.402	0.8738	-0.0585879596264503
0.404	0.873	-0.0589857562944303
0.406	0.8726	-0.0591847913491987
0.408	0.8719	-0.059533322336471
0.41	0.8712	-0.0598821332522815
0.412	0.8705	-0.06023122454665
0.414	0.8701	-0.0604308313440984
0.416	0.8696	-0.0606804689217619
0.418	0.8689	-0.0610302027771098
0.42	0.8681	-0.0614302437789388
0.422	0.8671	-0.0619308137766143
0.424	0.8664	-0.0622815563827361
0.426	0.8659	-0.0625322603566225
0.428	0.8651	-0.0629336879825718
0.43	0.8645	-0.0632350023900586
0.432	0.8635	-0.0637376580965224
0.434	0.8628	-0.0640898635694926
0.436	0.862	-0.0644927341752872
0.438	0.8613	-0.0648455527838316
0.44	0.8608	-0.065097741677686
0.442	0.8605	-0.0652491253364209
0.444	0.86	-0.0655015487564323
0.446	0.8589	-0.0660573972587389
0.448	0.8581	-0.0664620980282953
0.45	0.8574	-0.0668165208253861
0.452	0.8567	-0.0671712330991534
0.454	0.8562	-0.0674247765017094
0.456	0.856	-0.0675262353228468
0.458	0.855	-0.0680338852718274
0.46	0.8543	-0.068389593637038
0.462	0.8539	-0.0685929864434265
0.464	0.8534	-0.0688473614767067
0.466	0.8527	-0.0692037370166998
0.468	0.8522	-0.0694584701355656
0.47	0.8516	-0.069764347233715
0.472	0.8513	-0.0699173666076288
0.474	0.8502	-0.070478899368896
0.476	0.8496	-0.0707854962626061
0.478	0.8493	-0.0709388759152345
0.48	0.8487	-0.0712457978233468
0.482	0.848	-0.0716041477432862
0.484	0.8473	-0.071962793593117
0.486	0.8467	-0.0722704402283455
0.488	0.846	-0.0726296369609765
0.49	0.8456	-0.0728350257006301
0.492	0.8452	-0.0730405116197243
0.494	0.8446	-0.0733489229111111
0.496	0.8441	-0.0736060997303178
0.498	0.8435	-0.073914913074856
0.5	0.8429	-0.0742239461632537
0.502	0.8424	-0.0744816418225699
0.504	0.8418	-0.0747910785879965
0.506	0.8411	-0.0751523670244629
0.508	0.8404	-0.075513956266085
0.51	0.8398	-0.0758241296980792
0.512	0.8392	-0.0761345248144986
0.514	0.8391	-0.0761862789088103
0.516	0.839	-0.0762380391712997
0.518	0.8383	-0.0766005338412835
0.52	0.8377	-0.0769114845576007
0.522	0.837	-0.07727454200674
