"duration"	"psurvive"	"log10p"
0.002	0.804180229569985	-0.0946466080475862
0.004	0.803323625149906	-0.0951094605713106
0.006	0.802124378961795	-0.0957582839495544
0.008	0.801781737193764	-0.0959438402360359
0.01	0.800068528353606	-0.0968728127440478
0.012	0.799040603049512	-0.0974311515592023
0.014	0.798355319513449	-0.0978037766201598
0.016	0.798012677745417	-0.097990209111498
0.018	0.797156073325338	-0.0984566407768926
0.02	0.796984752441323	-0.0985499872537491
0.022	0.796470789789275	-0.0988301471270729
0.024	0.796128148021244	-0.0990170208312915
0.026	0.795271543601165	-0.099484557190261
0.028	0.79424361829707	-0.100046266018602
0.03	0.793729655645023	-0.100327393107005
0.032	0.792701730340929	-0.100890193810263
0.034	0.792016446804865	-0.101265799872078
0.036	0.791502484152818	-0.101547717754034
0.038	0.790817200616755	-0.101923893162485
0.04	0.789617954428645	-0.10258298518564
0.042	0.78859002912455	-0.103148718416186
0.044	0.78739078293644	-0.103809673293912
0.048	0.786876820284393	-0.104093247892236
0.05	0.78619153674833	-0.104471635615501
0.052	0.785163611444235	-0.105039836065373
0.054	0.784307007024156	-0.105513904971636
0.056	0.783793044372109	-0.105798594907693
0.058	0.782593798183999	-0.106463598072368
0.06	0.782251156415967	-0.106653786155943
0.062	0.781394551995888	-0.107129621069222
0.064	0.780709268459825	-0.107510664727711
0.066	0.779167380503683	-0.108369237294463
0.068	0.77848209696762	-0.108751370607197
0.07	0.777968134315573	-0.109038191409193
0.072	0.77728285077951	-0.109420914044143
0.074	0.777111529895494	-0.10951664742531
0.076	0.7760836045914	-0.110091491297328
0.078	0.775740962823368	-0.110283275129945
0.08	0.774884358403289	-0.110763105564241
0.082	0.774541716635258	-0.110955186275866
0.084	0.773685112215179	-0.11143576005723
0.086	0.773342470447148	-0.111628138568417
0.088	0.772314545143053	-0.112205785936091
0.09	0.770943978070927	-0.112977179534816
0.092	0.770258694534864	-0.113363390749155
0.094	0.769230769230769	-0.113943352306837
0.098	0.768716806578722	-0.114233623777086
0.1	0.767346239506596	-0.115008630865472
0.102	0.766832276854549	-0.115299615453848
0.104	0.766146993318486	-0.115687898431793
0.106	0.765633030666438	-0.115979338649801
0.108	0.765119068014391	-0.116270974574741
0.112	0.76477642624636	-0.116465507380638
0.114	0.763234538290218	-0.117341984937266
0.116	0.761692650334076	-0.118220234947188
0.118	0.761178687682028	-0.118513380069289
0.12	0.759636799725887	-0.119394004531691
0.122	0.758780195305808	-0.119884013025401
0.124	0.75826623265376	-0.120178283718921
0.126	0.758094911769745	-0.120276418276316
0.128	0.757409628233682	-0.120669178404286
0.13	0.75586774027754	-0.121554189542007
0.132	0.754839814973445	-0.122145200495411
0.134	0.753983210553366	-0.122638324747215
0.136	0.753640568785335	-0.122835731333297
0.138	0.753126606133288	-0.123132009558707
0.14	0.752441322597225	-0.123527361868124
0.142	0.751756039061162	-0.123923074407486
0.144	0.750728113757067	-0.124517320085473
0.146	0.750385471989035	-0.12471558280606
0.148	0.749528867568957	-0.125211635951828
0.15	0.748500942264862	-0.125807648600591
0.154	0.747986979612815	-0.12610596193704
0.156	0.747473016960768	-0.12640448032334
0.158	0.746273770772657	-0.127101822226423
0.16	0.745931129004626	-0.127301268605084
0.162	0.745417166352578	-0.127600610017443
0.164	0.745074524584547	-0.127800285644824
0.166	0.744731882816515	-0.128000053119323
0.168	0.743875278396437	-0.128499874191759
0.17	0.743018673976358	-0.129000271161398
0.172	0.742847353092342	-0.129100419779829
0.174	0.741648106904232	-0.129802107497003
0.176	0.7413054651362	-0.130002798111436
0.178	0.741134144252184	-0.130103178207087
0.18	0.740791502484153	-0.130304008028887
0.182	0.739249614528011	-0.131208893258932
0.184	0.738393010107932	-0.131712423149428
0.186	0.738221689223916	-0.131813199221792
0.188	0.737536405687853	-0.132216537520486
0.19	0.736679801267775	-0.132721237730573
0.192	0.736508480383759	-0.132822248193153
0.194	0.73565187596368	-0.13332765320993
0.196	0.734966592427617	-0.133732401125436
0.198	0.73445262977557	-0.134036209799527
0.2	0.733767346239507	-0.134441618913591
0.202	0.733082062703444	-0.134847406826227
0.204	0.732739420935412	-0.135050443053349
0.206	0.732054137399349	-0.135456800492963
0.208	0.731540174747302	-0.135761818285136
0.21	0.730854891211239	-0.13616884219675
0.212	0.730169607675176	-0.136576247931977
0.214	0.729826965907144	-0.136780094207441
0.216	0.72879904060305	-0.13739220774345
0.218	0.727599794414939	-0.13810743231948
0.22	0.727085831762892	-0.138414318080857
0.222	0.726229227342813	-0.138926276741939
0.224	0.725372622922734	-0.139438839626767
0.226	0.725029981154703	-0.139644034283031
0.228	0.724173376734624	-0.140157445481141
0.23	0.724002055850608	-0.140260200593865
0.232	0.723316772314545	-0.140671464338522
0.234	0.721774884358403	-0.141598234183312
0.236	0.721432242590372	-0.141804451889895
0.238	0.720746959054309	-0.142217181293164
0.24	0.71989035463423	-0.142733645240226
0.242	0.718519787562104	-0.143561267180835
0.244	0.717491862258009	-0.144183020303355
0.246	0.716977899605962	-0.144494230980881
0.248	0.716463936953915	-0.144805664828507
0.25	0.716121295185883	-0.145013411535125
0.252	0.715778653417852	-0.14522125766587
0.254	0.71543601164982	-0.145429203315954
0.256	0.715093369881789	-0.145637248580725
0.258	0.71423676546171	-0.146157798183863
0.26	0.713894123693678	-0.146366192852882
0.262	0.713380161041631	-0.146678972471661
0.264	0.712694877505568	-0.147096362683417
0.266	0.711666952201473	-0.14772320111108
0.268	0.711152989549426	-0.14803695993164
0.27	0.71098166866541	-0.148141596598067
