"duration"	"nsurvive"	"psurvive"	"log10p"	"log10n"	"log10r"
0.25	60	0.483870967741935	-0.315270434778591	1.77815125038364	-0.602059991327962
0.31	59	0.475806451612903	-0.322569673520091	1.77085201164214	-0.508638306165727
0.43	58	0.467741935483871	-0.329993691599298	1.76342799356294	-0.366531544420413
0.45	54	0.435483870967742	-0.361027925339267	1.73239375982297	-0.346787486224656
0.49	51	0.411290322580645	-0.385851509064299	1.70757017609794	-0.309803919971486
0.54	50	0.403225806451613	-0.394451680826216	1.69897000433602	-0.267606240177031
0.58	49	0.395161290322581	-0.403225605133721	1.69019608002851	-0.236572006437063
0.6	48	0.387096774193548	-0.412180447786648	1.68124123737559	-0.221848749616356
0.64	43	0.346774193548387	-0.459953229582649	1.63346845557959	-0.193820026016113
0.65	42	0.338709677419355	-0.470172394764335	1.6232492903979	-0.187086643357144
0.68	40	0.32258064516129	-0.491361693834273	1.60205999132796	-0.167491087293764
0.97	39	0.314516129032258	-0.502357078135736	1.5910646070265	-0.0132282657337552
1.17	38	0.306451612903226	-0.513638088545425	1.57978359661681	0.0681858617461616
1.25	37	0.298387096774194	-0.52521996109524	1.568201724067	0.0969100130080564
1.3	36	0.290322580645161	-0.537119184394948	1.55630250076729	0.113943352306837
1.48	35	0.282258064516129	-0.549353640811959	1.54406804435028	0.170261715394957
1.69	34	0.274193548387097	-0.56194276811998	1.53147891704226	0.227886704613674
1.76	32	0.258064516129032	-0.588271706842329	1.50514997831991	0.24551266781415
1.78	30	0.241935483870968	-0.616300430442573	1.47712125471966	0.250420002308894
1.87	29	0.233870967741935	-0.631023687263279	1.46239799789896	0.271841606536499
1.97	28	0.225806451612903	-0.646263653820016	1.44715803134222	0.294466226161593
2.28	27	0.217741935483871	-0.662057921003248	1.43136376415899	0.357934847000454
2.33	26	0.209677419354839	-0.678448337191417	1.41497334797082	0.367355921026019
2.4	25	0.201612903225806	-0.695481676490198	1.39794000867204	0.380211241711606
2.41	23	0.185483870967742	-0.731693849144642	1.36172783601759	0.382017042574868
2.49	22	0.17741935483871	-0.750999004340029	1.34242268082221	0.396199347095736
2.69	21	0.169354838709677	-0.771202390428316	1.32221929473392	0.429752280002408
2.8	20	0.161290322580645	-0.792391689498254	1.30102999566398	0.447158031342219
2.84	19	0.153225806451613	-0.814668084209406	1.27875360095283	0.453318340047038
3	17	0.137096774193548	-0.862972763783961	1.23044892137827	0.477121254719662
3.07	16	0.129032258064516	-0.88930170250631	1.20411998265592	0.487138375477186
3.25	15	0.120967741935484	-0.917330426106554	1.17609125905568	0.511883360978874
3.71	14	0.112903225806452	-0.947293649483997	1.14612803567824	0.569373909615046
3.93	13	0.104838709677419	-0.979478332855398	1.11394335230684	0.594392550375427
4.11	12	0.0967741935483871	-1.01424043911461	1.07918124604762	0.613841821876069
4.41	11	0.0887096774193548	-1.05202900000401	1.04139268515823	0.644438589467838
4.42	10	0.0806451612903226	-1.09342168516224	1	0.645422269349092
5.19	9	0.0725806451612903	-1.13917917572291	0.954242509439325	0.715167357848458
5.47	8	0.0645161290322581	-1.19033169817029	0.903089986991944	0.737987326333431
6.09	7	0.0564516129032258	-1.24832364514798	0.845098040014257	0.784617292632875
6.7	5	0.0403225806451613	-1.39445168082622	0.698970004336019	0.826074802700826
6.9	4	0.032258064516129	-1.49136169383427	0.602059991327962	0.838849090737255
7	3	0.0241935483870968	-1.61630043044257	0.477121254719662	0.845098040014257
7.85	2	0.0161290322580645	-1.79239168949825	0.301029995663981	0.894869656745253
10.06	1	0.00806451612903226	-2.09342168516224	0	1.00259798071991
