"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
81911	Perissodactyla	Equidae	Equinae	Equus	idahoensis	Equus idahoensis	NA	hyp	L2333	Equus idahoensis	5	2	2.42	3.77	1.35	6.09076314	4.7812490649	2.46794715097386	40.8	19.4	-96.7	-119.8	1
83018	Lagomorpha	Leporidae	Archaeolaginae	Hypolagus	furlongi	Hypolagus furlongi	NA	hys	NA	Hypolagus furlongi	5	1	1.56	3.77	2.21	2.33384382	1.8320673987	1.52769231849872	43.6	35.4	-96.7	-119.8	0.39
83209	Rodentia	Muridae	Arvicolinae	Hibbardomys	marthae	Hibbardomys marthae	NA	hyp	NA	Hibbardomys marthae	3	1	0.45	2.21	1.76	0.18703278	0.1468207323	0.432472866200875	44.5	39.9	-96.7	-100	0.225
83242	Rodentia	Muridae	Arvicolinae	Guildayomys	hibbardi	Guildayomys hibbardi	NA	hys	NA	Guildayomys hibbardi	2	1	0	2.21	2.21	0.01219779	0.00957526515	0.110443605518835	40.8	39.9	-96.7	-97.8	0
81858	Proboscidea	Gomphotheriidae		Tetralophodon	campester	Tetralophodon campester	3309249	bra	RMM00	Tetralophodon campester	2	1	0	11.1	11.1	0.2562768	0.201177288	0.506237888744017	39.1	35.1	-95.7	-100.9	0
80519	Carnivora	Felidae	Felinae	Pratifelis	martini	Pratifelis martini	171001			Pratifelis martini	1	1	0	9.58	9.58	0	0	0	38.9	38.9	-99.5	-99.5	0
82095	Carnivora	Mustelidae	Leptarctinae	Leptarctus	kansasensis	Leptarctus kansasensis	NA			Leptarctus kansasensis	1	1	0	9.58	9.58	0	0	0	38.9	38.9	-99.5	-99.5	0
83157	Rodentia	Muridae	Copemyinae	Tregomys	pisinnus	Tregomys pisinnus	NA	bra	NA	Tregomys pisinnus	3	1	3.87	13.45	9.58	0.3277386	0.257274801	0.572484584945307	42.4	38.9	-99.5	-107.1	1.935
81303	Artiodactyla	Camelidae	Camelinae	Alforjas	taylori	Alforjas taylori	708083	mes	L2220	Alforjas taylori	3	1	1.1	8.33	7.23	0.29952351	0.23512595535	0.547287410781575	37.4	35.7	-99.8	-114.1	0.824999999999999
81466	Artiodactyla	Antilocapridae	Antilocaprinae	Texoceros	minorei	Texoceros minorei	NA	hyp	L2220	Texoceros minorei	4	1	2.44	8.33	5.89	0.6061932	0.475861662	0.778584099503708	37.4	33.4	-99.8	-112.1	1.22
