"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
28441	Perissodactyla	Equidae	Equinae	Hipparion	gracile	Hipparion gracile	NA	hyp	L2320	Hipparion gracile	3	2	4.35	10.55	6.2	3.24584424	2.5479877284	1.80162266859629	47.4	38.5	36.8	7.2	2.75
23140	Lagomorpha	Ochotonidae		Piezodus	tomerdingensis	Piezodus tomerdingensis	NA	NA	NA	Piezodus tomerdingensis	8	4	1.75	22.35	20.6	1.10593296	0.8681573736	1.05163347227064	51.1	42.3	10	-0.2	0.875
33084	Rodentia	Muridae	Gerbillinae	Gerbillus	grandis	Gerbillus grandis	NA	NA	NA	Gerbillus grandis	3	1	0.84	1.29	0.45	0	0	0	33.6	33.6	-7.6	-7.6	0.45
20198	Carnivora	Mustelidae	Ischyrictini	Plesiogulo	crassa	Plesiogulo crassa	50000	NA	NA	Plesiogulo crassa	3	1	3.2	9.4	6.2	1.552446	1.21867011	1.24597190979572	50.2	43	85.3	67.8	0.8
32951	Artiodactyla	Bovidae	Antilopini	Antidorcas	marsupialis	Antidorcas marsupialis	NA	hyp	L2220	Antidorcas marsupialis	7	2	1.02	1.29	0.27	6.84739575	5.37520566375	2.61675290197603	-1.6	-34.1	36.4	19.3	0.345
80634	Condylarthra	Arctocyonidae		Princetonia	yalensis	Princetonia yalensis	NA		R2300	Princetonia yalensis	3	1	2.52	57.95	55.43	0.09758232	0.0766021212	0.31238168960424	44.7	41.1	-104.8	-107	0.990000000000002
21450	Rodentia	Muridae	Megacricetodontinae	Megacricetodon	crusafonti	Megacricetodon crusafonti	NA	NA	NA	Megacricetodon crusafonti	17	2	1.5	13.52	12.02	0.4139856	0.324978696	0.643417127530811	41.9	38.9	2.1	-9.1	0.995000000000001
83745	Eulipotyphla	Nyctitheriidae	NA	Nyctitherium	velox	Nyctitherium velox	NA	bra	NA	Nyctitherium velox	3	1	6.51	50.59	44.08	0.94699206	0.7433887671	0.973135170467084	42.4	29.8	-103.3	-109.4	2.11
28953	Artiodactyla	Suidae	Listriodontinae	Nguruwe	kijivium	Nguruwe kijivium	29800	bra	R2200	Nguruwe kijivium	13	2	3.29	20.09	16.8	8.22771738	6.4587581433	2.86839979431041	4.3	-30.3	36.6	17.3	0.400000000000002
82929	Rodentia	Sciuravidae	Knightomyinae	Knightomys	huerfanensis	Knightomys huerfanensis	NA	bra	NA	Knightomys huerfanensis	4	1	2	52.59	50.59	0.1219779	0.0957526515	0.34925334644066	43	39.7	-105	-108	0.683999999999997
83507	Cimolesta	Cimolestidae	NA	Procerberus	formicarum	Procerberus formicarum	NA	bra	NA	Procerberus formicarum	4	1	0	65.94	65.94	0	0	0	46.6	46.6	-112	-112	0
81319	Artiodactyla	Camelidae	Camelinae	Megatylopus	cochrani	Megatylopus cochrani	NA	mes	L2220	Megatylopus cochrani	3	1	1.56	3.77	2.21	1.49527656	1.1737920996	1.22281501462813	40.8	33.4	-95.7	-112.1	0.78
26709	Cimolesta	Esthonychidae	Esthonychinae	Esthonyx	tardus	Esthonyx tardus	NA	NA	NA	Esthonyx tardus	1	1	0	46.83	46.83	0	0	0	51.3	51.3	11.9	11.9	0
20862	Artiodactyla	Moschidae		Micromeryx	flourensianus	Micromeryx flourensianus	9957	bra	L2220	Micromeryx flourensianus	40	6	5.9	15.3	9.4	2.5972668	2.038854438	1.61160379746388	48.7	40.2	20.6	-4.2	2.922
80483	Carnivora	Ursidae	Ursinae	Agriotherium	schneideri	Agriotherium schneideri	NA			Agriotherium schneideri	10	1	1.82	7.23	5.41	5.57328114	4.3750256949	2.36077977371884	40.8	28.2	-81.8	-117.7	0.365
80244	Carnivora	Canidae	Borophaginae	Desmocyon	thomsoni	Desmocyon thomsoni	NA			Desmocyon thomsoni	7	1	0.88	18.8	17.92	2.4062913	1.8889386705	1.5512225178871	44.9	35.6	-102	-123	0.439999999999998
26446	Artiodactyla	Xiphodontidae		Dichodon	cervinum	Dichodon cervinum	3961	NA	NA	Dichodon cervinum	5	3	2.7	37.14	34.44	0.34412553	0.27013854105	0.586622135620537	46.7	41.8	6.7	1	1.9175
80041	Creodonta	Hyaenodontidae	Proviverrinae	Gazinocyon	vulpeculus	Gazinocyon vulpeculus	NA			Gazinocyon vulpeculus	2	1	0	52.59	52.59	0.10053936	0.0789233976	0.317079422227303	43.5	41.1	-104.8	-108.2	0
20160	Carnivora	Mustelidae		Baranogale	adroveri	Baranogale adroveri	2000	NA	NA	Baranogale adroveri	7	2	2.05	8.25	6.2	1.11197025	0.87289664625	1.0545	49.8	40.3	8.3	-1.2	1.825
81585	Perissodactyla	Equidae	Anchitheriinae	Archaeohippus	mourningi	Archaeohippus mourningi	NA	bra	L2212	Archaeohippus mourningi	3	1	1.7	15.38	13.68	0.01811187	0.01421781795	0.134580347748102	35	34.3	-117.1	-119.2	1.275
84571	Condylarthra	Didolodontidae	NA	Didolodus	multicuspis	Didolodus multicuspis	NA	NA	NA	Didolodus multicuspis	1	1	0	40.5	40.5	0	0	0	-45.7	-45.7	-68.7	-68.7	0
23913	Chiroptera	Vespertilionidae	Myotinae	Myotis	dasycneme	Myotis dasycneme	NA	NA	NA	Myotis dasycneme	4	4	0.72	0.78	0.06	1.700298	1.33473393	1.30395475381625	50.1	42.6	20.6	2.2	0.2475
80888	Condylarthra	Phenacodontidae	Meniscotheriinae	Meniscotherium	terraerubrae	Meniscotherium terraerubrae	NA	bra	R2200	Meniscotherium terraerubrae	5	1	5.97	54.92	48.95	0.22954023	0.18018908055	0.479103569178941	43	36.1	-106.8	-109.5	2.895
21068	Rodentia	Muridae	Anomalomyinae	Prospalax	priscus	Prospalax priscus	148	NA	NA	Prospalax priscus	8	7	1.26	4.28	3.02	2.057607	1.615221495	1.43443612614853	50.5	40.5	30.8	14.1	0.544
30159	Primates	Cercopithecidae	Papionini	Presbytis	cristatus	Presbytis cristatus	NA	bra	NA	Presbytis cristatus	2	1	1.47	1.48	0.01	0.01207458	0.0094785453	0.109884393796389	-7.4	-8.1	112.7	111.3	0.735
82028	Carnivora	Canidae	Borophaginae	Cynarctoides	gawnae	Cynarctoides gawnae	1032			Cynarctoides gawnae	1	1	0	17.92	17.92	0	0	0	35.5	35.5	-106.8	-106.8	0
86161	Artiodactyla	Bovidae	Neotragini	Madoqua	guentheri	Madoqua guentheri	NA	NA	NA	Madoqua guentheri	2	1	0.1	0.1	0	0	0	0	5.3	5.3	35.9	35.9	0.05
24756	Rodentia	Muridae	Copemyinae	Democricetodon	lacombai	Democricetodon lacombai	NA	NA	NA	Democricetodon lacombai	13	1	0	15.3	15.3	0.02365632	0.0185702112	0.153806111712116	41.2	40.4	-1.2	-3.6	0
26819	Creodonta	Hyaenodontidae		Cynohyaenodon	lautricensis	Cynohyaenodon lautricensis	NA	NA	NA	Cynohyaenodon lautricensis	1	1	0	38.75	38.75	0	0	0	44.3	44.3	4.1	4.1	0
23993	Artiodactyla	Cainotheriidae		Cainotherium	laticurvatum	Cainotherium laticurvatum	5365	bra	S2300	Cainotherium laticurvatum	10	3	4	22.35	18.35	1.05812748	0.8306300718	1.02865323603243	51.1	43.5	10.6	-0.7	1.8
23823	Rodentia	Muridae	Megacricetodontinae	Megacricetodon	lappi	Megacricetodon lappi	NA	NA	NA	Megacricetodon lappi	5	3	0	15.3	15.3	0.21783528	0.1710006948	0.466728272124156	49	47.3	11.2	0.8	0
28976	Rodentia	Pedetidae		Megapedetes	pentadactylus	Megapedetes pentadactylus	NA	NA	NA	Megapedetes pentadactylus	14	3	4.79	20.09	15.3	4.82096088	3.7844542908	2.19566866352827	26.6	-0.2	48.6	34	1.558
81976	Artiodactyla	Camelidae	Camelinae	Hemiauchenia	gracilis	Hemiauchenia gracilis	120659	mes	L2220	Hemiauchenia gracilis	4	1	0	2.21	2.21	0.0258741	0.0203111685	0.160854281882703	30.2	28.1	-81.6	-82.6	0
21562	Perissodactyla	Equidae	Equinae	Hipparion	sefvei	Hipparion sefvei	NA	hyp	L2320	Hipparion sefvei	2	1	0	4.4	4.4	0.00443556	0.0034819146	0.0666	49.2	48.3	93.4	93	0
80536	Carnivora	Felidae	Machairodontinae	Meganteron	hesperus	Meganteron hesperus	NA			Meganteron hesperus	6	2	3.68	5.89	2.21	4.36828734	3.4291055619	2.09004481770129	39.9	28.5	-82.4	-113.5	1.6
32917	Carnivora	Hyaenidae	Hyaeninae	Crocuta	spelaea	Crocuta spelaea	75000	NA	NA	Crocuta spelaea	6	5	0.07	0.13	0.06	37.7687934	29.648502819	6.14563205862505	52.5	26.3	117.5	0.5	0.03
28822	Artiodactyla	Bovidae		Antilope	subtorta	Antilope subtorta	NA	NA	L2220	Antilope subtorta	1	1	0	2.68	2.68	0	0	0	4.9	4.9	36	36	0
80673	Condylarthra	Arctocyonidae	Arctocyoninae	Arctocyon	ferox	Arctocyon ferox	NA		R2300	Arctocyon ferox	12	2	4.42	62.37	57.95	3.56064579	2.79510694515	1.88696735265876	54.5	29.8	-103.3	-115	1.985
80645	Condylarthra	Arctocyonidae		Chriacus	oconostotae	Chriacus oconostotae	NA		R2300	Chriacus oconostotae	1	1	0	59.12	59.12	0	0	0	44.7	44.7	-107	-107	0
81276	Artiodactyla	Camelidae		Oxydactylus	lulli	Oxydactylus lulli	NA	bra	L2220	Oxydactylus lulli	1	1	0	18.8	18.8	0	0	0	41.7	41.7	-104.7	-104.7	0
80340	Carnivora	Mephitidae	NA	Buisnictis	breviramus	Buisnictis breviramus	285			Buisnictis breviramus	7	1	1.56	3.77	2.21	4.8594024	3.814630884	2.20440522590562	47	32.5	-95.7	-122.9	1.56
29911	Rodentia	Muridae	Cricetinae	Cricetulus	obscurus	Cricetulus obscurus	NA	NA	NA	Cricetulus obscurus	3	1	0.72	0.75	0.03	0	0	0	39.7	39.7	115.9	115.9	0.453333333333333
21240	Rodentia	Muridae	Cricetinae	Trilophomys	pyrenaicus	Trilophomys pyrenaicus	NA	NA	NA	Trilophomys pyrenaicus	7	4	2.3	6.2	3.9	3.00435264	2.3584168224	1.73330685107975	50.2	40.6	24.4	-1	0.332
20144	Carnivora	Mustelidae	Lutrinae	Enhydriodon	latipes	Enhydriodon latipes	NA	NA	NA	Enhydriodon latipes	2	2	0.02	7.35	7.33	1.29924945	1.01991081825	1.13984623963059	43.7	38	23.9	5.4	0.00999999999999979
20503	Carnivora	Mustelidae	Eomellivorini	Eomellivora	wimani	Eomellivora wimani	45000	NA	NA	Eomellivora wimani	12	7	4.1	10.55	6.45	69.428835	54.501635475	8.33239671403132	49.8	25.3	111.2	-118.8	1.605
24459	Chiroptera	Rhinolophidae		Rhinolophus	csakvarensis	Rhinolophus csakvarensis	NA	NA	NA	Rhinolophus csakvarensis	3	2	1.15	9.4	8.25	0.83708874	0.6571146609	0.914925537953773	47.4	43.1	18.5	2.7	0.574999999999999
28804	Primates	Hominidae	Hominini	Paranthropus	aethiopicus	Paranthropus aethiopicus	41500	bra	R2200	Paranthropus aethiopicus	4	1	0.56	2.68	2.12	0	0	0	4.9	4.9	36	36	0.29
83565	Cimolesta	Apatemyidae	Apatemyinae	Jepsenella	praepropera	Jepsenella praepropera	NA	bra	NA	Jepsenella praepropera	5	2	0	62.37	62.37	1.68403428	1.3219669098	1.29770346381598	54.5	41.1	-104.8	-115	0
27339	Primates	Hominidae	Hominini	Australopithecus	anamensis	Australopithecus anamensis	NA	bra	R2200	Australopithecus anamensis	4	2	0.39	4.16	3.77	0.40881078	0.3209164623	0.639383124581811	10.2	2.3	40.3	36.1	0.25
80259	Carnivora	Canidae	Borophaginae	Epicyon	haydeni	Epicyon haydeni	71858			Epicyon haydeni	19	1	5.69	11.1	5.41	7.69273956	6.0388005546	2.77357883608885	45.4	28.2	-81.8	-118.1	1.7725
28033	Creodonta	Hyaenodontidae		Megistotherium	osteothlastes	Megistotherium osteothlastes	614000	NA	NA	Megistotherium osteothlastes	1	1	0	11.12	11.12	0	0	0	0.8	0.8	35.8	35.8	0
28625	Rodentia	Muridae	Eumyarioninae	Eumyarion	microps	Eumyarion microps	NA	NA	NA	Eumyarion microps	5	1	1.75	22.35	20.6	0.09930726	0.0779561991	0.31513054437804	40.9	38.3	34.9	31.8	0.583333333333332
82462	Rodentia	Mylagaulidae	Mesogaulinae	Mesogaulus	praecursor	Mesogaulus praecursor	NA	hyp	NA	Mesogaulus praecursor	1	1	0	18.8	18.8	0	0	0	42.4	42.4	-103.7	-103.7	0
20018	Carnivora	Mustelidae		Proputorius	sansaniensis	Proputorius sansaniensis	6000	NA	NA	Proputorius sansaniensis	2	2	1.78	15.3	13.52	0.5433561	0.4265345385	0.737126922585249	48.1	43.9	10	-0.5	0.890000000000001
20622	Rodentia	Gliridae	Glirinae	Muscardinus	vireti	Muscardinus vireti	37	NA	NA	Muscardinus vireti	3	2	1.05	6.2	5.15	0.05729265	0.04497473025	0.239358831046611	42.7	42.2	11.1	1.8	0.7875
83740	Eulipotyphla	Geolabdidae	NA	Marsholestes	dasypelix	Marsholestes dasypelix	NA	bra	NA	Marsholestes dasypelix	2	1	3.64	52.59	48.95	0.01663335	0.01305717975	0.128970345428707	43	42.5	-106.8	-109.5	1.82
26435	Rodentia	Theridomyidae	Issiodoromyinae	Elfomys	parvulus	Elfomys parvulus	7	NA	NA	Elfomys parvulus	3	3	0.37	37.14	36.77	0.31603365	0.24808641525	0.562168702437267	46.7	42.2	6.7	1	0.217500000000001
33004	Rodentia	Muridae		Otomys	gracilis	Otomys gracilis	NA	NA	NA	Otomys gracilis	3	1	2.67	3.96	1.29	0.20600712	0.1617155892	0.453880072265791	-24.2	-28	29.2	24.8	1.5625
23925	Proboscidea	Elephantidae		Mammuthus	trogontherii	Mammuthus trogontherii	10371976	hyp	LMM0M	Mammuthus trogontherii	23	10	2.07	2.11	0.04	20.4380748	16.043888718	4.52084890258456	52.9	38.4	114.7	0.3	0.7275
80797	Condylarthra	Periptychidae	Anisonchinae	Oxyacodon	apiculatus	Oxyacodon apiculatus	NA	bra	R2M00	Oxyacodon apiculatus	1	1	0	64.46	64.46	0	0	0	36.2	36.2	-108.5	-108.5	0
80243	Carnivora	Canidae	Borophaginae	Protomarctus	optatus	Protomarctus optatus	10333			Protomarctus optatus	7	1	1.26	17.92	16.66	1.5339645	1.2041621325	1.23853320504539	42.4	34.9	-103	-119.6	0
82585	Rodentia	Heteromyidae	Mioheteromyinae	Mioheteromys	arcarius	Mioheteromys arcarius	NA	mes	NA	Mioheteromys arcarius	2	2	0	13.68	13.68	0.8673984	0.680907744	0.931342257175095	54.5	43.5	-99.3	-105.7	0
25393	Rodentia	Dipodidae		Allactaga	williamsi	Allactaga williamsi	NA	NA	NA	Allactaga williamsi	2	2	0.08	0.09	0.01	0.135531	0.106391835	0.368145351729449	42.5	40.5	49.5	44	0.04
85238	Rodentia	Gliridae	NA	Bransatoglis	fugax	Bransatoglis fugax	NA	NA	NA	Bransatoglis fugax	18	5	11.23	28.03	16.8	2.18340441	1.71397246185	1.47763473497343	50.8	40.9	15.2	-2.7	7.86222222222222
22933	Artiodactyla	Suidae		Sanitherium	schlagintweiti	Sanitherium schlagintweiti	22297	bra	L2220	Sanitherium schlagintweiti	17	5	11.98	21.74	9.76	32.85308403	25.78967096355	5.73176098856189	47.5	-0.2	71	15.1	5.2225
