"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
20581	Rodentia	Muridae	Copemyinae	Democricetodon	franconicus	Democricetodon franconicus	NA	NA	NA	Democricetodon franconicus	25	8	5.18	17.2	12.02	4.67360172	3.6687773502	2.16185145650667	51.2	40.3	33.3	-1.5	3.96
28961	Artiodactyla	Anthracotheriidae	Bothriodontinae	Brachyodus	aequatorialis	Brachyodus aequatorialis	592998	bra	S2300	Brachyodus aequatorialis	19	2	4.94	21.74	16.8	0.13774878	0.1081327923	0.371145227640071	4.3	0	36.6	34	0.969999999999999
84104	Primates	Palaechthonidae	Palaechthoninae	Palenochtha	minor	Palenochtha minor	NA	bra	NA	Palenochtha minor	4	1	0.45	62.37	61.92	0.4879116	0.383010606	0.698506692881321	46.6	41.1	-104.8	-112	0.196666666666665
21043	Rodentia	Muridae	Copemyinae	Democricetodon	nemoralis	Democricetodon nemoralis	NA	NA	NA	Democricetodon nemoralis	8	2	1.33	11.85	10.52	0.1996002	0.156686157	0.446766381904458	46	41.5	5.4	1.8	0.433636363636364
25032	Proboscidea	Elephantidae		Mammuthus	primigenius	Mammuthus primigenius	4357667	hyp	LMM0M	Mammuthus primigenius	179	22	4.28	4.28	0	89.28240156	70.0866852246	9.44893653063666	75.5	37.2	179.7	-9.5	0.645
31458	Artiodactyla	Giraffidae		Palaeotragus	rouenii	Palaeotragus rouenii	379430	bra	L2220	Palaeotragus rouenii	29	7	4.35	10.55	6.2	9.61826544	7.5503383704	3.10133284895382	50.8	34.4	69.4	21.8	1.375
23913	Chiroptera	Vespertilionidae	Myotinae	Myotis	dasycneme	Myotis dasycneme	NA	NA	NA	Myotis dasycneme	3	3	0.72	0.78	0.06	1.145853	0.899494605	1.07044523447022	50.1	42.6	14.6	2.2	0.4125
20918	Artiodactyla	Hoplitomerycidae		Amphimoschus	artenensis	Amphimoschus artenensis	25000	bra	L2220	Amphimoschus artenensis	6	3	4.83	18.35	13.52	0.43468488	0.3412276308	0.659306362778337	48.1	43.9	8.9	0.5	2.085
32695	Ptolemaiida	Kelbidae		Kelba	quadeemae	Kelba quadeemae	3157	NA	NA	Kelba quadeemae	5	1	7.68	20.09	12.41	0.01897434	0.0148948569	0.137747377470499	0.9	-0.2	35.5	34.1	2.5825
25225	Carnivora	Felidae	Felinae	Panthera	leo	Panthera leo	156000	NA	NA	Panthera leo	62	20	3.96	3.96	0	128.70208575	101.03113731375	11.3446941673189	60.9	-28	109.9	-7.6	0.4625
84649	Sparassodonta	Borhyaenidae	NA	Fredszalaya	hunteri	Fredszalaya hunteri	NA	NA	NA	Fredszalaya hunteri	1	1	0	26.5	26.5	0	0	0	-17.2	-17.2	-67.6	-67.6	0
27004	Didelphimorphia	Didelphidae		Peratherium	elegans	Peratherium elegans	NA	NA	NA	Peratherium elegans	4	2	6.75	31.73	24.98	0.32083884	0.2518584894	0.566426376504485	47.3	44.2	7.8	-0.6	1.886
20914	Artiodactyla	Giraffidae		Bohlinia	attica	Bohlinia attica	1692992	bra	L2220	Bohlinia attica	17	4	3.85	10.05	6.2	1.38389472	1.0863573552	1.17639054739487	42.2	37.4	46.4	23	1.165
81630	Perissodactyla	Equidae	Equinae	Hipparion	tehonense	Hipparion tehonense	NA	hyp	L2323	Hipparion tehonense	11	1	6.45	13.68	7.23	7.207785	5.658111225	2.68473183018342	43.1	28.1	-81.6	-120.6	1.96666666666667
21460	Primates	Hominidae	Hominini	Australopithecus	afarensis	Australopithecus afarensis	37000	bra	R2200	Australopithecus afarensis	22	3	1.66	4.16	2.5	1.0534455	0.8269547175	1.02637493149433	11.5	-3.5	40.7	35	1.1278947368421
25168	Artiodactyla	Cervidae		Rangifer	tarandus	Rangifer tarandus	128693	bra	L2220	Rangifer tarandus	107	19	1.29	1.3	0.01	63.564039	49.897770615	7.97270587692786	73.6	42.8	160	-7.5	0.1425
20245	Perissodactyla	Rhinocerotidae		Dihoplus	pikermiensis	Dihoplus pikermiensis	1479002	mes	L2212	Dihoplus pikermiensis	21	6	5.44	9.4	3.96	6.97467168	5.4751172688	2.64096037077424	46.5	34.3	69.4	23	3.60666666666667
22167	Carnivora	Ailuridae	Ailurinae	Parailurus	hungaricus	Parailurus hungaricus	33489	NA	NA	Parailurus hungaricus	2	2	0	3.02	3.02	0.5470524	0.429436134	0.739629907453721	48.2	44.5	20	8	0
22239	Eulipotyphla	Talpidae		Galemys	kormosi	Galemys kormosi	NA	NA	NA	Galemys kormosi	15	4	2.88	3.96	1.08	4.0018608	3.141460728	2.00046514590982	52	37.5	18.9	-3.5	0.621428571428571
82642	Rodentia	Heteromyidae	Dipodomyinae	Prodipodomys	timoteoensis	Prodipodomys timoteoensis	NA	hyp	NA	Prodipodomys timoteoensis	2	1	0	3.77	3.77	0	0	0	38.6	38.6	-121.5	-121.5	0
21053	Rodentia	Gliridae		Peridyromys	murinus	Peridyromys murinus	7	NA	NA	Peridyromys murinus	105	6	9.33	24.63	15.3	2.69682048	2.1170040768	1.64219989039094	50.8	39.4	16.5	-2.7	4.57571428571429
24129	Carnivora	Felidae		Metailurus	boodon	Metailurus boodon	NA	NA	NA	Metailurus boodon	1	1	0	9.4	9.4	0	0	0	46.9	46.9	29.8	29.8	0
31907	Artiodactyla	Bovidae		Protoryx	crassicornis	Protoryx crassicornis	NA	bra	L2220	Protoryx crassicornis	7	4	2.3	8.5	6.2	2.18771676	1.7173576566	1.4790932222142	46.6	37.4	46.3	27	1.15
32943	Carnivora	Hyaenidae		Parahyaena	brunnea	Parahyaena brunnea	32210	NA	NA	Parahyaena brunnea	8	4	3.89	3.96	0.07	33.81892722	26.5478578677	5.81540430408755	37.2	-33	36	-3.1	1.61
83041	Lagomorpha	Leporidae	Leporinae	Alilepus	vagus	Alilepus vagus	NA	hys	NA	Alilepus vagus	4	1	3.2	5.41	2.21	1.23554988	0.9699066558	1.11155291372026	43.6	39	-97.7	-119.5	1.576
81703	Perissodactyla	Isectolophidae		Homogalax	protapirinus	Homogalax protapirinus	12518	bra	L2212	Homogalax protapirinus	6	1	2.49	55.08	52.59	0.23311332	0.1829939562	0.48281810239468	44.7	36.1	-104.8	-107	1.514
30131	Artiodactyla	Cervidae	Muntiacinae	Muntiacus	muntjak	Muntiacus muntjak	NA	bra	L2220	Muntiacus muntjak	18	6	0.95	0.96	0.01	18.21709134	14.3004167019	4.26814846742706	33.2	-8.1	119.6	83.8	0.3475
82596	Rodentia	Heteromyidae	Heteromyinae	Diprionomys	minimus	Diprionomys minimus	NA	hyp	NA	Diprionomys minimus	1	1	0	8.33	8.33	0	0	0	41.9	41.9	-118.8	-118.8	0
84501	Condylarthra	Mioclaenidae	NA	Tiuclaenus	robustus	Tiuclaenus robustus	NA	NA	NA	Tiuclaenus robustus	1	1	0	64.25	64.25	0	0	0	-18	-18	-65.4	-65.4	0
29995	Lagomorpha	Ochotonidae		Ochotona	hyperfores	Ochotona hyperfores	NA	NA	NA	Ochotona hyperfores	1	1	0	0.26	0.26	0	0	0	40.6	40.6	122.5	122.5	0
