"range"	"nexpand"	"pexpand"	"log10p"	"log10n"	"log10r"
0.019669250112803	14	0.333333333333333	-0.477121254719662	1.14612803567824	-1.70621219717674
0.0834495608137035	13	0.30952380952381	-0.509305938091064	1.11394335230684	-1.07857594462508
0.0906707629283001	12	0.285714285714286	-0.544068044350276	1.07918124604762	-1.04253272998357
0.107732919759932	11	0.261904761904762	-0.581856605239675	1.04139268515823	-0.967651569816904
0.23479845506306	10	0.238095238095238	-0.6232492903979	1	-0.629304765004471
0.241299294860138	9	0.214285714285714	-0.669006780958576	0.954242509439325	-0.617443947211804
0.677804756179831	8	0.19047619047619	-0.720159303405957	0.903089986991944	-0.168895388028283
1.36109221102025	7	0.166666666666667	-0.778151250383644	0.845098040014257	0.133887548701275
1.38343499731646	6	0.142857142857143	-0.845098040014257	0.778151250383644	0.140958758005356
1.39752063707482	5	0.119047619047619	-0.924279286061882	0.698970004336019	0.145358229797488
1.63810729758462	4	0.0952380952380952	-1.02118929906994	0.602059991327962	0.214342345057342
1.6788139947594	3	0.0714285714285714	-1.14612803567824	0.477121254719662	0.225002580876269
1.74879434382663	2	0.0476190476190476	-1.32221929473392	0.301029995663981	0.242738739957379
1.9453673922424	1	0.0238095238095238	-1.6232492903979	0	0.289001632065897
