Order	Nsp	InterceptSemilog	SlopeSemilog	R2Semilog	InterceptSemilog2	SlopeSemilog2	R2Semilog2	IntereptPlain	SlopePlain	R2Plain	IntereptPlain2	SlopePlain2	R2Plain2	InterceptLoglog	SlopeLoglog	R2Loglog	BestModel	R2Best
Primates	412	-0.597	-0.3	0.83	-0.77	-0.034	0.509	0.246	-0.059	0.441	0.207	-0.005	0.155	-1.134	-0.676	0.804	Exponential	0.83
Hominidae not Hominini	36	-0.544	-1.648	0.95	-0.672	-2.447	0.819	0.263	-0.458	0.734	0.223	-0.613	0.514	-1.449	-0.596	0.911	Exponential	0.95
Primates other	358	-0.495	-0.473	0.918	-0.744	-0.078	0.531	0.275	-0.106	0.589	0.213	-0.013	0.19	-1.122	-0.723	0.761	Exponential	0.918
Hominini	13	-0.294	-0.088	0.851	-0.353	-0.01	0.79	0.505	-0.052	0.659	0.465	-0.005	0.549	-0.538	-0.31	0.728	Exponential	0.851
Primates	407	-0.583	-0.303	0.833	-0.766	-0.033	0.496	0.25	-0.062	0.442	0.208	-0.005	0.148	-1.104	-0.689	0.795	Exponential	0.833
Primates other	375	-0.462	-0.583	0.972	-0.721	-0.149	0.693	0.274	-0.126	0.684	0.211	-0.025	0.302	-1.168	-0.791	0.758	Exponential	0.972
Hominidae not Hominini	36	-0.504	-1.653	0.886	-0.621	-2.529	0.805	0.289	-0.491	0.654	0.25	-0.691	0.503	-1.461	-0.673	0.87	Exponential	0.886
Hominini	13	-0.297	-0.099	0.887	-0.371	-0.011	0.754	0.5	-0.058	0.654	0.452	-0.006	0.478	-0.557	-0.399	0.875	Exponential	0.887
Primates	424	-0.591	-0.337	0.843	-0.794	-0.036	0.459	0.241	-0.065	0.455	0.198	-0.005	0.135	-1.15	-0.754	0.814	Exponential	0.843
Hominini	13	-0.335	-0.097	0.704	-0.409	-0.009	0.576	0.473	-0.053	0.465	0.429	-0.005	0.325	-0.56	-0.323	0.644	Exponential	0.704
Primates other	357	-0.47	-0.513	0.918	-0.724	-0.085	0.497	0.289	-0.12	0.604	0.224	-0.015	0.181	-1.123	-0.708	0.747	Exponential	0.918
Hominidae not Hominini	37	-0.485	-1.73	0.928	-0.629	-2.572	0.822	0.292	-0.511	0.712	0.244	-0.687	0.516	-1.429	-0.656	0.848	Exponential	0.928
Primates	407	-0.558	-0.347	0.827	-0.761	-0.036	0.43	0.261	-0.073	0.45	0.214	-0.006	0.124	-1.116	-0.716	0.789	Exponential	0.827
Primates other	364	-0.475	-0.546	0.952	-0.729	-0.115	0.6	0.276	-0.121	0.638	0.214	-0.02	0.239	-1.147	-0.746	0.752	Exponential	0.952
Hominidae not Hominini	33	-0.587	-0.977	0.969	-0.737	-0.855	0.821	0.228	-0.238	0.818	0.188	-0.189	0.567	-1.316	-0.591	0.856	Exponential	0.969
Hominini	13	-0.256	-0.094	0.874	-0.317	-0.01	0.79	0.551	-0.06	0.66	0.507	-0.006	0.529	-0.516	-0.426	0.902	Power	0.902
Primates	410	-0.59	-0.312	0.829	-0.775	-0.034	0.477	0.245	-0.061	0.436	0.205	-0.005	0.141	-1.123	-0.732	0.804	Exponential	0.829
Primates other	372	-0.509	-0.478	0.913	-0.744	-0.082	0.539	0.269	-0.104	0.581	0.213	-0.013	0.194	-1.145	-0.707	0.755	Exponential	0.913
Hominidae not Hominini	38	-0.588	-1.077	0.891	-0.702	-0.972	0.724	0.246	-0.278	0.627	0.213	-0.227	0.415	-1.39	-0.597	0.901	Power	0.901
Hominini	12	-0.228	-0.105	0.866	-0.305	-0.011	0.724	0.589	-0.07	0.62	0.531	-0.007	0.438	-0.509	-0.301	0.75	Exponential	0.866
Primates	422	-0.579	-0.323	0.843	-0.764	-0.036	0.488	0.251	-0.065	0.455	0.21	-0.005	0.147	-1.125	-0.683	0.79	Exponential	0.843
Primates other	376	-0.49	-0.517	0.941	-0.756	-0.095	0.548	0.271	-0.113	0.653	0.207	-0.016	0.217	-1.153	-0.706	0.749	Exponential	0.941
Hominini	13	-0.272	-0.096	0.933	-0.347	-0.011	0.824	0.52	-0.058	0.75	0.468	-0.006	0.567	-0.559	-0.279	0.772	Exponential	0.933
Hominidae not Hominini	37	-0.61	-1.013	0.936	-0.733	-0.92	0.789	0.227	-0.245	0.713	0.194	-0.203	0.499	-1.406	-0.64	0.928	Exponential	0.936
Primates	426	-0.587	-0.32	0.852	-0.783	-0.035	0.486	0.246	-0.064	0.478	0.202	-0.005	0.15	-1.128	-0.657	0.783	Exponential	0.852
Primates other	365	-0.488	-0.474	0.917	-0.725	-0.078	0.539	0.278	-0.105	0.594	0.22	-0.013	0.198	-1.117	-0.727	0.749	Exponential	0.917
Hominini	13	-0.306	-0.097	0.955	-0.395	-0.01	0.811	0.475	-0.054	0.774	0.419	-0.005	0.554	-0.58	-0.281	0.749	Exponential	0.955
Hominidae not Hominini	40	-0.662	-1	0.947	-0.771	-0.916	0.783	0.206	-0.224	0.727	0.178	-0.186	0.492	-1.4	-0.524	0.915	Exponential	0.947
Primates	418	-0.564	-0.324	0.867	-0.752	-0.037	0.514	0.254	-0.065	0.487	0.212	-0.006	0.165	-1.103	-0.685	0.781	Exponential	0.867
Primates other	366	-0.484	-0.513	0.938	-0.731	-0.102	0.603	0.276	-0.112	0.622	0.216	-0.017	0.235	-1.15	-0.736	0.756	Exponential	0.938
Hominidae not Hominini	34	-0.657	-0.92	0.924	-0.762	-0.881	0.826	0.205	-0.21	0.721	0.179	-0.187	0.559	-1.398	-0.601	0.908	Exponential	0.924
Hominini	13	-0.303	-0.102	0.953	-0.401	-0.011	0.786	0.476	-0.056	0.767	0.415	-0.005	0.528	-0.563	-0.347	0.815	Exponential	0.953
Primates	413	-0.572	-0.334	0.863	-0.773	-0.038	0.494	0.252	-0.067	0.482	0.207	-0.006	0.155	-1.131	-0.703	0.8	Exponential	0.863
Primates other	359	-0.487	-0.474	0.911	-0.731	-0.079	0.534	0.277	-0.106	0.593	0.217	-0.013	0.193	-1.099	-0.674	0.71	Exponential	0.911
Hominini	13	-0.289	-0.091	0.897	-0.344	-0.01	0.817	0.51	-0.055	0.722	0.471	-0.006	0.584	-0.568	-0.353	0.891	Exponential	0.897
Hominidae not Hominini	38	-0.608	-1.495	0.921	-0.715	-2.329	0.863	0.226	-0.363	0.748	0.197	-0.525	0.604	-1.49	-0.62	0.89	Exponential	0.921
Primates	410	-0.573	-0.311	0.843	-0.752	-0.036	0.513	0.252	-0.063	0.461	0.212	-0.005	0.16	-1.099	-0.666	0.772	Exponential	0.843
Primates other	367	-0.514	-0.473	0.914	-0.75	-0.079	0.533	0.265	-0.101	0.591	0.209	-0.013	0.191	-1.132	-0.656	0.724	Exponential	0.914
Hominini	13	-0.307	-0.097	0.956	-0.395	-0.01	0.812	0.475	-0.054	0.775	0.419	-0.005	0.556	-0.563	-0.368	0.863	Exponential	0.956
Hominidae not Hominini	33	-0.577	-0.987	0.97	-0.707	-0.889	0.818	0.241	-0.257	0.793	0.203	-0.209	0.543	-1.263	-0.483	0.821	Exponential	0.97
Primates	413	-0.583	-0.319	0.864	-0.77	-0.036	0.514	0.245	-0.063	0.478	0.204	-0.005	0.161	-1.119	-0.66	0.777	Exponential	0.864
Primates other	359	-0.534	-0.461	0.901	-0.764	-0.072	0.5	0.259	-0.096	0.573	0.206	-0.011	0.179	-1.162	-0.692	0.759	Exponential	0.901
Hominidae not Hominini	38	-0.706	-0.925	0.958	-0.808	-0.889	0.837	0.185	-0.192	0.776	0.161	-0.17	0.573	-1.392	-0.491	0.891	Exponential	0.958
Hominini	11	-0.254	-0.096	0.912	-0.336	-0.01	0.77	0.545	-0.062	0.703	0.486	-0.006	0.508	-0.508	-0.333	0.804	Exponential	0.912
Primates	408	-0.602	-0.314	0.849	-0.783	-0.035	0.498	0.238	-0.06	0.467	0.2	-0.005	0.156	-1.144	-0.677	0.798	Exponential	0.849
Primates other	358	-0.498	-0.501	0.898	-0.742	-0.077	0.462	0.279	-0.113	0.575	0.22	-0.013	0.164	-1.154	-0.699	0.753	Exponential	0.898
Hominidae not Hominini	34	-0.468	-1.68	0.979	-0.598	-2.598	0.874	0.304	-0.53	0.82	0.257	-0.738	0.594	-1.356	-0.578	0.869	Exponential	0.979
Hominini	13	-0.298	-0.09	0.927	-0.377	-0.01	0.852	0.481	-0.051	0.776	0.432	-0.005	0.628	-0.524	-0.371	0.797	Exponential	0.927
Primates	405	-0.586	-0.307	0.82	-0.759	-0.033	0.479	0.253	-0.062	0.432	0.214	-0.005	0.144	-1.132	-0.693	0.806	Exponential	0.82
Primates other	361	-0.498	-0.506	0.944	-0.743	-0.104	0.621	0.263	-0.108	0.64	0.205	-0.017	0.249	-1.14	-0.716	0.741	Exponential	0.944
Hominini	12	-0.27	-0.087	0.855	-0.32	-0.01	0.79	0.54	-0.056	0.662	0.503	-0.006	0.547	-0.547	-0.296	0.815	Exponential	0.855
Hominidae not Hominini	37	-0.741	-0.849	0.864	-0.821	-0.784	0.763	0.178	-0.172	0.632	0.16	-0.149	0.489	-1.464	-0.555	0.933	Power	0.933
Primates	410	-0.604	-0.307	0.845	-0.79	-0.034	0.499	0.235	-0.059	0.459	0.196	-0.005	0.151	-1.123	-0.667	0.778	Exponential	0.845
Primates other	362	-0.507	-0.513	0.966	-0.74	-0.119	0.686	0.257	-0.107	0.685	0.202	-0.019	0.297	-1.157	-0.681	0.737	Exponential	0.966
Hominidae not Hominini	37	-0.598	-1.046	0.954	-0.727	-0.95	0.783	0.234	-0.262	0.728	0.198	-0.213	0.479	-1.334	-0.524	0.874	Exponential	0.954
Hominini	13	-0.331	-0.083	0.873	-0.386	-0.009	0.82	0.461	-0.046	0.707	0.427	-0.005	0.602	-0.556	-0.382	0.857	Exponential	0.873
Primates	412	-0.622	-0.3	0.852	-0.808	-0.033	0.508	0.225	-0.055	0.472	0.188	-0.005	0.16	-1.14	-0.687	0.795	Exponential	0.852
Primates other	348	-0.474	-0.492	0.945	-0.702	-0.098	0.613	0.289	-0.114	0.625	0.229	-0.017	0.239	-1.125	-0.674	0.756	Exponential	0.945
Hominidae not Hominini	38	-0.69	-0.925	0.919	-0.785	-0.86	0.79	0.196	-0.202	0.696	0.173	-0.172	0.507	-1.4	-0.509	0.901	Exponential	0.919
Hominini	13	-0.275	-0.104	0.943	-0.365	-0.011	0.766	0.516	-0.062	0.735	0.455	-0.006	0.492	-0.57	-0.292	0.796	Exponential	0.943
Primates	399	-0.565	-0.324	0.874	-0.76	-0.037	0.507	0.256	-0.067	0.489	0.212	-0.006	0.16	-1.116	-0.67	0.799	Exponential	0.874
Hominidae not Hominini	41	-0.65	-1.014	0.948	-0.768	-0.936	0.792	0.21	-0.23	0.729	0.179	-0.191	0.491	-1.383	-0.52	0.888	Exponential	0.948
Primates other	370	-0.509	-0.484	0.902	-0.754	-0.079	0.51	0.268	-0.104	0.572	0.211	-0.013	0.182	-1.145	-0.713	0.74	Exponential	0.902
Hominini	13	-0.272	-0.108	0.861	-0.351	-0.011	0.677	0.536	-0.066	0.6	0.483	-0.006	0.397	-0.56	-0.427	0.906	Power	0.906
Primates	424	-0.581	-0.333	0.847	-0.773	-0.037	0.476	0.248	-0.066	0.459	0.206	-0.005	0.144	-1.135	-0.703	0.792	Exponential	0.847
Primates other	358	-0.443	-0.564	0.962	-0.69	-0.131	0.65	0.293	-0.129	0.679	0.23	-0.024	0.289	-1.144	-0.78	0.756	Exponential	0.962
Hominidae not Hominini	41	-0.586	-1.6	0.957	-0.705	-2.538	0.89	0.233	-0.391	0.798	0.2	-0.569	0.624	-1.464	-0.591	0.862	Exponential	0.957
Hominini	12	-0.216	-0.1	0.896	-0.285	-0.011	0.792	0.601	-0.068	0.671	0.546	-0.007	0.514	-0.479	-0.434	0.904	Power	0.904
Primates	411	-0.564	-0.327	0.847	-0.751	-0.036	0.484	0.258	-0.066	0.469	0.216	-0.006	0.155	-1.123	-0.739	0.804	Exponential	0.847
Primates other	367	-0.475	-0.506	0.946	-0.735	-0.095	0.568	0.278	-0.113	0.67	0.214	-0.016	0.237	-1.134	-0.733	0.756	Exponential	0.946
Hominidae not Hominini	43	-0.738	-0.938	0.823	-0.825	-0.858	0.709	0.18	-0.185	0.563	0.161	-0.157	0.416	-1.506	-0.581	0.894	Power	0.894
Hominini	13	-0.274	-0.096	0.926	-0.348	-0.011	0.822	0.518	-0.058	0.736	0.467	-0.006	0.563	-0.538	-0.368	0.854	Exponential	0.926
Primates	423	-0.58	-0.319	0.865	-0.779	-0.036	0.502	0.246	-0.063	0.497	0.202	-0.005	0.162	-1.125	-0.706	0.805	Exponential	0.865
Hominini	13	-0.269	-0.101	0.936	-0.354	-0.011	0.807	0.52	-0.06	0.737	0.463	-0.006	0.538	-0.533	-0.352	0.81	Exponential	0.936
Primates other	357	-0.442	-0.557	0.951	-0.703	-0.117	0.59	0.295	-0.131	0.672	0.227	-0.021	0.245	-1.117	-0.709	0.724	Exponential	0.951
Hominidae not Hominini	36	-0.598	-1.439	0.976	-0.739	-2.208	0.97	0.209	-0.316	0.952	0.174	-0.449	0.809	-1.382	-0.533	0.732	Exponential	0.976
Primates	406	-0.559	-0.334	0.849	-0.758	-0.037	0.474	0.258	-0.069	0.475	0.212	-0.006	0.146	-1.104	-0.698	0.776	Exponential	0.849
Primates other	359	-0.518	-0.486	0.931	-0.782	-0.083	0.535	0.253	-0.099	0.629	0.194	-0.013	0.211	-1.154	-0.755	0.757	Exponential	0.931
Hominidae not Hominini	38	-0.576	-1.53	0.983	-0.737	-2.253	0.94	0.217	-0.34	0.914	0.178	-0.461	0.74	-1.385	-0.548	0.718	Exponential	0.983
Hominini	13	-0.3	-0.095	0.865	-0.365	-0.01	0.774	0.499	-0.055	0.642	0.456	-0.006	0.503	-0.552	-0.392	0.85	Exponential	0.865
Primates	410	-0.616	-0.309	0.848	-0.811	-0.034	0.499	0.226	-0.057	0.464	0.187	-0.005	0.156	-1.138	-0.744	0.806	Exponential	0.848
Primates other	361	-0.478	-0.559	0.966	-0.712	-0.136	0.656	0.277	-0.126	0.687	0.217	-0.024	0.284	-1.156	-0.674	0.741	Exponential	0.966
Hominini	13	-0.307	-0.1	0.887	-0.376	-0.011	0.738	0.494	-0.057	0.648	0.449	-0.006	0.461	-0.595	-0.311	0.831	Exponential	0.887
Hominidae not Hominini	34	-0.521	-1.085	0.933	-0.641	-1.001	0.761	0.282	-0.324	0.7	0.242	-0.267	0.457	-1.299	-0.555	0.894	Exponential	0.933
Primates	408	-0.584	-0.337	0.849	-0.776	-0.036	0.455	0.247	-0.068	0.471	0.205	-0.005	0.137	-1.14	-0.667	0.792	Exponential	0.849
Primates other	356	-0.487	-0.486	0.926	-0.734	-0.081	0.507	0.283	-0.114	0.609	0.22	-0.014	0.19	-1.133	-0.702	0.778	Exponential	0.926
Hominidae not Hominini	40	-0.605	-1.077	0.94	-0.736	-0.965	0.761	0.231	-0.262	0.697	0.195	-0.21	0.45	-1.369	-0.557	0.88	Exponential	0.94
Hominini	12	-0.286	-0.106	0.819	-0.366	-0.011	0.627	0.524	-0.065	0.569	0.47	-0.006	0.364	-0.564	-0.307	0.783	Exponential	0.819
Primates	408	-0.557	-0.347	0.859	-0.757	-0.039	0.461	0.262	-0.075	0.482	0.215	-0.006	0.14	-1.121	-0.679	0.804	Exponential	0.859
Primates other	363	-0.494	-0.511	0.909	-0.765	-0.084	0.479	0.27	-0.112	0.649	0.205	-0.014	0.193	-1.143	-0.695	0.719	Exponential	0.909
Hominidae not Hominini	34	-0.607	-1.643	0.899	-0.744	-2.222	0.699	0.231	-0.412	0.667	0.193	-0.496	0.41	-1.474	-0.571	0.88	Exponential	0.899
Hominini	13	-0.317	-0.103	0.817	-0.4	-0.01	0.62	0.486	-0.058	0.578	0.434	-0.005	0.361	-0.593	-0.307	0.79	Exponential	0.817
Primates	410	-0.588	-0.332	0.827	-0.792	-0.034	0.434	0.244	-0.066	0.479	0.2	-0.005	0.134	-1.133	-0.671	0.763	Exponential	0.827
Primates other	365	-0.425	-0.59	0.959	-0.695	-0.141	0.627	0.299	-0.141	0.707	0.227	-0.026	0.279	-1.107	-0.67	0.689	Exponential	0.959
Hominini	13	-0.31	-0.094	0.952	-0.389	-0.01	0.835	0.473	-0.053	0.777	0.423	-0.005	0.584	-0.573	-0.342	0.847	Exponential	0.952
Hominidae not Hominini	34	-0.515	-1.611	0.988	-0.676	-2.347	0.901	0.256	-0.422	0.868	0.209	-0.562	0.66	-1.431	-0.676	0.856	Exponential	0.988
Primates	412	-0.556	-0.341	0.849	-0.762	-0.037	0.461	0.259	-0.071	0.475	0.212	-0.006	0.139	-1.1	-0.671	0.76	Exponential	0.849
Hominini	13	-0.273	-0.101	0.85	-0.333	-0.011	0.749	0.537	-0.062	0.61	0.495	-0.007	0.466	-0.564	-0.319	0.811	Exponential	0.85
Primates other	363	-0.457	-0.603	0.952	-0.718	-0.144	0.601	0.285	-0.14	0.673	0.218	-0.026	0.255	-1.157	-0.727	0.741	Exponential	0.952
Hominidae not Hominini	35	-0.536	-1.636	0.926	-0.669	-2.408	0.81	0.265	-0.453	0.711	0.224	-0.609	0.52	-1.486	-0.673	0.911	Exponential	0.926
Primates	411	-0.588	-0.336	0.821	-0.777	-0.037	0.447	0.247	-0.067	0.434	0.205	-0.005	0.128	-1.142	-0.718	0.803	Exponential	0.821
Primates other	379	-0.488	-0.549	0.954	-0.737	-0.116	0.592	0.273	-0.121	0.663	0.212	-0.019	0.239	-1.169	-0.694	0.753	Exponential	0.954
Hominidae not Hominini	35	-0.564	-1.523	0.981	-0.693	-2.334	0.905	0.24	-0.39	0.872	0.203	-0.546	0.671	-1.371	-0.525	0.815	Exponential	0.981
Hominini	13	-0.263	-0.105	0.936	-0.362	-0.011	0.778	0.523	-0.062	0.726	0.458	-0.006	0.504	-0.525	-0.31	0.706	Exponential	0.936
Primates	427	-0.583	-0.343	0.862	-0.784	-0.038	0.468	0.245	-0.068	0.486	0.202	-0.006	0.144	-1.144	-0.673	0.788	Exponential	0.862
Primates other	362	-0.465	-0.5	0.956	-0.703	-0.105	0.639	0.287	-0.116	0.662	0.224	-0.019	0.263	-1.112	-0.692	0.746	Exponential	0.956
Hominini	12	-0.246	-0.09	0.903	-0.31	-0.01	0.818	0.558	-0.059	0.727	0.51	-0.006	0.579	-0.51	-0.34	0.833	Exponential	0.903
Hominidae not Hominini	32	-0.491	-1.531	0.977	-0.633	-2.328	0.938	0.273	-0.433	0.884	0.228	-0.607	0.722	-1.355	-0.62	0.813	Exponential	0.977
Primates	406	-0.559	-0.312	0.863	-0.748	-0.035	0.509	0.26	-0.065	0.483	0.216	-0.005	0.16	-1.096	-0.694	0.803	Exponential	0.863
Primates other	362	-0.505	-0.489	0.92	-0.762	-0.078	0.494	0.269	-0.107	0.607	0.207	-0.013	0.183	-1.145	-0.691	0.751	Exponential	0.92
Hominini	12	-0.253	-0.09	0.898	-0.312	-0.01	0.816	0.553	-0.058	0.717	0.509	-0.006	0.576	-0.53	-0.293	0.801	Exponential	0.898
Hominidae not Hominini	42	-0.596	-1.753	0.947	-0.724	-2.927	0.861	0.228	-0.417	0.775	0.193	-0.639	0.593	-1.516	-0.613	0.867	Exponential	0.947
Primates	416	-0.601	-0.302	0.836	-0.781	-0.033	0.49	0.242	-0.059	0.446	0.202	-0.005	0.148	-1.133	-0.669	0.801	Exponential	0.836
Hominidae not Hominini	35	-0.586	-1.048	0.906	-0.696	-0.947	0.731	0.248	-0.28	0.656	0.216	-0.228	0.43	-1.354	-0.548	0.913	Power	0.913
Hominini	13	-0.235	-0.107	0.929	-0.32	-0.012	0.788	0.566	-0.069	0.714	0.504	-0.007	0.507	-0.525	-0.302	0.761	Exponential	0.929
Primates other	371	-0.419	-0.688	0.988	-0.624	-0.3	0.924	0.29	-0.161	0.825	0.233	-0.058	0.531	-1.155	-0.696	0.699	Exponential	0.988
Primates	419	-0.581	-0.35	0.841	-0.783	-0.037	0.438	0.244	-0.069	0.482	0.201	-0.005	0.133	-1.129	-0.664	0.758	Exponential	0.841
Primates other	362	-0.452	-0.552	0.952	-0.699	-0.119	0.6	0.293	-0.13	0.659	0.229	-0.022	0.25	-1.13	-0.724	0.748	Exponential	0.952
Hominini	12	-0.243	-0.091	0.902	-0.31	-0.01	0.818	0.56	-0.059	0.724	0.51	-0.006	0.579	-0.5	-0.308	0.754	Exponential	0.902
Hominidae not Hominini	40	-0.568	-1.145	0.889	-0.7	-1.004	0.699	0.253	-0.298	0.621	0.215	-0.233	0.389	-1.409	-0.647	0.895	Power	0.895
Primates	414	-0.57	-0.319	0.836	-0.755	-0.034	0.472	0.257	-0.066	0.45	0.215	-0.005	0.142	-1.115	-0.714	0.805	Exponential	0.836
Primates other	372	-0.478	-0.514	0.928	-0.729	-0.098	0.574	0.279	-0.114	0.626	0.217	-0.017	0.222	-1.126	-0.688	0.719	Exponential	0.928
Hominini	13	-0.297	-0.093	0.912	-0.352	-0.011	0.816	0.503	-0.055	0.709	0.464	-0.006	0.553	-0.605	-0.282	0.856	Exponential	0.912
Primates	424	-0.591	-0.314	0.848	-0.78	-0.035	0.505	0.242	-0.061	0.461	0.202	-0.005	0.156	-1.123	-0.677	0.775	Exponential	0.848
Primates other	372	-0.529	-0.464	0.895	-0.775	-0.071	0.492	0.256	-0.096	0.587	0.2	-0.011	0.179	-1.144	-0.69	0.726	Exponential	0.895
Hominini	13	-0.264	-0.104	0.846	-0.34	-0.011	0.719	0.542	-0.064	0.595	0.49	-0.006	0.434	-0.52	-0.454	0.875	Power	0.875
Hominidae not Hominini	37	-0.63	-1.601	0.951	-0.791	-2.204	0.812	0.203	-0.339	0.762	0.166	-0.429	0.549	-1.581	-0.733	0.901	Exponential	0.951
Primates	422	-0.599	-0.317	0.844	-0.786	-0.036	0.495	0.238	-0.06	0.466	0.198	-0.005	0.155	-1.131	-0.684	0.779	Exponential	0.844
Primates other	367	-0.477	-0.494	0.921	-0.72	-0.089	0.56	0.285	-0.112	0.605	0.223	-0.015	0.208	-1.118	-0.693	0.732	Exponential	0.921
Hominini	12	-0.29	-0.086	0.872	-0.352	-0.009	0.823	0.503	-0.051	0.695	0.461	-0.005	0.593	-0.481	-0.495	0.927	Power	0.927
Hominidae not Hominini	33	-0.554	-1.027	0.945	-0.683	-0.922	0.785	0.257	-0.281	0.731	0.217	-0.227	0.495	-1.274	-0.525	0.831	Exponential	0.945
Primates	412	-0.566	-0.315	0.839	-0.754	-0.035	0.5	0.257	-0.065	0.454	0.214	-0.005	0.152	-1.101	-0.699	0.782	Exponential	0.839
Primates other	361	-0.498	-0.473	0.917	-0.726	-0.079	0.534	0.281	-0.107	0.583	0.224	-0.013	0.191	-1.142	-0.671	0.763	Exponential	0.917
Hominini	12	-0.247	-0.103	0.927	-0.333	-0.011	0.762	0.554	-0.066	0.707	0.492	-0.006	0.487	-0.517	-0.398	0.895	Exponential	0.927
Hominidae not Hominini	37	-0.588	-1.066	0.948	-0.708	-0.977	0.769	0.242	-0.276	0.723	0.208	-0.226	0.469	-1.342	-0.528	0.899	Exponential	0.948
Primates	410	-0.562	-0.327	0.863	-0.747	-0.038	0.499	0.262	-0.069	0.474	0.219	-0.006	0.155	-1.124	-0.664	0.803	Exponential	0.863
Hominini	13	-0.295	-0.088	0.908	-0.376	-0.009	0.845	0.483	-0.05	0.754	0.433	-0.005	0.629	-0.452	-0.553	0.94	Power	0.94
Primates other	363	-0.462	-0.566	0.984	-0.702	-0.156	0.75	0.276	-0.125	0.728	0.215	-0.027	0.355	-1.144	-0.676	0.711	Exponential	0.984
Hominidae not Hominini	38	-0.56	-1.59	0.933	-0.682	-2.445	0.858	0.248	-0.413	0.753	0.213	-0.585	0.587	-1.462	-0.632	0.87	Exponential	0.933
Primates	414	-0.598	-0.317	0.851	-0.798	-0.034	0.479	0.237	-0.061	0.477	0.195	-0.005	0.149	-1.128	-0.675	0.775	Exponential	0.851
Hominidae not Hominini	40	-0.653	-1.021	0.794	-0.736	-0.948	0.669	0.224	-0.242	0.524	0.202	-0.208	0.377	-1.501	-0.611	0.919	Power	0.919
Primates other	360	-0.39	-0.661	0.986	-0.605	-0.271	0.911	0.309	-0.164	0.803	0.246	-0.056	0.511	-1.119	-0.71	0.703	Exponential	0.986
Hominini	13	-0.327	-0.101	0.79	-0.402	-0.01	0.62	0.478	-0.056	0.533	0.433	-0.005	0.357	-0.579	-0.454	0.897	Power	0.897
Primates	413	-0.557	-0.37	0.829	-0.782	-0.036	0.382	0.257	-0.078	0.482	0.205	-0.005	0.111	-1.115	-0.684	0.757	Exponential	0.829
Primates other	362	-0.441	-0.54	0.962	-0.696	-0.119	0.636	0.294	-0.126	0.681	0.228	-0.022	0.276	-1.119	-0.748	0.744	Exponential	0.962
Hominidae not Hominini	35	-0.469	-1.773	0.948	-0.628	-2.564	0.818	0.295	-0.524	0.739	0.244	-0.685	0.521	-1.43	-0.682	0.85	Exponential	0.948
Hominini	13	-0.267	-0.093	0.912	-0.343	-0.01	0.822	0.524	-0.056	0.74	0.472	-0.006	0.582	-0.509	-0.372	0.815	Exponential	0.912
Primates	410	-0.553	-0.322	0.85	-0.748	-0.035	0.483	0.263	-0.068	0.476	0.218	-0.006	0.152	-1.101	-0.727	0.804	Exponential	0.85
Primates other	372	-0.428	-0.673	0.981	-0.635	-0.285	0.904	0.289	-0.158	0.8	0.231	-0.055	0.505	-1.159	-0.666	0.693	Exponential	0.981
Hominidae not Hominini	38	-0.641	-0.996	0.937	-0.779	-0.87	0.784	0.207	-0.22	0.729	0.174	-0.175	0.505	-1.368	-0.571	0.833	Exponential	0.937
Hominini	12	-0.247	-0.1	0.924	-0.316	-0.011	0.82	0.556	-0.065	0.726	0.504	-0.007	0.556	-0.525	-0.352	0.855	Exponential	0.924
Primates	422	-0.598	-0.344	0.836	-0.806	-0.038	0.445	0.237	-0.067	0.469	0.193	-0.005	0.133	-1.146	-0.681	0.771	Exponential	0.836
Primates other	372	-0.5	-0.507	0.92	-0.744	-0.094	0.562	0.27	-0.109	0.59	0.212	-0.015	0.208	-1.151	-0.712	0.739	Exponential	0.92
Hominini	13	-0.259	-0.094	0.882	-0.316	-0.01	0.791	0.551	-0.06	0.675	0.508	-0.006	0.531	-0.549	-0.306	0.821	Exponential	0.882
Hominidae not Hominini	35	-0.535	-1.709	0.928	-0.629	-3.406	0.916	0.265	-0.493	0.842	0.233	-0.908	0.709	-1.392	-0.535	0.844	Exponential	0.928
Primates	420	-0.598	-0.305	0.829	-0.775	-0.034	0.497	0.243	-0.059	0.433	0.205	-0.005	0.149	-1.13	-0.693	0.791	Exponential	0.829
Primates other	349	-0.496	-0.468	0.909	-0.734	-0.078	0.533	0.275	-0.104	0.595	0.217	-0.013	0.197	-1.128	-0.713	0.753	Exponential	0.909
Hominini	13	-0.302	-0.089	0.929	-0.377	-0.01	0.851	0.48	-0.051	0.781	0.431	-0.005	0.626	-0.56	-0.275	0.709	Exponential	0.929
Hominidae not Hominini	35	-0.5	-1.564	0.968	-0.633	-2.481	0.939	0.27	-0.437	0.881	0.228	-0.638	0.725	-1.38	-0.625	0.826	Exponential	0.968
Primates	397	-0.573	-0.302	0.849	-0.751	-0.034	0.518	0.254	-0.062	0.465	0.214	-0.005	0.164	-1.103	-0.664	0.784	Exponential	0.849
Primates other	363	-0.428	-0.587	0.965	-0.695	-0.14	0.647	0.296	-0.138	0.677	0.226	-0.025	0.272	-1.123	-0.761	0.738	Exponential	0.965
Hominini	12	-0.272	-0.098	0.946	-0.362	-0.01	0.809	0.514	-0.058	0.757	0.453	-0.006	0.551	-0.513	-0.385	0.843	Exponential	0.946
