"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominini"	"21"	"-0.265"	"-0.415"	"0.905"	"0.462"	"-0.2"	"0.877"	"-0.782"	"-0.662"	"0.797"	"exponential"	"0.905"
"Primates other"	"357"	"-0.472"	"-0.212"	"0.979"	"0.259"	"-0.042"	"0.732"	"-0.856"	"-0.711"	"0.677"	"exponential"	"0.979"
"Hominidae not Hominini"	"27"	"-0.219"	"-0.239"	"0.877"	"0.487"	"-0.116"	"0.938"	"-0.569"	"-0.704"	"0.747"	"linear"	"0.938"
"Primates"	"405"	"-0.435"	"-0.225"	"0.978"	"0.278"	"-0.048"	"0.733"	"-0.838"	"-0.73"	"0.681"	"exponential"	"0.978"
"Hominini"	"23"	"-0.193"	"-0.455"	"0.902"	"0.524"	"-0.241"	"0.972"	"-0.725"	"-0.427"	"0.594"	"linear"	"0.972"
"Primates other"	"354"	"-0.378"	"-0.26"	"0.981"	"0.29"	"-0.056"	"0.819"	"-0.828"	"-0.685"	"0.594"	"exponential"	"0.981"
"Hominidae not Hominini"	"31"	"-0.452"	"-0.223"	"0.984"	"0.275"	"-0.061"	"0.907"	"-0.762"	"-0.769"	"0.836"	"exponential"	"0.984"
"Primates"	"408"	"-0.365"	"-0.27"	"0.983"	"0.299"	"-0.059"	"0.818"	"-0.825"	"-0.713"	"0.611"	"exponential"	"0.983"
"Primates other"	"369"	"-0.456"	"-0.231"	"0.983"	"0.267"	"-0.047"	"0.733"	"-0.869"	"-0.727"	"0.684"	"exponential"	"0.983"
"Hominini"	"22"	"-0.089"	"-0.569"	"0.972"	"0.528"	"-0.258"	"0.921"	"-0.733"	"-1.098"	"0.829"	"exponential"	"0.972"
"Hominidae not Hominini"	"33"	"-0.372"	"-0.2"	"0.948"	"0.359"	"-0.081"	"0.85"	"-0.645"	"-0.63"	"0.829"	"exponential"	"0.948"
"Primates"	"424"	"-0.426"	"-0.242"	"0.985"	"0.281"	"-0.051"	"0.732"	"-0.842"	"-0.757"	"0.686"	"exponential"	"0.985"
"Primates other"	"373"	"-0.354"	"-0.259"	"0.992"	"0.304"	"-0.057"	"0.817"	"-0.803"	"-0.666"	"0.57"	"exponential"	"0.992"
"Hominini"	"23"	"-0.124"	"-0.537"	"0.826"	"0.573"	"-0.298"	"0.98"	"-0.697"	"-0.298"	"0.415"	"linear"	"0.98"
"Hominidae not Hominini"	"33"	"-0.425"	"-0.245"	"0.977"	"0.314"	"-0.077"	"0.885"	"-0.805"	"-0.623"	"0.807"	"exponential"	"0.977"
"Primates"	"429"	"-0.344"	"-0.269"	"0.994"	"0.312"	"-0.061"	"0.806"	"-0.798"	"-0.697"	"0.591"	"exponential"	"0.994"
"Primates other"	"360"	"-0.48"	"-0.196"	"0.96"	"0.268"	"-0.041"	"0.663"	"-0.843"	"-0.691"	"0.694"	"exponential"	"0.96"
"Hominini"	"21"	"-0.043"	"-0.66"	"0.904"	"0.636"	"-0.38"	"0.96"	"-0.732"	"-0.83"	"0.706"	"linear"	"0.96"
"Hominidae not Hominini"	"31"	"-0.42"	"-0.199"	"0.866"	"0.329"	"-0.076"	"0.759"	"-0.696"	"-0.548"	"0.733"	"exponential"	"0.866"
"Primates"	"412"	"-0.458"	"-0.206"	"0.961"	"0.278"	"-0.044"	"0.653"	"-0.827"	"-0.721"	"0.698"	"exponential"	"0.961"
"Primates other"	"367"	"-0.452"	"-0.236"	"0.951"	"0.253"	"-0.045"	"0.733"	"-0.813"	"-0.871"	"0.701"	"exponential"	"0.951"
