"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominidae not Hominini"	"36"	"-0.461"	"-0.196"	"0.963"	"0.315"	"-0.075"	"0.899"	"-0.773"	"-0.45"	"0.834"	"exponential"	"0.963"
"Hominini"	"13"	"0.098"	"-0.524"	"0.915"	"0.866"	"-0.407"	"0.889"	"-0.498"	"-0.806"	"0.671"	"exponential"	"0.915"
"Primates"	"404"	"-0.311"	"-0.299"	"0.964"	"0.328"	"-0.073"	"0.856"	"-0.796"	"-0.686"	"0.574"	"exponential"	"0.964"
"Hominini"	"12"	"-0.109"	"-0.431"	"0.944"	"0.674"	"-0.315"	"0.947"	"-0.61"	"-0.437"	"0.707"	"linear"	"0.947"
"Primates other"	"374"	"-0.478"	"-0.224"	"0.969"	"0.252"	"-0.044"	"0.744"	"-0.888"	"-0.641"	"0.615"	"exponential"	"0.969"
"Hominidae not Hominini"	"39"	"-0.383"	"-0.279"	"0.976"	"0.334"	"-0.089"	"0.879"	"-0.799"	"-0.672"	"0.786"	"exponential"	"0.976"
"Primates"	"425"	"-0.452"	"-0.235"	"0.97"	"0.265"	"-0.048"	"0.736"	"-0.875"	"-0.636"	"0.609"	"exponential"	"0.97"
"Hominini"	"12"	"0.5"	"-0.794"	"0.964"	"1.177"	"-0.618"	"0.928"	"-0.333"	"-2.066"	"0.901"	"exponential"	"0.964"
"Hominidae not Hominini"	"37"	"-0.321"	"-0.253"	"0.951"	"0.377"	"-0.089"	"0.854"	"-0.723"	"-0.466"	"0.575"	"exponential"	"0.951"
"Primates other"	"369"	"-0.453"	"-0.268"	"0.984"	"0.258"	"-0.053"	"0.76"	"-0.911"	"-0.712"	"0.658"	"exponential"	"0.984"
"Primates"	"418"	"-0.404"	"-0.279"	"0.986"	"0.282"	"-0.059"	"0.764"	"-0.872"	"-0.712"	"0.637"	"exponential"	"0.986"
"Primates other"	"370"	"-0.397"	"-0.247"	"0.965"	"0.291"	"-0.054"	"0.759"	"-0.831"	"-0.714"	"0.632"	"exponential"	"0.965"
"Hominini"	"13"	"0.03"	"-0.442"	"0.863"	"0.764"	"-0.319"	"0.986"	"-0.504"	"-0.819"	"0.694"	"linear"	"0.986"
"Hominidae not Hominini"	"36"	"-0.344"	"-0.255"	"0.961"	"0.367"	"-0.092"	"0.898"	"-0.721"	"-0.67"	"0.783"	"exponential"	"0.961"
"Primates"	"419"	"-0.369"	"-0.257"	"0.966"	"0.307"	"-0.059"	"0.759"	"-0.809"	"-0.736"	"0.635"	"exponential"	"0.966"
"Primates other"	"367"	"-0.401"	"-0.241"	"0.981"	"0.286"	"-0.051"	"0.778"	"-0.843"	"-0.651"	"0.585"	"exponential"	"0.981"
"Hominini"	"13"	"0.2"	"-0.571"	"0.788"	"0.957"	"-0.464"	"0.971"	"-0.445"	"-1.074"	"0.646"	"linear"	"0.971"
"Hominidae not Hominini"	"37"	"-0.508"	"-0.193"	"0.854"	"0.256"	"-0.056"	"0.735"	"-0.73"	"-0.693"	"0.755"	"exponential"	"0.854"
"Primates"	"417"	"-0.375"	"-0.252"	"0.985"	"0.296"	"-0.054"	"0.771"	"-0.816"	"-0.676"	"0.579"	"exponential"	"0.985"
"Primates other"	"357"	"-0.462"	"-0.224"	"0.969"	"0.256"	"-0.044"	"0.716"	"-0.834"	"-0.783"	"0.695"	"exponential"	"0.969"
"Hominidae not Hominini"	"34"	"-0.437"	"-0.207"	"0.908"	"0.33"	"-0.081"	"0.805"	"-0.741"	"-0.512"	"0.82"	"exponential"	"0.908"
"Hominini"	"11"	"0.48"	"-0.859"	"0.811"	"1.212"	"-0.719"	"0.919"	"-0.417"	"-1.971"	"0.778"	"linear"	"0.919"
"Primates"	"402"	"-0.43"	"-0.235"	"0.975"	"0.274"	"-0.049"	"0.711"	"-0.813"	"-0.802"	"0.703"	"exponential"	"0.975"
"Hominidae not Hominini"	"37"	"-0.424"	"-0.25"	"0.975"	"0.32"	"-0.079"	"0.839"	"-0.825"	"-0.681"	"0.859"	"exponential"	"0.975"
"Primates other"	"359"	"-0.451"	"-0.221"	"0.975"	"0.265"	"-0.045"	"0.694"	"-0.809"	"-0.816"	"0.722"	"exponential"	"0.975"
"Hominini"	"13"	"0.15"	"-0.589"	"0.947"	"0.771"	"-0.364"	"0.948"	"-0.498"	"-1.394"	"0.841"	"linear"	"0.948"
"Primates"	"409"	"-0.427"	"-0.232"	"0.975"	"0.275"	"-0.049"	"0.691"	"-0.796"	"-0.84"	"0.722"	"exponential"	"0.975"
"Primates other"	"362"	"-0.409"	"-0.235"	"0.968"	"0.289"	"-0.052"	"0.751"	"-0.822"	"-0.715"	"0.653"	"exponential"	"0.968"
"Hominidae not Hominini"	"34"	"-0.375"	"-0.24"	"0.955"	"0.36"	"-0.086"	"0.818"	"-0.752"	"-0.676"	"0.844"	"exponential"	"0.955"
"Hominini"	"13"	"0.299"	"-0.604"	"0.899"	"0.983"	"-0.448"	"0.921"	"-0.344"	"-1.708"	"0.863"	"linear"	"0.921"
"Primates"	"409"	"-0.377"	"-0.246"	"0.973"	"0.305"	"-0.057"	"0.746"	"-0.792"	"-0.747"	"0.656"	"exponential"	"0.973"
"Primates other"	"364"	"-0.362"	"-0.301"	"0.986"	"0.302"	"-0.069"	"0.856"	"-0.863"	"-0.637"	"0.571"	"exponential"	"0.986"
"Hominidae not Hominini"	"36"	"-0.256"	"-0.277"	"0.943"	"0.386"	"-0.095"	"0.908"	"-0.63"	"-0.777"	"0.687"	"exponential"	"0.943"
"Hominini"	"13"	"0.317"	"-0.627"	"0.963"	"1.039"	"-0.489"	"0.942"	"-0.363"	"-1.651"	"0.903"	"exponential"	"0.963"
"Primates"	"413"	"-0.317"	"-0.312"	"0.988"	"0.322"	"-0.074"	"0.854"	"-0.826"	"-0.672"	"0.565"	"exponential"	"0.988"
"Hominidae not Hominini"	"40"	"-0.414"	"-0.259"	"0.972"	"0.312"	"-0.078"	"0.882"	"-0.796"	"-0.698"	"0.803"	"exponential"	"0.972"
"Primates other"	"365"	"-0.455"	"-0.22"	"0.969"	"0.263"	"-0.044"	"0.704"	"-0.823"	"-0.792"	"0.7"	"exponential"	"0.969"
"Hominini"	"13"	"-0.021"	"-0.407"	"0.895"	"0.804"	"-0.382"	"0.966"	"-0.458"	"-0.363"	"0.585"	"linear"	"0.966"
"Primates"	"418"	"-0.429"	"-0.231"	"0.972"	"0.279"	"-0.048"	"0.708"	"-0.821"	"-0.785"	"0.691"	"exponential"	"0.972"
"Hominini"	"13"	"0.056"	"-0.548"	"0.806"	"0.786"	"-0.394"	"0.9"	"-0.565"	"-0.553"	"0.485"	"linear"	"0.9"
"Primates other"	"366"	"-0.435"	"-0.252"	"0.972"	"0.265"	"-0.05"	"0.75"	"-0.844"	"-0.798"	"0.684"	"exponential"	"0.972"
"Hominidae not Hominini"	"37"	"-0.324"	"-0.403"	"0.963"	"0.377"	"-0.14"	"0.832"	"-0.858"	"-0.853"	"0.858"	"exponential"	"0.963"
"Primates"	"416"	"-0.412"	"-0.265"	"0.977"	"0.282"	"-0.056"	"0.733"	"-0.839"	"-0.809"	"0.694"	"exponential"	"0.977"
"Primates other"	"360"	"-0.42"	"-0.202"	"0.955"	"0.284"	"-0.043"	"0.695"	"-0.77"	"-0.721"	"0.63"	"exponential"	"0.955"
"Hominini"	"13"	"-0.003"	"-0.457"	"0.955"	"0.791"	"-0.359"	"0.946"	"-0.538"	"-0.56"	"0.679"	"exponential"	"0.955"
"Hominidae not Hominini"	"39"	"-0.537"	"-0.18"	"0.985"	"0.258"	"-0.056"	"0.898"	"-0.802"	"-0.485"	"0.827"	"exponential"	"0.985"
"Primates"	"412"	"-0.406"	"-0.21"	"0.964"	"0.292"	"-0.046"	"0.702"	"-0.773"	"-0.704"	"0.628"	"exponential"	"0.964"
"Primates other"	"367"	"-0.435"	"-0.228"	"0.956"	"0.274"	"-0.047"	"0.687"	"-0.794"	"-0.821"	"0.698"	"exponential"	"0.956"
"Hominidae not Hominini"	"37"	"-0.239"	"-0.332"	"0.93"	"0.394"	"-0.115"	"0.911"	"-0.702"	"-0.809"	"0.698"	"exponential"	"0.93"
"Hominini"	"13"	"0.1"	"-0.458"	"0.841"	"0.904"	"-0.388"	"0.969"	"-0.456"	"-0.603"	"0.552"	"linear"	"0.969"
"Primates"	"417"	"-0.396"	"-0.243"	"0.954"	"0.296"	"-0.054"	"0.687"	"-0.779"	"-0.832"	"0.692"	"exponential"	"0.954"
"Primates other"	"377"	"-0.34"	"-0.269"	"0.979"	"0.302"	"-0.059"	"0.822"	"-0.796"	"-0.673"	"0.556"	"exponential"	"0.979"
"Hominidae not Hominini"	"36"	"-0.36"	"-0.231"	"0.912"	"0.375"	"-0.097"	"0.836"	"-0.687"	"-0.57"	"0.778"	"exponential"	"0.912"
