"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominidae not Hominini"	"36"	"-0.267"	"-0.257"	"0.926"	"0.415"	"-0.1"	"0.901"	"-0.644"	"-0.674"	"0.698"	"exponential"	"0.926"
"Primates other"	"358"	"-0.367"	"-0.268"	"0.987"	"0.305"	"-0.061"	"0.819"	"-0.828"	"-0.715"	"0.637"	"exponential"	"0.987"
"Hominini"	"13"	"0.084"	"-0.504"	"0.9"	"0.743"	"-0.321"	"0.961"	"-0.5"	"-1.013"	"0.703"	"linear"	"0.961"
"Primates"	"407"	"-0.332"	"-0.278"	"0.99"	"0.323"	"-0.066"	"0.825"	"-0.802"	"-0.744"	"0.636"	"exponential"	"0.99"
"Primates other"	"375"	"-0.432"	"-0.219"	"0.953"	"0.276"	"-0.045"	"0.689"	"-0.78"	"-0.844"	"0.698"	"exponential"	"0.953"
"Hominidae not Hominini"	"36"	"-0.379"	"-0.22"	"0.926"	"0.342"	"-0.073"	"0.885"	"-0.721"	"-0.651"	"0.749"	"exponential"	"0.926"
"Hominini"	"13"	"0.068"	"-0.498"	"0.783"	"0.806"	"-0.371"	"0.958"	"-0.506"	"-0.916"	"0.657"	"linear"	"0.958"
"Primates"	"424"	"-0.404"	"-0.229"	"0.96"	"0.289"	"-0.048"	"0.694"	"-0.763"	"-0.868"	"0.704"	"exponential"	"0.96"
"Hominini"	"13"	"-0.131"	"-0.342"	"0.823"	"0.647"	"-0.247"	"0.939"	"-0.58"	"-0.396"	"0.602"	"linear"	"0.939"
"Primates other"	"357"	"-0.41"	"-0.223"	"0.975"	"0.293"	"-0.05"	"0.73"	"-0.8"	"-0.705"	"0.659"	"exponential"	"0.975"
"Hominidae not Hominini"	"37"	"-0.293"	"-0.228"	"0.952"	"0.444"	"-0.111"	"0.823"	"-0.619"	"-0.651"	"0.881"	"exponential"	"0.952"
"Primates"	"407"	"-0.376"	"-0.233"	"0.98"	"0.314"	"-0.056"	"0.731"	"-0.784"	"-0.687"	"0.644"	"exponential"	"0.98"
"Primates other"	"364"	"-0.415"	"-0.224"	"0.965"	"0.285"	"-0.048"	"0.699"	"-0.819"	"-0.649"	"0.592"	"exponential"	"0.965"
"Hominidae not Hominini"	"33"	"-0.389"	"-0.277"	"0.933"	"0.359"	"-0.114"	"0.858"	"-0.762"	"-0.421"	"0.678"	"exponential"	"0.933"
"Hominini"	"13"	"0.079"	"-0.498"	"0.882"	"0.837"	"-0.384"	"0.98"	"-0.504"	"-0.589"	"0.553"	"linear"	"0.98"
"Primates"	"410"	"-0.393"	"-0.235"	"0.966"	"0.297"	"-0.052"	"0.691"	"-0.804"	"-0.672"	"0.597"	"exponential"	"0.966"
"Primates other"	"372"	"-0.41"	"-0.238"	"0.992"	"0.285"	"-0.052"	"0.776"	"-0.829"	"-0.686"	"0.647"	"exponential"	"0.992"
"Hominidae not Hominini"	"38"	"-0.403"	"-0.191"	"0.968"	"0.351"	"-0.078"	"0.912"	"-0.709"	"-0.345"	"0.664"	"exponential"	"0.968"
"Hominini"	"12"	"0.182"	"-0.484"	"0.873"	"0.967"	"-0.406"	"0.982"	"-0.382"	"-1.08"	"0.744"	"linear"	"0.982"
"Primates"	"422"	"-0.374"	"-0.248"	"0.993"	"0.302"	"-0.057"	"0.777"	"-0.807"	"-0.671"	"0.621"	"exponential"	"0.993"
"Primates other"	"376"	"-0.365"	"-0.278"	"0.99"	"0.292"	"-0.06"	"0.856"	"-0.833"	"-0.699"	"0.589"	"exponential"	"0.99"
"Hominini"	"13"	"0.132"	"-0.537"	"0.777"	"0.852"	"-0.4"	"0.947"	"-0.486"	"-0.902"	"0.584"	"linear"	"0.947"
"Hominidae not Hominini"	"37"	"-0.495"	"-0.197"	"0.946"	"0.294"	"-0.07"	"0.792"	"-0.794"	"-0.493"	"0.883"	"exponential"	"0.946"
"Primates"	"426"	"-0.349"	"-0.283"	"0.991"	"0.303"	"-0.063"	"0.85"	"-0.82"	"-0.705"	"0.594"	"exponential"	"0.991"
"Primates other"	"365"	"-0.338"	"-0.294"	"0.988"	"0.312"	"-0.067"	"0.851"	"-0.83"	"-0.731"	"0.613"	"exponential"	"0.988"
"Hominini"	"13"	"-0.1"	"-0.414"	"0.903"	"0.659"	"-0.286"	"0.948"	"-0.602"	"-0.596"	"0.728"	"linear"	"0.948"
"Hominidae not Hominini"	"40"	"-0.486"	"-0.239"	"0.955"	"0.257"	"-0.06"	"0.914"	"-0.847"	"-0.649"	"0.734"	"exponential"	"0.955"
"Primates"	"418"	"-0.331"	"-0.299"	"0.988"	"0.317"	"-0.07"	"0.853"	"-0.829"	"-0.731"	"0.615"	"exponential"	"0.988"
"Primates other"	"366"	"-0.387"	"-0.262"	"0.978"	"0.295"	"-0.059"	"0.805"	"-0.842"	"-0.683"	"0.625"	"exponential"	"0.978"
"Hominidae not Hominini"	"34"	"-0.383"	"-0.202"	"0.955"	"0.382"	"-0.091"	"0.811"	"-0.706"	"-0.538"	"0.917"	"exponential"	"0.955"
"Hominini"	"13"	"0.037"	"-0.501"	"0.921"	"0.796"	"-0.378"	"0.978"	"-0.538"	"-0.614"	"0.629"	"linear"	"0.978"
"Primates"	"413"	"-0.359"	"-0.271"	"0.982"	"0.312"	"-0.064"	"0.802"	"-0.822"	"-0.702"	"0.635"	"exponential"	"0.982"
"Primates other"	"359"	"-0.405"	"-0.268"	"0.992"	"0.28"	"-0.058"	"0.797"	"-0.869"	"-0.712"	"0.651"	"exponential"	"0.992"
"Hominini"	"13"	"0.147"	"-0.583"	"0.845"	"0.884"	"-0.445"	"0.919"	"-0.501"	"-0.59"	"0.468"	"linear"	"0.919"
"Hominidae not Hominini"	"38"	"-0.384"	"-0.235"	"0.962"	"0.365"	"-0.096"	"0.846"	"-0.725"	"-0.662"	"0.926"	"exponential"	"0.962"
"Primates"	"410"	"-0.373"	"-0.279"	"0.992"	"0.298"	"-0.063"	"0.791"	"-0.841"	"-0.731"	"0.65"	"exponential"	"0.992"
"Primates other"	"367"	"-0.382"	"-0.295"	"0.977"	"0.285"	"-0.064"	"0.854"	"-0.864"	"-0.779"	"0.666"	"exponential"	"0.977"
"Hominini"	"13"	"0.18"	"-0.533"	"0.91"	"0.953"	"-0.434"	"0.97"	"-0.429"	"-1.198"	"0.817"	"linear"	"0.97"
"Hominidae not Hominini"	"33"	"-0.312"	"-0.239"	"0.922"	"0.414"	"-0.108"	"0.824"	"-0.631"	"-0.709"	"0.864"	"exponential"	"0.922"
"Primates"	"413"	"-0.338"	"-0.305"	"0.978"	"0.309"	"-0.072"	"0.846"	"-0.816"	"-0.812"	"0.667"	"exponential"	"0.978"
"Primates other"	"359"	"-0.401"	"-0.29"	"0.934"	"0.273"	"-0.059"	"0.79"	"-0.864"	"-0.726"	"0.589"	"exponential"	"0.934"
"Hominidae not Hominini"	"38"	"-0.39"	"-0.352"	"0.982"	"0.34"	"-0.117"	"0.909"	"-0.887"	"-0.552"	"0.743"	"exponential"	"0.982"
"Hominini"	"11"	"0.189"	"-0.565"	"0.935"	"0.89"	"-0.415"	"0.95"	"-0.442"	"-1.223"	"0.789"	"linear"	"0.95"
"Primates"	"408"	"-0.376"	"-0.303"	"0.943"	"0.29"	"-0.065"	"0.793"	"-0.854"	"-0.753"	"0.61"	"exponential"	"0.943"
"Primates other"	"358"	"-0.426"	"-0.227"	"0.974"	"0.282"	"-0.049"	"0.706"	"-0.819"	"-0.739"	"0.673"	"exponential"	"0.974"
"Hominidae not Hominini"	"34"	"-0.317"	"-0.247"	"0.953"	"0.384"	"-0.09"	"0.835"	"-0.695"	"-0.678"	"0.755"	"exponential"	"0.953"
"Hominini"	"13"	"0.481"	"-0.767"	"0.881"	"1.135"	"-0.581"	"0.946"	"-0.316"	"-2.09"	"0.845"	"linear"	"0.946"
"Primates"	"405"	"-0.387"	"-0.24"	"0.979"	"0.299"	"-0.054"	"0.701"	"-0.784"	"-0.772"	"0.669"	"exponential"	"0.979"
"Primates other"	"361"	"-0.345"	"-0.295"	"0.975"	"0.309"	"-0.07"	"0.884"	"-0.822"	"-0.768"	"0.647"	"exponential"	"0.975"
"Hominini"	"12"	"0.165"	"-0.596"	"0.824"	"0.906"	"-0.465"	"0.94"	"-0.494"	"-0.866"	"0.586"	"linear"	"0.94"
"Hominidae not Hominini"	"37"	"-0.509"	"-0.203"	"0.895"	"0.278"	"-0.067"	"0.767"	"-0.79"	"-0.589"	"0.863"	"exponential"	"0.895"
"Primates"	"410"	"-0.333"	"-0.3"	"0.974"	"0.32"	"-0.073"	"0.871"	"-0.811"	"-0.778"	"0.656"	"exponential"	"0.974"
"Primates other"	"362"	"-0.404"	"-0.246"	"0.984"	"0.281"	"-0.052"	"0.742"	"-0.806"	"-0.79"	"0.674"	"exponential"	"0.984"
"Hominidae not Hominini"	"37"	"-0.459"	"-0.216"	"0.882"	"0.308"	"-0.078"	"0.776"	"-0.758"	"-0.591"	"0.825"	"exponential"	"0.882"
"Hominini"	"13"	"0.319"	"-0.666"	"0.95"	"1.048"	"-0.526"	"0.953"	"-0.407"	"-1.569"	"0.862"	"linear"	"0.953"
"Primates"	"412"	"-0.378"	"-0.256"	"0.987"	"0.294"	"-0.056"	"0.731"	"-0.779"	"-0.827"	"0.682"	"exponential"	"0.987"
"Primates other"	"348"	"-0.311"	"-0.274"	"0.978"	"0.322"	"-0.064"	"0.82"	"-0.749"	"-0.862"	"0.663"	"exponential"	"0.978"
"Hominidae not Hominini"	"38"	"-0.531"	"-0.309"	"0.981"	"0.25"	"-0.079"	"0.89"	"-0.974"	"-0.651"	"0.852"	"exponential"	"0.981"
"Hominini"	"13"	"0.214"	"-0.532"	"0.863"	"0.883"	"-0.373"	"0.933"	"-0.354"	"-1.554"	"0.829"	"linear"	"0.933"
"Primates"	"399"	"-0.307"	"-0.283"	"0.979"	"0.327"	"-0.067"	"0.811"	"-0.755"	"-0.87"	"0.668"	"exponential"	"0.979"
"Hominidae not Hominini"	"41"	"-0.355"	"-0.232"	"0.947"	"0.375"	"-0.096"	"0.864"	"-0.682"	"-0.552"	"0.774"	"exponential"	"0.947"
"Primates other"	"370"	"-0.51"	"-0.202"	"0.939"	"0.25"	"-0.038"	"0.614"	"-0.843"	"-0.852"	"0.762"	"exponential"	"0.939"
"Hominini"	"13"	"0.022"	"-0.559"	"0.828"	"0.804"	"-0.444"	"0.975"	"-0.574"	"-0.603"	"0.608"	"linear"	"0.975"
"Primates"	"424"	"-0.472"	"-0.214"	"0.948"	"0.267"	"-0.043"	"0.61"	"-0.822"	"-0.835"	"0.741"	"exponential"	"0.948"
"Primates other"	"358"	"-0.376"	"-0.272"	"0.977"	"0.299"	"-0.061"	"0.806"	"-0.849"	"-0.664"	"0.603"	"exponential"	"0.977"
"Hominidae not Hominini"	"41"	"-0.375"	"-0.259"	"0.962"	"0.334"	"-0.084"	"0.936"	"-0.794"	"-0.427"	"0.579"	"exponential"	"0.962"
"Hominini"	"12"	"0.535"	"-0.829"	"0.98"	"1.193"	"-0.636"	"0.917"	"-0.327"	"-2.249"	"0.944"	"exponential"	"0.98"
"Primates"	"411"	"-0.343"	"-0.284"	"0.979"	"0.317"	"-0.067"	"0.807"	"-0.824"	"-0.671"	"0.589"	"exponential"	"0.979"
"Primates other"	"367"	"-0.413"	"-0.259"	"0.99"	"0.279"	"-0.056"	"0.802"	"-0.857"	"-0.67"	"0.627"	"exponential"	"0.99"
"Hominidae not Hominini"	"43"	"-0.452"	"-0.248"	"0.964"	"0.278"	"-0.067"	"0.937"	"-0.838"	"-0.619"	"0.72"	"exponential"	"0.964"
"Hominini"	"13"	"0.054"	"-0.554"	"0.974"	"0.795"	"-0.402"	"0.959"	"-0.569"	"-0.9"	"0.798"	"exponential"	"0.974"
"Primates"	"423"	"-0.392"	"-0.27"	"0.99"	"0.289"	"-0.06"	"0.801"	"-0.844"	"-0.695"	"0.631"	"exponential"	"0.99"
"Hominini"	"13"	"0.134"	"-0.527"	"0.793"	"0.944"	"-0.452"	"0.923"	"-0.482"	"-0.401"	"0.39"	"linear"	"0.923"
"Primates other"	"357"	"-0.466"	"-0.207"	"0.945"	"0.269"	"-0.043"	"0.665"	"-0.821"	"-0.742"	"0.684"	"exponential"	"0.945"
"Primates"	"406"	"-0.436"	"-0.216"	"0.952"	"0.283"	"-0.046"	"0.673"	"-0.81"	"-0.728"	"0.66"	"exponential"	"0.952"
"Primates other"	"359"	"-0.407"	"-0.286"	"0.982"	"0.274"	"-0.059"	"0.843"	"-0.884"	"-0.682"	"0.604"	"exponential"	"0.982"
"Hominidae not Hominini"	"38"	"-0.422"	"-0.256"	"0.974"	"0.335"	"-0.098"	"0.9"	"-0.797"	"-0.558"	"0.869"	"exponential"	"0.974"
"Hominini"	"13"	"0.235"	"-0.576"	"0.933"	"0.99"	"-0.461"	"0.954"	"-0.42"	"-1.257"	"0.799"	"linear"	"0.954"
"Primates"	"410"	"-0.372"	"-0.297"	"0.986"	"0.296"	"-0.066"	"0.836"	"-0.857"	"-0.705"	"0.616"	"exponential"	"0.986"
"Primates other"	"361"	"-0.371"	"-0.302"	"0.975"	"0.293"	"-0.066"	"0.872"	"-0.876"	"-0.623"	"0.559"	"exponential"	"0.975"
"Hominini"	"13"	"0.33"	"-0.657"	"0.941"	"0.985"	"-0.469"	"0.894"	"-0.362"	"-1.88"	"0.921"	"exponential"	"0.941"
"Hominidae not Hominini"	"34"	"-0.367"	"-0.182"	"0.945"	"0.353"	"-0.071"	"0.936"	"-0.636"	"-0.546"	"0.719"	"exponential"	"0.945"
"Primates"	"408"	"-0.331"	"-0.306"	"0.977"	"0.312"	"-0.072"	"0.879"	"-0.84"	"-0.641"	"0.556"	"exponential"	"0.977"
"Primates other"	"356"	"-0.338"	"-0.269"	"0.993"	"0.316"	"-0.063"	"0.816"	"-0.786"	"-0.803"	"0.672"	"exponential"	"0.993"
"Hominidae not Hominini"	"40"	"-0.3"	"-0.367"	"0.925"	"0.365"	"-0.122"	"0.93"	"-0.799"	"-0.754"	"0.713"	"linear"	"0.93"
"Hominini"	"12"	"0.205"	"-0.558"	"0.887"	"0.981"	"-0.465"	"0.979"	"-0.428"	"-1.105"	"0.741"	"linear"	"0.979"
"Primates"	"408"	"-0.314"	"-0.284"	"0.994"	"0.325"	"-0.067"	"0.796"	"-0.766"	"-0.841"	"0.669"	"exponential"	"0.994"
"Primates other"	"363"	"-0.417"	"-0.238"	"0.992"	"0.285"	"-0.055"	"0.808"	"-0.828"	"-0.669"	"0.652"	"exponential"	"0.992"
"Hominidae not Hominini"	"34"	"-0.3"	"-0.36"	"0.968"	"0.372"	"-0.123"	"0.926"	"-0.786"	"-0.856"	"0.817"	"exponential"	"0.968"
"Hominini"	"13"	"0.12"	"-0.541"	"0.784"	"0.891"	"-0.438"	"0.961"	"-0.493"	"-0.867"	"0.621"	"linear"	"0.961"
"Primates"	"410"	"-0.386"	"-0.253"	"0.992"	"0.301"	"-0.06"	"0.795"	"-0.81"	"-0.712"	"0.658"	"exponential"	"0.992"
"Primates other"	"365"	"-0.437"	"-0.224"	"0.967"	"0.28"	"-0.048"	"0.699"	"-0.845"	"-0.653"	"0.627"	"exponential"	"0.967"
"Hominini"	"13"	"0.132"	"-0.565"	"0.908"	"0.87"	"-0.428"	"0.973"	"-0.505"	"-1.023"	"0.749"	"linear"	"0.973"
"Hominidae not Hominini"	"34"	"-0.325"	"-0.398"	"0.94"	"0.37"	"-0.135"	"0.814"	"-0.85"	"-0.89"	"0.841"	"exponential"	"0.94"
"Primates"	"412"	"-0.416"	"-0.235"	"0.965"	"0.293"	"-0.051"	"0.679"	"-0.832"	"-0.688"	"0.636"	"exponential"	"0.965"
"Hominini"	"13"	"0.08"	"-0.476"	"0.825"	"0.85"	"-0.379"	"0.974"	"-0.492"	"-0.561"	"0.519"	"linear"	"0.974"
"Primates other"	"363"	"-0.431"	"-0.228"	"0.967"	"0.275"	"-0.047"	"0.703"	"-0.788"	"-0.869"	"0.726"	"exponential"	"0.967"
"Hominidae not Hominini"	"35"	"-0.297"	"-0.243"	"0.927"	"0.395"	"-0.093"	"0.926"	"-0.659"	"-0.64"	"0.705"	"exponential"	"0.927"
"Primates"	"411"	"-0.394"	"-0.24"	"0.969"	"0.294"	"-0.052"	"0.702"	"-0.768"	"-0.861"	"0.707"	"exponential"	"0.969"
"Primates other"	"379"	"-0.428"	"-0.26"	"0.988"	"0.273"	"-0.055"	"0.803"	"-0.892"	"-0.63"	"0.617"	"exponential"	"0.988"
"Hominidae not Hominini"	"35"	"-0.381"	"-0.354"	"0.969"	"0.332"	"-0.114"	"0.899"	"-0.859"	"-0.708"	"0.8"	"exponential"	"0.969"
"Hominini"	"13"	"0.083"	"-0.467"	"0.874"	"0.885"	"-0.391"	"0.986"	"-0.476"	"-0.798"	"0.71"	"linear"	"0.986"
"Primates"	"427"	"-0.4"	"-0.273"	"0.991"	"0.287"	"-0.06"	"0.794"	"-0.872"	"-0.667"	"0.627"	"exponential"	"0.991"
"Primates other"	"362"	"-0.418"	"-0.225"	"0.967"	"0.275"	"-0.046"	"0.725"	"-0.815"	"-0.643"	"0.567"	"exponential"	"0.967"
"Hominini"	"12"	"0.246"	"-0.544"	"0.872"	"0.977"	"-0.421"	"0.834"	"-0.334"	"-1.642"	"0.876"	"power"	"0.876"
"Hominidae not Hominini"	"32"	"-0.401"	"-0.201"	"0.968"	"0.344"	"-0.079"	"0.852"	"-0.675"	"-0.566"	"0.831"	"exponential"	"0.968"
"Primates"	"406"	"-0.384"	"-0.235"	"0.973"	"0.292"	"-0.051"	"0.723"	"-0.779"	"-0.677"	"0.572"	"exponential"	"0.973"
"Primates other"	"362"	"-0.43"	"-0.242"	"0.958"	"0.275"	"-0.052"	"0.729"	"-0.853"	"-0.625"	"0.59"	"exponential"	"0.958"
"Hominini"	"12"	"0.15"	"-0.509"	"0.882"	"0.885"	"-0.39"	"0.97"	"-0.45"	"-0.86"	"0.63"	"linear"	"0.97"
"Hominidae not Hominini"	"42"	"-0.405"	"-0.273"	"0.942"	"0.317"	"-0.084"	"0.908"	"-0.832"	"-0.497"	"0.634"	"exponential"	"0.942"
"Primates"	"416"	"-0.4"	"-0.257"	"0.959"	"0.287"	"-0.056"	"0.733"	"-0.834"	"-0.663"	"0.591"	"exponential"	"0.959"
"Hominidae not Hominini"	"35"	"-0.327"	"-0.233"	"0.968"	"0.408"	"-0.106"	"0.886"	"-0.667"	"-0.615"	"0.87"	"exponential"	"0.968"
"Hominini"	"13"	"0.389"	"-0.668"	"0.957"	"1.045"	"-0.49"	"0.964"	"-0.314"	"-1.873"	"0.898"	"linear"	"0.964"
"Primates other"	"371"	"-0.383"	"-0.258"	"0.98"	"0.283"	"-0.055"	"0.837"	"-0.812"	"-0.787"	"0.653"	"exponential"	"0.98"
"Primates"	"419"	"-0.343"	"-0.27"	"0.981"	"0.304"	"-0.061"	"0.826"	"-0.779"	"-0.825"	"0.658"	"exponential"	"0.981"
"Primates other"	"362"	"-0.419"	"-0.247"	"0.985"	"0.282"	"-0.053"	"0.731"	"-0.841"	"-0.746"	"0.682"	"exponential"	"0.985"
"Hominini"	"12"	"0.196"	"-0.593"	"0.837"	"0.971"	"-0.491"	"0.913"	"-0.462"	"-0.706"	"0.511"	"linear"	"0.913"
"Hominidae not Hominini"	"40"	"-0.355"	"-0.267"	"0.963"	"0.35"	"-0.089"	"0.89"	"-0.766"	"-0.664"	"0.76"	"exponential"	"0.963"
"Primates"	"414"	"-0.386"	"-0.26"	"0.988"	"0.298"	"-0.058"	"0.736"	"-0.819"	"-0.784"	"0.685"	"exponential"	"0.988"
"Primates other"	"372"	"-0.406"	"-0.254"	"0.985"	"0.281"	"-0.054"	"0.817"	"-0.862"	"-0.66"	"0.609"	"exponential"	"0.985"
"Hominidae not Hominini"	"39"	"-0.524"	"-0.212"	"0.954"	"0.262"	"-0.066"	"0.894"	"-0.825"	"-0.516"	"0.814"	"exponential"	"0.954"
"Hominini"	"13"	"0.02"	"-0.409"	"0.933"	"0.827"	"-0.369"	"0.928"	"-0.434"	"-0.46"	"0.591"	"exponential"	"0.933"
"Primates"	"424"	"-0.386"	"-0.263"	"0.986"	"0.29"	"-0.057"	"0.81"	"-0.844"	"-0.681"	"0.608"	"exponential"	"0.986"
"Primates other"	"372"	"-0.409"	"-0.237"	"0.987"	"0.279"	"-0.049"	"0.769"	"-0.843"	"-0.623"	"0.575"	"exponential"	"0.987"
"Hominini"	"13"	"0.073"	"-0.456"	"0.887"	"0.876"	"-0.381"	"0.994"	"-0.478"	"-0.637"	"0.631"	"linear"	"0.994"
"Hominidae not Hominini"	"37"	"-0.544"	"-0.202"	"0.94"	"0.244"	"-0.052"	"0.95"	"-0.882"	"-0.557"	"0.774"	"linear"	"0.95"
"Primates"	"422"	"-0.39"	"-0.247"	"0.99"	"0.289"	"-0.053"	"0.769"	"-0.831"	"-0.65"	"0.587"	"exponential"	"0.99"
"Primates other"	"367"	"-0.387"	"-0.251"	"0.981"	"0.293"	"-0.056"	"0.783"	"-0.817"	"-0.71"	"0.623"	"exponential"	"0.981"
"Hominini"	"12"	"0.16"	"-0.539"	"0.831"	"0.959"	"-0.463"	"0.977"	"-0.454"	"-0.988"	"0.701"	"linear"	"0.977"
"Hominidae not Hominini"	"33"	"-0.368"	"-0.207"	"0.955"	"0.368"	"-0.087"	"0.92"	"-0.675"	"-0.526"	"0.786"	"exponential"	"0.955"
"Primates"	"412"	"-0.354"	"-0.261"	"0.984"	"0.309"	"-0.06"	"0.786"	"-0.789"	"-0.741"	"0.627"	"exponential"	"0.984"
"Primates other"	"361"	"-0.475"	"-0.21"	"0.926"	"0.268"	"-0.043"	"0.642"	"-0.841"	"-0.765"	"0.702"	"exponential"	"0.926"
"Hominini"	"12"	"0.017"	"-0.396"	"0.76"	"0.801"	"-0.319"	"0.949"	"-0.464"	"-0.49"	"0.49"	"linear"	"0.949"
"Hominidae not Hominini"	"37"	"-0.361"	"-0.273"	"0.969"	"0.339"	"-0.088"	"0.885"	"-0.789"	"-0.465"	"0.58"	"exponential"	"0.969"
"Primates"	"410"	"-0.443"	"-0.223"	"0.934"	"0.285"	"-0.048"	"0.653"	"-0.838"	"-0.744"	"0.679"	"exponential"	"0.934"
"Hominini"	"13"	"0.039"	"-0.453"	"0.872"	"0.808"	"-0.351"	"0.977"	"-0.506"	"-0.402"	"0.459"	"linear"	"0.977"
"Primates other"	"363"	"-0.408"	"-0.254"	"0.985"	"0.285"	"-0.054"	"0.769"	"-0.836"	"-0.763"	"0.675"	"exponential"	"0.985"
"Hominidae not Hominini"	"38"	"-0.372"	"-0.278"	"0.949"	"0.36"	"-0.097"	"0.859"	"-0.804"	"-0.722"	"0.845"	"exponential"	"0.949"
"Primates"	"414"	"-0.38"	"-0.266"	"0.985"	"0.302"	"-0.06"	"0.762"	"-0.828"	"-0.746"	"0.659"	"exponential"	"0.985"
"Hominidae not Hominini"	"40"	"-0.376"	"-0.226"	"0.925"	"0.325"	"-0.069"	"0.92"	"-0.711"	"-0.707"	"0.723"	"exponential"	"0.925"
"Primates other"	"360"	"-0.422"	"-0.25"	"0.946"	"0.28"	"-0.052"	"0.708"	"-0.843"	"-0.722"	"0.618"	"exponential"	"0.946"
"Hominini"	"13"	"0.007"	"-0.466"	"0.871"	"0.783"	"-0.361"	"0.978"	"-0.532"	"-0.419"	"0.512"	"linear"	"0.978"
"Primates"	"413"	"-0.391"	"-0.26"	"0.958"	"0.294"	"-0.056"	"0.729"	"-0.831"	"-0.709"	"0.607"	"exponential"	"0.958"
"Primates other"	"362"	"-0.41"	"-0.255"	"0.99"	"0.285"	"-0.055"	"0.772"	"-0.865"	"-0.655"	"0.619"	"exponential"	"0.99"
"Hominidae not Hominini"	"35"	"-0.415"	"-0.217"	"0.952"	"0.333"	"-0.073"	"0.843"	"-0.796"	"-0.477"	"0.691"	"exponential"	"0.952"
"Hominini"	"13"	"0.211"	"-0.582"	"0.724"	"0.924"	"-0.444"	"0.924"	"-0.452"	"-1.019"	"0.543"	"linear"	"0.924"
"Primates"	"410"	"-0.381"	"-0.264"	"0.993"	"0.299"	"-0.059"	"0.773"	"-0.848"	"-0.655"	"0.606"	"exponential"	"0.993"
"Primates other"	"372"	"-0.4"	"-0.274"	"0.973"	"0.283"	"-0.058"	"0.794"	"-0.868"	"-0.636"	"0.577"	"exponential"	"0.973"
"Hominidae not Hominini"	"38"	"-0.353"	"-0.287"	"0.97"	"0.33"	"-0.087"	"0.858"	"-0.743"	"-0.838"	"0.802"	"exponential"	"0.97"
"Hominini"	"12"	"0.296"	"-0.65"	"0.836"	"1.07"	"-0.552"	"0.961"	"-0.418"	"-1.267"	"0.696"	"linear"	"0.961"
"Primates"	"422"	"-0.366"	"-0.286"	"0.978"	"0.298"	"-0.063"	"0.79"	"-0.844"	"-0.677"	"0.583"	"exponential"	"0.978"
"Primates other"	"372"	"-0.391"	"-0.257"	"0.988"	"0.283"	"-0.055"	"0.793"	"-0.813"	"-0.797"	"0.672"	"exponential"	"0.988"
"Hominini"	"13"	"0.17"	"-0.525"	"0.899"	"0.951"	"-0.434"	"0.987"	"-0.437"	"-1.046"	"0.754"	"linear"	"0.987"
"Hominidae not Hominini"	"35"	"-0.43"	"-0.194"	"0.986"	"0.32"	"-0.072"	"0.907"	"-0.699"	"-0.577"	"0.855"	"exponential"	"0.986"
"Primates"	"420"	"-0.361"	"-0.266"	"0.99"	"0.301"	"-0.06"	"0.794"	"-0.797"	"-0.799"	"0.67"	"exponential"	"0.99"
"Primates other"	"349"	"-0.434"	"-0.224"	"0.98"	"0.275"	"-0.046"	"0.727"	"-0.81"	"-0.791"	"0.703"	"exponential"	"0.98"
"Hominini"	"13"	"-0.092"	"-0.423"	"0.905"	"0.664"	"-0.293"	"0.955"	"-0.601"	"-0.525"	"0.681"	"linear"	"0.955"
"Hominidae not Hominini"	"35"	"-0.325"	"-0.233"	"0.962"	"0.422"	"-0.111"	"0.837"	"-0.673"	"-0.548"	"0.861"	"exponential"	"0.962"
"Primates"	"397"	"-0.399"	"-0.234"	"0.984"	"0.298"	"-0.053"	"0.724"	"-0.8"	"-0.758"	"0.69"	"exponential"	"0.984"
"Primates other"	"363"	"-0.422"	"-0.226"	"0.946"	"0.282"	"-0.047"	"0.69"	"-0.811"	"-0.732"	"0.628"	"exponential"	"0.946"
"Hominini"	"12"	"0.169"	"-0.498"	"0.883"	"0.903"	"-0.384"	"0.984"	"-0.404"	"-1.13"	"0.748"	"linear"	"0.984"
"Hominidae not Hominini"	"35"	"-0.323"	"-0.265"	"0.958"	"0.377"	"-0.095"	"0.879"	"-0.72"	"-0.668"	"0.752"	"exponential"	"0.958"
"Primates"	"410"	"-0.386"	"-0.24"	"0.951"	"0.302"	"-0.053"	"0.697"	"-0.785"	"-0.762"	"0.636"	"exponential"	"0.951"
"Hominini"	"13"	"0.27"	"-0.626"	"0.924"	"1.019"	"-0.504"	"0.962"	"-0.423"	"-1.35"	"0.802"	"linear"	"0.962"
"Primates other"	"385"	"-0.407"	"-0.267"	"0.981"	"0.28"	"-0.056"	"0.757"	"-0.846"	"-0.788"	"0.68"	"exponential"	"0.981"
"Hominidae not Hominini"	"38"	"-0.31"	"-0.361"	"0.947"	"0.37"	"-0.124"	"0.932"	"-0.827"	"-0.533"	"0.609"	"exponential"	"0.947"
"Primates"	"436"	"-0.373"	"-0.284"	"0.978"	"0.297"	"-0.062"	"0.749"	"-0.823"	"-0.84"	"0.685"	"exponential"	"0.978"
