"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"InterceptSemilog2"	"SlopeSemilog2"	"R2Semilog2"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"IntereptPlain2"	"SlopePlain2"	"R2Plain2"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Primates other"	"364"	"-0.509"	"-0.495"	"0.912"	"-0.768"	"-0.077"	"0.472"	"0.267"	"-0.107"	"0.619"	"0.205"	"-0.012"	"0.178"	"-1.147"	"-0.662"	"0.727"	"Exponential"	"0.912"
"Hominini"	"22"	"-0.416"	"-0.114"	"0.809"	"-0.481"	"-0.012"	"0.677"	"0.393"	"-0.049"	"0.528"	"0.361"	"-0.005"	"0.372"	"-0.729"	"-0.343"	"0.799"	"Exponential"	"0.809"
"Hominidae not Hominini"	"30"	"-0.599"	"-0.891"	"0.971"	"-0.724"	"-0.823"	"0.874"	"0.226"	"-0.222"	"0.846"	"0.191"	"-0.189"	"0.641"	"-1.277"	"-0.535"	"0.846"	"Exponential"	"0.971"
"Primates"	"416"	"-0.597"	"-0.316"	"0.838"	"-0.787"	"-0.034"	"0.482"	"0.24"	"-0.061"	"0.459"	"0.199"	"-0.005"	"0.147"	"-1.128"	"-0.667"	"0.772"	"Exponential"	"0.838"
"Primates other"	"365"	"-0.51"	"-0.495"	"0.936"	"-0.753"	"-0.094"	"0.589"	"0.261"	"-0.105"	"0.611"	"0.204"	"-0.015"	"0.222"	"-1.145"	"-0.706"	"0.748"	"Exponential"	"0.936"
"Hominidae not Hominini"	"35"	"-0.613"	"-0.992"	"0.913"	"-0.721"	"-0.896"	"0.757"	"0.232"	"-0.249"	"0.672"	"0.202"	"-0.205"	"0.464"	"-1.415"	"-0.625"	"0.965"	"Power"	"0.965"
"Hominini"	"22"	"-0.453"	"-0.105"	"0.895"	"-0.52"	"-0.012"	"0.768"	"0.352"	"-0.042"	"0.655"	"0.321"	"-0.004"	"0.477"	"-0.766"	"-0.302"	"0.823"	"Exponential"	"0.895"
"Primates"	"422"	"-0.596"	"-0.322"	"0.857"	"-0.785"	"-0.037"	"0.499"	"0.239"	"-0.062"	"0.468"	"0.198"	"-0.005"	"0.152"	"-1.128"	"-0.66"	"0.78"	"Exponential"	"0.857"
"Primates other"	"357"	"-0.464"	"-0.541"	"0.95"	"-0.696"	"-0.114"	"0.595"	"0.295"	"-0.128"	"0.63"	"0.234"	"-0.021"	"0.236"	"-1.145"	"-0.683"	"0.756"	"Exponential"	"0.95"
"Hominidae not Hominini"	"32"	"-0.581"	"-1.506"	"0.957"	"-0.729"	"-2.134"	"0.856"	"0.23"	"-0.369"	"0.766"	"0.191"	"-0.484"	"0.586"	"-1.545"	"-0.767"	"0.963"	"Power"	"0.963"
"Hominini"	"23"	"-0.423"	"-0.107"	"0.858"	"-0.484"	"-0.012"	"0.731"	"0.383"	"-0.046"	"0.6"	"0.353"	"-0.005"	"0.435"	"-0.763"	"-0.301"	"0.839"	"Exponential"	"0.858"
"Primates"	"412"	"-0.575"	"-0.315"	"0.834"	"-0.75"	"-0.034"	"0.476"	"0.259"	"-0.065"	"0.442"	"0.219"	"-0.005"	"0.143"	"-1.133"	"-0.674"	"0.809"	"Exponential"	"0.834"
"Primates other"	"355"	"-0.488"	"-0.495"	"0.943"	"-0.732"	"-0.098"	"0.613"	"0.272"	"-0.108"	"0.641"	"0.212"	"-0.017"	"0.246"	"-1.128"	"-0.708"	"0.741"	"Exponential"	"0.943"
"Hominidae not Hominini"	"31"	"-0.555"	"-0.997"	"0.929"	"-0.69"	"-0.886"	"0.789"	"0.253"	"-0.268"	"0.712"	"0.213"	"-0.218"	"0.51"	"-1.378"	"-0.723"	"0.952"	"Power"	"0.952"
"Hominini"	"22"	"-0.57"	"-0.098"	"0.811"	"-0.665"	"-0.009"	"0.645"	"0.265"	"-0.03"	"0.583"	"0.233"	"-0.003"	"0.392"	"-0.795"	"-0.312"	"0.662"	"Exponential"	"0.811"
"Primates"	"408"	"-0.575"	"-0.338"	"0.859"	"-0.784"	"-0.037"	"0.467"	"0.246"	"-0.067"	"0.494"	"0.2"	"-0.005"	"0.146"	"-1.118"	"-0.701"	"0.779"	"Exponential"	"0.859"
"Hominini"	"19"	"-0.355"	"-0.119"	"0.856"	"-0.421"	"-0.013"	"0.665"	"0.453"	"-0.059"	"0.563"	"0.416"	"-0.006"	"0.36"	"-0.739"	"-0.328"	"0.924"	"Power"	"0.924"
"Primates other"	"374"	"-0.528"	"-0.479"	"0.929"	"-0.775"	"-0.078"	"0.508"	"0.256"	"-0.1"	"0.647"	"0.199"	"-0.012"	"0.199"	"-1.158"	"-0.638"	"0.732"	"Exponential"	"0.929"
"Hominidae not Hominini"	"35"	"-0.506"	"-1.676"	"0.98"	"-0.684"	"-2.439"	"0.9"	"0.254"	"-0.424"	"0.849"	"0.205"	"-0.567"	"0.66"	"-1.535"	"-0.833"	"0.912"	"Exponential"	"0.98"
"Primates"	"428"	"-0.606"	"-0.321"	"0.865"	"-0.797"	"-0.036"	"0.49"	"0.234"	"-0.061"	"0.494"	"0.193"	"-0.005"	"0.155"	"-1.15"	"-0.644"	"0.787"	"Exponential"	"0.865"
"Hominini"	"22"	"-0.42"	"-0.115"	"0.823"	"-0.483"	"-0.012"	"0.674"	"0.391"	"-0.049"	"0.537"	"0.36"	"-0.005"	"0.368"	"-0.76"	"-0.327"	"0.85"	"Power"	"0.85"
"Hominidae not Hominini"	"32"	"-0.542"	"-1.014"	"0.949"	"-0.665"	"-0.93"	"0.799"	"0.265"	"-0.288"	"0.746"	"0.226"	"-0.239"	"0.513"	"-1.292"	"-0.566"	"0.887"	"Exponential"	"0.949"
"Primates other"	"369"	"-0.56"	"-0.463"	"0.913"	"-0.797"	"-0.078"	"0.551"	"0.237"	"-0.089"	"0.585"	"0.187"	"-0.011"	"0.201"	"-1.183"	"-0.721"	"0.761"	"Exponential"	"0.913"
"Primates"	"423"	"-0.625"	"-0.312"	"0.85"	"-0.81"	"-0.036"	"0.51"	"0.224"	"-0.057"	"0.46"	"0.187"	"-0.005"	"0.158"	"-1.157"	"-0.681"	"0.793"	"Exponential"	"0.85"
"Primates other"	"370"	"-0.417"	"-0.674"	"0.993"	"-0.637"	"-0.262"	"0.873"	"0.296"	"-0.16"	"0.76"	"0.235"	"-0.051"	"0.451"	"-1.154"	"-0.722"	"0.722"	"Exponential"	"0.993"
"Hominini"	"21"	"-0.404"	"-0.117"	"0.888"	"-0.485"	"-0.012"	"0.701"	"0.395"	"-0.051"	"0.62"	"0.354"	"-0.005"	"0.4"	"-0.73"	"-0.305"	"0.808"	"Exponential"	"0.888"
"Hominidae not Hominini"	"32"	"-0.539"	"-1.069"	"0.968"	"-0.664"	"-1.023"	"0.808"	"0.266"	"-0.306"	"0.772"	"0.226"	"-0.263"	"0.52"	"-1.273"	"-0.516"	"0.871"	"Exponential"	"0.968"
"Primates"	"423"	"-0.573"	"-0.359"	"0.842"	"-0.781"	"-0.038"	"0.424"	"0.249"	"-0.072"	"0.466"	"0.204"	"-0.006"	"0.124"	"-1.131"	"-0.694"	"0.773"	"Exponential"	"0.842"
"Primates other"	"367"	"-0.516"	"-0.493"	"0.914"	"-0.761"	"-0.082"	"0.497"	"0.267"	"-0.107"	"0.596"	"0.209"	"-0.014"	"0.189"	"-1.175"	"-0.726"	"0.779"	"Exponential"	"0.914"
"Hominini"	"23"	"-0.47"	"-0.121"	"0.864"	"-0.567"	"-0.012"	"0.652"	"0.336"	"-0.045"	"0.6"	"0.296"	"-0.004"	"0.368"	"-0.754"	"-0.482"	"0.91"	"Power"	"0.91"
