"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"InterceptSemilog2"	"SlopeSemilog2"	"R2Semilog2"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"IntereptPlain2"	"SlopePlain2"	"R2Plain2"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Hominidae not Hominini"	"32"	"-0.506"	"-1.617"	"0.962"	"-0.642"	"-2.41"	"0.857"	"0.277"	"-0.468"	"0.786"	"0.233"	"-0.638"	"0.586"	"-1.409"	"-0.635"	"0.879"	"Exponential"	"0.962"
"Primates"	"404"	"-0.579"	"-0.304"	"0.857"	"-0.75"	"-0.034"	"0.518"	"0.252"	"-0.061"	"0.466"	"0.213"	"-0.005"	"0.162"	"-1.113"	"-0.656"	"0.795"	"Exponential"	"0.857"
"Hominidae not Hominini"	"36"	"-0.455"	"-1.821"	"0.963"	"-0.638"	"-2.899"	"0.927"	"0.276"	"-0.486"	"0.844"	"0.223"	"-0.722"	"0.709"	"-1.555"	"-0.903"	"0.89"	"Exponential"	"0.963"
"Primates other"	"358"	"-0.484"	"-0.49"	"0.907"	"-0.763"	"-0.077"	"0.484"	"0.273"	"-0.108"	"0.637"	"0.206"	"-0.013"	"0.191"	"-1.119"	"-0.72"	"0.718"	"Exponential"	"0.907"
"Hominini"	"21"	"-0.384"	"-0.106"	"0.785"	"-0.43"	"-0.012"	"0.682"	"0.432"	"-0.051"	"0.509"	"0.407"	"-0.005"	"0.383"	"-0.749"	"-0.337"	"0.903"	"Power"	"0.903"
"Primates"	"415"	"-0.586"	"-0.306"	"0.829"	"-0.777"	"-0.033"	"0.484"	"0.247"	"-0.061"	"0.459"	"0.205"	"-0.005"	"0.15"	"-1.111"	"-0.685"	"0.773"	"Exponential"	"0.829"
"Primates other"	"369"	"-0.509"	"-0.473"	"0.894"	"-0.755"	"-0.075"	"0.5"	"0.27"	"-0.103"	"0.568"	"0.211"	"-0.012"	"0.177"	"-1.159"	"-0.791"	"0.793"	"Exponential"	"0.894"
"Hominidae not Hominini"	"36"	"-0.531"	"-1.491"	"0.965"	"-0.662"	"-2.356"	"0.955"	"0.249"	"-0.387"	"0.932"	"0.209"	"-0.561"	"0.776"	"-1.337"	"-0.535"	"0.755"	"Exponential"	"0.965"
"Hominini"	"23"	"-0.471"	"-0.119"	"0.796"	"-0.552"	"-0.011"	"0.572"	"0.347"	"-0.046"	"0.522"	"0.313"	"-0.004"	"0.3"	"-0.801"	"-0.399"	"0.905"	"Power"	"0.905"
"Primates"	"428"	"-0.585"	"-0.334"	"0.838"	"-0.783"	"-0.036"	"0.46"	"0.246"	"-0.066"	"0.457"	"0.203"	"-0.005"	"0.138"	"-1.148"	"-0.751"	"0.819"	"Exponential"	"0.838"
"Primates other"	"358"	"-0.466"	"-0.491"	"0.94"	"-0.714"	"-0.094"	"0.609"	"0.287"	"-0.112"	"0.631"	"0.224"	"-0.016"	"0.24"	"-1.111"	"-0.698"	"0.729"	"Exponential"	"0.94"
"Hominini"	"20"	"-0.398"	"-0.104"	"0.82"	"-0.456"	"-0.012"	"0.724"	"0.407"	"-0.048"	"0.568"	"0.377"	"-0.005"	"0.436"	"-0.702"	"-0.341"	"0.82"	"Exponential Power"	"0.968"
"Hominidae not Hominini"	"32"	"-0.566"	"-1.034"	"0.861"	"-0.671"	"-0.909"	"0.683"	"0.267"	"-0.296"	"0.592"	"0.233"	"-0.236"	"0.387"	"-1.376"	"-0.592"	"0.938"	"Power"	"0.938"
"Primates"	"410"	"-0.562"	"-0.314"	"0.85"	"-0.753"	"-0.036"	"0.514"	"0.259"	"-0.065"	"0.466"	"0.215"	"-0.006"	"0.16"	"-1.098"	"-0.679"	"0.776"	"Exponential"	"0.85"
"Primates other"	"363"	"-0.517"	"-0.466"	"0.924"	"-0.746"	"-0.08"	"0.546"	"0.268"	"-0.102"	"0.588"	"0.212"	"-0.013"	"0.198"	"-1.159"	"-0.713"	"0.797"	"Exponential"	"0.924"
"Hominidae not Hominini"	"30"	"-0.534"	"-1.023"	"0.879"	"-0.644"	"-0.924"	"0.721"	"0.282"	"-0.312"	"0.609"	"0.245"	"-0.255"	"0.41"	"-1.309"	"-0.571"	"0.91"	"Power"	"0.91"
"Hominini"	"22"	"-0.492"	"-0.093"	"0.834"	"-0.552"	"-0.01"	"0.766"	"0.322"	"-0.034"	"0.615"	"0.297"	"-0.004"	"0.504"	"-0.731"	"-0.47"	"0.904"	"Power"	"0.904"
"Primates"	"415"	"-0.592"	"-0.305"	"0.843"	"-0.768"	"-0.034"	"0.5"	"0.247"	"-0.061"	"0.448"	"0.208"	"-0.005"	"0.15"	"-1.139"	"-0.702"	"0.837"	"Exponential"	"0.843"
"Hominini"	"23"	"-0.501"	"-0.093"	"0.791"	"-0.546"	"-0.01"	"0.734"	"0.324"	"-0.035"	"0.548"	"0.305"	"-0.004"	"0.46"	"-0.782"	"-0.437"	"0.903"	"Power"	"0.903"
"Primates other"	"370"	"-0.434"	"-0.586"	"0.972"	"-0.684"	"-0.149"	"0.669"	"0.3"	"-0.141"	"0.71"	"0.232"	"-0.028"	"0.298"	"-1.132"	"-0.697"	"0.734"	"Exponential"	"0.972"
"Hominidae not Hominini"	"31"	"-0.577"	"-1.003"	"0.893"	"-0.682"	"-0.879"	"0.709"	"0.256"	"-0.281"	"0.642"	"0.223"	"-0.223"	"0.417"	"-1.336"	"-0.548"	"0.932"	"Power"	"0.932"
"Primates"	"424"	"-0.572"	"-0.327"	"0.826"	"-0.763"	"-0.035"	"0.45"	"0.257"	"-0.068"	"0.451"	"0.214"	"-0.005"	"0.133"	"-1.124"	"-0.693"	"0.793"	"Exponential"	"0.826"
"Primates other"	"353"	"-0.502"	"-0.461"	"0.923"	"-0.747"	"-0.077"	"0.549"	"0.271"	"-0.102"	"0.589"	"0.211"	"-0.013"	"0.197"	"-1.127"	"-0.723"	"0.772"	"Exponential"	"0.923"
"Hominini"	"21"	"-0.452"	"-0.106"	"0.852"	"-0.515"	"-0.012"	"0.718"	"0.358"	"-0.043"	"0.588"	"0.329"	"-0.004"	"0.423"	"-0.764"	"-0.324"	"0.841"	"Exponential"	"0.852"
"Hominidae not Hominini"	"30"	"-0.532"	"-1"	"0.97"	"-0.665"	"-0.909"	"0.822"	"0.266"	"-0.286"	"0.788"	"0.224"	"-0.235"	"0.548"	"-1.266"	"-0.563"	"0.876"	"Exponential"	"0.97"
"Primates"	"404"	"-0.58"	"-0.314"	"0.856"	"-0.773"	"-0.036"	"0.509"	"0.248"	"-0.063"	"0.459"	"0.205"	"-0.005"	"0.153"	"-1.109"	"-0.692"	"0.797"	"Exponential"	"0.856"
"Primates other"	"370"	"-0.508"	"-0.522"	"0.937"	"-0.771"	"-0.098"	"0.548"	"0.262"	"-0.111"	"0.634"	"0.2"	"-0.016"	"0.212"	"-1.169"	"-0.687"	"0.742"	"Exponential"	"0.937"
"Hominini"	"22"	"-0.425"	"-0.118"	"0.89"	"-0.508"	"-0.012"	"0.687"	"0.376"	"-0.049"	"0.621"	"0.337"	"-0.005"	"0.388"	"-0.759"	"-0.307"	"0.827"	"Exponential"	"0.89"
"Hominidae not Hominini"	"35"	"-0.549"	"-1.546"	"0.981"	"-0.688"	"-2.343"	"0.909"	"0.244"	"-0.397"	"0.878"	"0.204"	"-0.548"	"0.674"	"-1.35"	"-0.518"	"0.776"	"Exponential"	"0.981"
"Primates"	"427"	"-0.612"	"-0.328"	"0.854"	"-0.816"	"-0.036"	"0.474"	"0.231"	"-0.062"	"0.467"	"0.188"	"-0.005"	"0.142"	"-1.157"	"-0.692"	"0.795"	"Exponential"	"0.854"
"Primates other"	"363"	"-0.488"	"-0.471"	"0.916"	"-0.718"	"-0.077"	"0.522"	"0.286"	"-0.109"	"0.579"	"0.227"	"-0.013"	"0.185"	"-1.13"	"-0.718"	"0.784"	"Exponential"	"0.916"
"Hominini"	"22"	"-0.465"	"-0.106"	"0.925"	"-0.551"	"-0.011"	"0.781"	"0.334"	"-0.04"	"0.703"	"0.297"	"-0.004"	"0.498"	"-0.739"	"-0.366"	"0.817"	"Exponential"	"0.925"
"Hominidae not Hominini"	"29"	"-0.504"	"-1.478"	"0.956"	"-0.606"	"-2.619"	"0.966"	"0.275"	"-0.444"	"0.942"	"0.239"	"-0.73"	"0.82"	"-1.286"	"-0.502"	"0.79"	"Exponential2"	"0.966"
"Primates"	"414"	"-0.558"	"-0.322"	"0.859"	"-0.742"	"-0.037"	"0.505"	"0.263"	"-0.068"	"0.471"	"0.22"	"-0.006"	"0.157"	"-1.114"	"-0.699"	"0.818"	"Exponential"	"0.859"
"Primates other"	"358"	"-0.501"	"-0.482"	"0.943"	"-0.73"	"-0.096"	"0.621"	"0.269"	"-0.104"	"0.65"	"0.214"	"-0.016"	"0.258"	"-1.147"	"-0.697"	"0.755"	"Exponential"	"0.943"
"Hominidae not Hominini"	"33"	"-0.537"	"-1.042"	"0.942"	"-0.653"	"-0.967"	"0.781"	"0.272"	"-0.304"	"0.724"	"0.234"	"-0.254"	"0.485"	"-1.294"	"-0.541"	"0.896"	"Exponential"	"0.942"
"Hominini"	"20"	"-0.361"	"-0.118"	"0.883"	"-0.434"	"-0.013"	"0.703"	"0.441"	"-0.057"	"0.607"	"0.4"	"-0.006"	"0.394"	"-0.72"	"-0.315"	"0.875"	"Exponential"	"0.883"
"Primates"	"411"	"-0.577"	"-0.318"	"0.876"	"-0.766"	"-0.037"	"0.521"	"0.249"	"-0.064"	"0.503"	"0.207"	"-0.006"	"0.171"	"-1.125"	"-0.661"	"0.791"	"Exponential"	"0.876"
"Primates other"	"361"	"-0.471"	"-0.503"	"0.949"	"-0.718"	"-0.101"	"0.607"	"0.283"	"-0.116"	"0.645"	"0.219"	"-0.018"	"0.239"	"-1.114"	"-0.687"	"0.745"	"Exponential"	"0.949"
"Hominini"	"20"	"-0.429"	"-0.097"	"0.84"	"-0.481"	"-0.011"	"0.747"	"0.379"	"-0.042"	"0.605"	"0.352"	"-0.004"	"0.472"	"-0.738"	"-0.311"	"0.844"	"Power"	"0.844"
"Primates"	"415"	"-0.587"	"-0.311"	"0.851"	"-0.78"	"-0.034"	"0.499"	"0.243"	"-0.062"	"0.465"	"0.201"	"-0.005"	"0.151"	"-1.109"	"-0.688"	"0.791"	"Exponential"	"0.851"
"Primates other"	"367"	"-0.52"	"-0.47"	"0.905"	"-0.765"	"-0.075"	"0.507"	"0.26"	"-0.099"	"0.594"	"0.203"	"-0.012"	"0.185"	"-1.141"	"-0.702"	"0.743"	"Exponential"	"0.905"
"Hominidae not Hominini"	"34"	"-0.629"	"-0.938"	"0.975"	"-0.756"	"-0.84"	"0.833"	"0.214"	"-0.22"	"0.808"	"0.181"	"-0.179"	"0.57"	"-1.307"	"-0.496"	"0.844"	"Exponential"	"0.975"
"Hominini"	"21"	"-0.398"	"-0.12"	"0.83"	"-0.469"	"-0.012"	"0.643"	"0.41"	"-0.054"	"0.541"	"0.374"	"-0.005"	"0.342"	"-0.747"	"-0.343"	"0.877"	"Power"	"0.877"
"Primates"	"422"	"-0.594"	"-0.323"	"0.851"	"-0.788"	"-0.036"	"0.491"	"0.238"	"-0.062"	"0.474"	"0.197"	"-0.005"	"0.152"	"-1.126"	"-0.685"	"0.779"	"Exponential"	"0.851"
"Primates other"	"357"	"-0.514"	"-0.463"	"0.905"	"-0.756"	"-0.074"	"0.515"	"0.269"	"-0.101"	"0.577"	"0.211"	"-0.012"	"0.181"	"-1.145"	"-0.69"	"0.755"	"Exponential"	"0.905"
"Hominidae not Hominini"	"37"	"-0.546"	"-1.147"	"0.906"	"-0.689"	"-1.008"	"0.716"	"0.261"	"-0.307"	"0.647"	"0.22"	"-0.242"	"0.412"	"-1.403"	"-0.69"	"0.903"	"Exponential"	"0.906"
"Hominini"	"23"	"-0.479"	"-0.099"	"0.796"	"-0.518"	"-0.011"	"0.714"	"0.345"	"-0.039"	"0.544"	"0.328"	"-0.004"	"0.436"	"-0.837"	"-0.314"	"0.91"	"Power"	"0.91"
"Primates"	"417"	"-0.604"	"-0.3"	"0.83"	"-0.778"	"-0.034"	"0.51"	"0.241"	"-0.058"	"0.44"	"0.203"	"-0.005"	"0.155"	"-1.142"	"-0.689"	"0.81"	"Exponential"	"0.83"
"Hominidae not Hominini"	"32"	"-0.518"	"-1.586"	"0.961"	"-0.653"	"-2.331"	"0.847"	"0.273"	"-0.458"	"0.776"	"0.229"	"-0.612"	"0.565"	"-1.415"	"-0.621"	"0.902"	"Exponential"	"0.961"
"Primates other"	"358"	"-0.495"	"-0.473"	"0.918"	"-0.744"	"-0.078"	"0.531"	"0.275"	"-0.106"	"0.589"	"0.213"	"-0.013"	"0.19"	"-1.122"	"-0.723"	"0.761"	"Exponential"	"0.918"
"Hominini"	"20"	"-0.405"	"-0.1"	"0.817"	"-0.456"	"-0.011"	"0.721"	"0.404"	"-0.046"	"0.569"	"0.377"	"-0.005"	"0.437"	"-0.729"	"-0.303"	"0.84"	"Power"	"0.84"
"Primates"	"410"	"-0.586"	"-0.303"	"0.833"	"-0.769"	"-0.033"	"0.496"	"0.248"	"-0.061"	"0.441"	"0.207"	"-0.005"	"0.147"	"-1.107"	"-0.69"	"0.796"	"Exponential"	"0.833"
"Primates other"	"375"	"-0.462"	"-0.583"	"0.972"	"-0.721"	"-0.149"	"0.693"	"0.274"	"-0.126"	"0.684"	"0.211"	"-0.025"	"0.302"	"-1.168"	"-0.791"	"0.758"	"Exponential"	"0.972"
"Hominidae not Hominini"	"32"	"-0.453"	"-1.653"	"0.886"	"-0.57"	"-2.529"	"0.805"	"0.325"	"-0.553"	"0.654"	"0.282"	"-0.778"	"0.503"	"-1.41"	"-0.673"	"0.87"	"Exponential"	"0.886"
"Hominini"	"20"	"-0.402"	"-0.113"	"0.836"	"-0.471"	"-0.012"	"0.677"	"0.404"	"-0.051"	"0.557"	"0.369"	"-0.005"	"0.377"	"-0.722"	"-0.333"	"0.831"	"Exponential"	"0.836"
"Primates"	"427"	"-0.589"	"-0.339"	"0.842"	"-0.791"	"-0.036"	"0.456"	"0.242"	"-0.066"	"0.453"	"0.199"	"-0.005"	"0.134"	"-1.145"	"-0.731"	"0.799"	"Exponential"	"0.842"
"Hominini"	"22"	"-0.448"	"-0.117"	"0.668"	"-0.518"	"-0.011"	"0.494"	"0.377"	"-0.049"	"0.406"	"0.345"	"-0.004"	"0.239"	"-0.76"	"-0.326"	"0.761"	"Power"	"0.761"
"Primates other"	"357"	"-0.47"	"-0.513"	"0.918"	"-0.724"	"-0.085"	"0.497"	"0.289"	"-0.12"	"0.604"	"0.224"	"-0.015"	"0.181"	"-1.123"	"-0.708"	"0.747"	"Exponential"	"0.918"
"Hominidae not Hominini"	"32"	"-0.438"	"-1.688"	"0.927"	"-0.59"	"-2.484"	"0.838"	"0.318"	"-0.542"	"0.716"	"0.264"	"-0.728"	"0.54"	"-1.395"	"-0.699"	"0.841"	"Exponential"	"0.927"
"Primates"	"411"	"-0.557"	"-0.349"	"0.826"	"-0.76"	"-0.037"	"0.428"	"0.262"	"-0.073"	"0.449"	"0.215"	"-0.006"	"0.122"	"-1.118"	"-0.714"	"0.788"	"Exponential"	"0.826"
"Primates other"	"364"	"-0.475"	"-0.546"	"0.952"	"-0.729"	"-0.115"	"0.6"	"0.276"	"-0.121"	"0.638"	"0.214"	"-0.02"	"0.239"	"-1.147"	"-0.746"	"0.752"	"Exponential"	"0.952"
"Hominidae not Hominini"	"29"	"-0.531"	"-0.977"	"0.969"	"-0.681"	"-0.855"	"0.821"	"0.259"	"-0.271"	"0.818"	"0.213"	"-0.215"	"0.567"	"-1.26"	"-0.591"	"0.856"	"Exponential"	"0.969"
"Hominini"	"22"	"-0.41"	"-0.106"	"0.832"	"-0.467"	"-0.012"	"0.725"	"0.397"	"-0.047"	"0.568"	"0.368"	"-0.005"	"0.428"	"-0.726"	"-0.361"	"0.851"	"Power"	"0.851"
"Primates"	"415"	"-0.588"	"-0.315"	"0.828"	"-0.772"	"-0.034"	"0.474"	"0.246"	"-0.062"	"0.434"	"0.206"	"-0.005"	"0.139"	"-1.124"	"-0.72"	"0.8"	"Exponential"	"0.828"
"Primates other"	"372"	"-0.509"	"-0.478"	"0.913"	"-0.744"	"-0.082"	"0.539"	"0.269"	"-0.104"	"0.581"	"0.213"	"-0.013"	"0.194"	"-1.145"	"-0.707"	"0.755"	"Exponential"	"0.913"
"Hominidae not Hominini"	"33"	"-0.527"	"-1.077"	"0.891"	"-0.641"	"-0.972"	"0.724"	"0.283"	"-0.32"	"0.627"	"0.245"	"-0.261"	"0.415"	"-1.329"	"-0.597"	"0.901"	"Power"	"0.901"
"Hominini"	"22"	"-0.435"	"-0.114"	"0.832"	"-0.512"	"-0.012"	"0.675"	"0.371"	"-0.047"	"0.559"	"0.336"	"-0.004"	"0.377"	"-0.733"	"-0.356"	"0.799"	"Exponential"	"0.832"
"Primates"	"427"	"-0.581"	"-0.324"	"0.842"	"-0.766"	"-0.036"	"0.487"	"0.25"	"-0.065"	"0.453"	"0.209"	"-0.005"	"0.146"	"-1.127"	"-0.685"	"0.79"	"Exponential"	"0.842"
"Primates other"	"376"	"-0.49"	"-0.517"	"0.941"	"-0.756"	"-0.095"	"0.548"	"0.271"	"-0.113"	"0.653"	"0.207"	"-0.016"	"0.217"	"-1.153"	"-0.706"	"0.749"	"Exponential"	"0.941"
"Hominini"	"22"	"-0.467"	"-0.102"	"0.917"	"-0.545"	"-0.011"	"0.798"	"0.333"	"-0.039"	"0.708"	"0.299"	"-0.004"	"0.523"	"-0.75"	"-0.311"	"0.776"	"Exponential"	"0.917"
"Hominidae not Hominini"	"32"	"-0.547"	"-1.013"	"0.936"	"-0.67"	"-0.92"	"0.789"	"0.262"	"-0.283"	"0.713"	"0.224"	"-0.234"	"0.499"	"-1.343"	"-0.64"	"0.928"	"Exponential"	"0.936"
"Primates"	"430"	"-0.588"	"-0.321"	"0.851"	"-0.785"	"-0.035"	"0.485"	"0.245"	"-0.064"	"0.477"	"0.202"	"-0.005"	"0.149"	"-1.13"	"-0.661"	"0.784"	"Exponential"	"0.851"
"Primates other"	"365"	"-0.488"	"-0.474"	"0.917"	"-0.725"	"-0.078"	"0.539"	"0.278"	"-0.105"	"0.594"	"0.22"	"-0.013"	"0.198"	"-1.117"	"-0.727"	"0.749"	"Exponential"	"0.917"
"Hominini"	"23"	"-0.471"	"-0.112"	"0.907"	"-0.55"	"-0.012"	"0.728"	"0.336"	"-0.042"	"0.657"	"0.302"	"-0.004"	"0.433"	"-0.801"	"-0.288"	"0.824"	"Exponential"	"0.907"
"Hominidae not Hominini"	"34"	"-0.612"	"-0.967"	"0.958"	"-0.728"	"-0.879"	"0.806"	"0.227"	"-0.24"	"0.757"	"0.195"	"-0.199"	"0.527"	"-1.338"	"-0.541"	"0.903"	"Exponential"	"0.958"
"Primates"	"422"	"-0.565"	"-0.325"	"0.866"	"-0.753"	"-0.037"	"0.513"	"0.253"	"-0.065"	"0.486"	"0.211"	"-0.006"	"0.164"	"-1.105"	"-0.686"	"0.78"	"Exponential"	"0.866"
"Primates other"	"366"	"-0.484"	"-0.513"	"0.938"	"-0.731"	"-0.102"	"0.603"	"0.276"	"-0.112"	"0.622"	"0.216"	"-0.017"	"0.235"	"-1.15"	"-0.736"	"0.756"	"Exponential"	"0.938"
"Hominidae not Hominini"	"29"	"-0.588"	"-0.92"	"0.924"	"-0.693"	"-0.881"	"0.826"	"0.241"	"-0.246"	"0.721"	"0.21"	"-0.219"	"0.559"	"-1.329"	"-0.601"	"0.908"	"Exponential"	"0.924"
"Hominini"	"22"	"-0.48"	"-0.111"	"0.919"	"-0.565"	"-0.012"	"0.73"	"0.327"	"-0.041"	"0.683"	"0.291"	"-0.004"	"0.445"	"-0.789"	"-0.367"	"0.896"	"Exponential"	"0.919"
"Primates"	"417"	"-0.575"	"-0.334"	"0.862"	"-0.777"	"-0.038"	"0.494"	"0.25"	"-0.067"	"0.48"	"0.206"	"-0.006"	"0.154"	"-1.136"	"-0.71"	"0.805"	"Exponential"	"0.862"
"Primates other"	"359"	"-0.487"	"-0.474"	"0.911"	"-0.731"	"-0.079"	"0.534"	"0.277"	"-0.106"	"0.593"	"0.217"	"-0.013"	"0.193"	"-1.099"	"-0.674"	"0.71"	"Exponential"	"0.911"
"Hominini"	"23"	"-0.455"	"-0.104"	"0.858"	"-0.509"	"-0.012"	"0.749"	"0.357"	"-0.042"	"0.614"	"0.331"	"-0.004"	"0.466"	"-0.789"	"-0.328"	"0.883"	"Power"	"0.883"
"Hominidae not Hominini"	"32"	"-0.534"	"-1.495"	"0.921"	"-0.641"	"-2.329"	"0.863"	"0.268"	"-0.431"	"0.748"	"0.234"	"-0.624"	"0.604"	"-1.416"	"-0.62"	"0.89"	"Exponential"	"0.921"
"Primates"	"414"	"-0.576"	"-0.311"	"0.842"	"-0.756"	"-0.036"	"0.513"	"0.25"	"-0.062"	"0.459"	"0.21"	"-0.005"	"0.16"	"-1.101"	"-0.675"	"0.773"	"Exponential"	"0.842"
"Primates other"	"367"	"-0.514"	"-0.473"	"0.914"	"-0.75"	"-0.079"	"0.533"	"0.265"	"-0.101"	"0.591"	"0.209"	"-0.013"	"0.191"	"-1.132"	"-0.656"	"0.724"	"Exponential"	"0.914"
"Hominini"	"21"	"-0.441"	"-0.11"	"0.903"	"-0.511"	"-0.012"	"0.729"	"0.364"	"-0.045"	"0.648"	"0.331"	"-0.004"	"0.433"	"-0.794"	"-0.304"	"0.894"	"Exponential"	"0.903"
"Hominidae not Hominini"	"30"	"-0.567"	"-0.937"	"0.974"	"-0.726"	"-0.806"	"0.862"	"0.232"	"-0.23"	"0.819"	"0.19"	"-0.183"	"0.622"	"-1.363"	"-0.777"	"0.95"	"Exponential"	"0.974"
"Primates"	"418"	"-0.588"	"-0.319"	"0.864"	"-0.775"	"-0.036"	"0.513"	"0.243"	"-0.062"	"0.477"	"0.202"	"-0.005"	"0.16"	"-1.124"	"-0.653"	"0.775"	"Exponential"	"0.864"
"Primates other"	"359"	"-0.534"	"-0.461"	"0.901"	"-0.764"	"-0.072"	"0.5"	"0.259"	"-0.096"	"0.573"	"0.206"	"-0.011"	"0.179"	"-1.162"	"-0.692"	"0.759"	"Exponential"	"0.901"
"Hominidae not Hominini"	"34"	"-0.68"	"-0.89"	"0.967"	"-0.791"	"-0.844"	"0.865"	"0.192"	"-0.192"	"0.808"	"0.165"	"-0.169"	"0.622"	"-1.378"	"-0.556"	"0.907"	"Exponential"	"0.967"
"Hominini"	"19"	"-0.403"	"-0.111"	"0.861"	"-0.478"	"-0.012"	"0.686"	"0.399"	"-0.05"	"0.597"	"0.36"	"-0.005"	"0.394"	"-0.718"	"-0.31"	"0.824"	"Exponential"	"0.861"
"Primates"	"412"	"-0.603"	"-0.315"	"0.848"	"-0.785"	"-0.035"	"0.496"	"0.238"	"-0.06"	"0.465"	"0.199"	"-0.005"	"0.155"	"-1.145"	"-0.678"	"0.797"	"Exponential"	"0.848"
"Primates other"	"358"	"-0.498"	"-0.501"	"0.898"	"-0.742"	"-0.077"	"0.462"	"0.279"	"-0.113"	"0.575"	"0.22"	"-0.013"	"0.164"	"-1.154"	"-0.699"	"0.753"	"Exponential"	"0.898"
"Hominidae not Hominini"	"29"	"-0.424"	"-1.617"	"0.984"	"-0.572"	"-2.432"	"0.906"	"0.322"	"-0.535"	"0.862"	"0.267"	"-0.733"	"0.659"	"-1.341"	"-0.662"	"0.869"	"Exponential"	"0.984"
"Hominini"	"22"	"-0.424"	"-0.106"	"0.876"	"-0.49"	"-0.012"	"0.753"	"0.378"	"-0.045"	"0.631"	"0.346"	"-0.005"	"0.46"	"-0.745"	"-0.309"	"0.823"	"Exponential"	"0.876"
"Primates"	"409"	"-0.583"	"-0.309"	"0.819"	"-0.756"	"-0.034"	"0.475"	"0.255"	"-0.063"	"0.431"	"0.216"	"-0.005"	"0.142"	"-1.132"	"-0.683"	"0.802"	"Exponential"	"0.819"
"Primates other"	"361"	"-0.498"	"-0.506"	"0.944"	"-0.743"	"-0.104"	"0.621"	"0.263"	"-0.108"	"0.64"	"0.205"	"-0.017"	"0.249"	"-1.14"	"-0.716"	"0.741"	"Exponential"	"0.944"
"Hominini"	"20"	"-0.407"	"-0.1"	"0.814"	"-0.456"	"-0.011"	"0.72"	"0.403"	"-0.046"	"0.563"	"0.377"	"-0.005"	"0.435"	"-0.736"	"-0.316"	"0.863"	"Power"	"0.863"
"Hominidae not Hominini"	"33"	"-0.72"	"-0.807"	"0.875"	"-0.805"	"-0.743"	"0.794"	"0.183"	"-0.17"	"0.66"	"0.164"	"-0.148"	"0.535"	"-1.446"	"-0.61"	"0.946"	"Power"	"0.946"
"Primates"	"414"	"-0.605"	"-0.308"	"0.844"	"-0.792"	"-0.034"	"0.497"	"0.235"	"-0.059"	"0.457"	"0.195"	"-0.005"	"0.15"	"-1.123"	"-0.664"	"0.775"	"Exponential"	"0.844"
"Primates other"	"362"	"-0.507"	"-0.513"	"0.966"	"-0.74"	"-0.119"	"0.686"	"0.257"	"-0.107"	"0.685"	"0.202"	"-0.019"	"0.297"	"-1.157"	"-0.681"	"0.737"	"Exponential"	"0.966"
"Hominidae not Hominini"	"32"	"-0.541"	"-1.036"	"0.961"	"-0.668"	"-0.944"	"0.793"	"0.265"	"-0.295"	"0.757"	"0.225"	"-0.241"	"0.504"	"-1.265"	"-0.514"	"0.862"	"Exponential"	"0.961"
"Hominini"	"22"	"-0.43"	"-0.102"	"0.802"	"-0.473"	"-0.011"	"0.703"	"0.387"	"-0.044"	"0.532"	"0.365"	"-0.005"	"0.41"	"-0.799"	"-0.318"	"0.913"	"Power"	"0.913"
"Primates"	"416"	"-0.621"	"-0.301"	"0.852"	"-0.806"	"-0.033"	"0.505"	"0.226"	"-0.055"	"0.471"	"0.189"	"-0.005"	"0.158"	"-1.144"	"-0.673"	"0.792"	"Exponential"	"0.852"
"Primates other"	"348"	"-0.474"	"-0.492"	"0.945"	"-0.702"	"-0.098"	"0.613"	"0.289"	"-0.114"	"0.625"	"0.229"	"-0.017"	"0.239"	"-1.125"	"-0.674"	"0.756"	"Exponential"	"0.945"
"Hominidae not Hominini"	"32"	"-0.616"	"-0.925"	"0.919"	"-0.71"	"-0.86"	"0.79"	"0.232"	"-0.239"	"0.696"	"0.205"	"-0.205"	"0.507"	"-1.325"	"-0.509"	"0.901"	"Exponential"	"0.919"
"Hominini"	"24"	"-0.516"	"-0.109"	"0.926"	"-0.601"	"-0.011"	"0.739"	"0.3"	"-0.037"	"0.694"	"0.268"	"-0.004"	"0.454"	"-0.834"	"-0.301"	"0.84"	"Exponential"	"0.926"
"Primates"	"404"	"-0.568"	"-0.325"	"0.874"	"-0.762"	"-0.037"	"0.506"	"0.255"	"-0.067"	"0.488"	"0.211"	"-0.006"	"0.158"	"-1.12"	"-0.663"	"0.798"	"Exponential"	"0.874"
"Hominidae not Hominini"	"36"	"-0.599"	"-1.004"	"0.955"	"-0.716"	"-0.93"	"0.802"	"0.234"	"-0.255"	"0.759"	"0.201"	"-0.213"	"0.518"	"-1.321"	"-0.51"	"0.878"	"Exponential"	"0.955"
"Primates other"	"370"	"-0.509"	"-0.484"	"0.902"	"-0.754"	"-0.079"	"0.51"	"0.268"	"-0.104"	"0.572"	"0.211"	"-0.013"	"0.182"	"-1.145"	"-0.713"	"0.74"	"Exponential"	"0.902"
"Hominini"	"21"	"-0.402"	"-0.121"	"0.813"	"-0.476"	"-0.012"	"0.611"	"0.407"	"-0.054"	"0.517"	"0.371"	"-0.005"	"0.318"	"-0.742"	"-0.376"	"0.868"	"Power"	"0.868"
