"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"InterceptSemilog2"	"SlopeSemilog2"	"R2Semilog2"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"IntereptPlain2"	"SlopePlain2"	"R2Plain2"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Artiodactyla"	"1836"	"-0.272"	"-0.336"	"0.995"	"-0.535"	"-0.055"	"0.824"	"0.397"	"-0.102"	"0.717"	"0.304"	"-0.013"	"0.358"	"-0.788"	"-0.755"	"0.696"	"Exponential"	"0.995"
"Perissodactyla"	"756"	"-0.196"	"-0.334"	"0.997"	"-0.448"	"-0.058"	"0.845"	"0.474"	"-0.125"	"0.778"	"0.364"	"-0.017"	"0.406"	"-0.716"	"-0.672"	"0.662"	"Exponential"	"0.997"
"Rodentia"	"2796"	"-0.331"	"-0.451"	"0.977"	"-0.639"	"-0.077"	"0.702"	"0.344"	"-0.115"	"0.644"	"0.255"	"-0.015"	"0.253"	"-0.948"	"-0.873"	"0.732"	"Exponential"	"0.977"
"Lagomorpha"	"239"	"-0.238"	"-0.402"	"0.986"	"-0.475"	"-0.091"	"0.84"	"0.44"	"-0.144"	"0.791"	"0.341"	"-0.026"	"0.436"	"-0.8"	"-0.605"	"0.641"	"Exponential"	"0.986"
"Proboscidea"	"181"	"-0.235"	"-0.217"	"0.986"	"-0.428"	"-0.032"	"0.922"	"0.455"	"-0.083"	"0.857"	"0.365"	"-0.01"	"0.551"	"-0.667"	"-0.487"	"0.604"	"Exponential"	"0.986"
"Primates"	"527"	"-0.538"	"-0.382"	"0.85"	"-0.743"	"-0.048"	"0.481"	"0.271"	"-0.082"	"0.461"	"0.223"	"-0.008"	"0.14"	"-1.13"	"-0.711"	"0.782"	"Exponential"	"0.85"
"Carnivora"	"1261"	"-0.346"	"-0.225"	"0.988"	"-0.574"	"-0.024"	"0.777"	"0.364"	"-0.064"	"0.667"	"0.288"	"-0.005"	"0.313"	"-0.753"	"-0.687"	"0.716"	"Exponential"	"0.988"
"Pilosa"	"55"	"-0.611"	"-0.396"	"0.946"	"-0.805"	"-0.136"	"0.905"	"0.189"	"-0.072"	"0.903"	"0.148"	"-0.022"	"0.677"	"-1.117"	"-0.383"	"0.528"	"Exponential"	"0.946"
"Cingulata"	"97"	"-0.475"	"-0.757"	"0.927"	"-0.66"	"-0.479"	"0.943"	"0.251"	"-0.169"	"0.907"	"0.2"	"-0.095"	"0.73"	"-1.241"	"-0.688"	"0.703"	"Exponential2"	"0.943"
"Eulipotyphla"	"675"	"-0.306"	"-0.491"	"0.959"	"-0.594"	"-0.093"	"0.651"	"0.384"	"-0.147"	"0.657"	"0.286"	"-0.02"	"0.243"	"-0.936"	"-0.722"	"0.69"	"Exponential"	"0.959"
"Didelphimorphia"	"56"	"-0.124"	"-0.768"	"0.933"	"-0.369"	"-0.434"	"0.962"	"0.483"	"-0.304"	"0.949"	"0.374"	"-0.157"	"0.813"	"-0.927"	"-1.036"	"0.756"	"Exponential2"	"0.962"
"Chiroptera"	"236"	"-0.462"	"-0.433"	"0.919"	"-0.714"	"-0.076"	"0.606"	"0.283"	"-0.1"	"0.601"	"0.219"	"-0.014"	"0.236"	"-1.019"	"-0.658"	"0.667"	"Exponential"	"0.919"
"Creodonta"	"131"	"-0.38"	"-0.673"	"0.905"	"-0.61"	"-0.2"	"0.603"	"0.364"	"-0.207"	"0.565"	"0.285"	"-0.049"	"0.237"	"-1.124"	"-0.764"	"0.792"	"Exponential"	"0.905"
"Hyracoidea"	"42"	"-0.48"	"-0.401"	"0.801"	"-0.537"	"-0.229"	"0.891"	"0.293"	"-0.128"	"0.921"	"0.269"	"-0.068"	"0.899"	"-0.982"	"-0.408"	"0.628"	"Linear"	"0.921"
"Condylarthra"	"226"	"-0.136"	"-0.843"	"0.935"	"-0.394"	"-0.465"	"0.96"	"0.461"	"-0.298"	"0.905"	"0.355"	"-0.144"	"0.708"	"-0.984"	"-0.914"	"0.661"	"Exponential2"	"0.96"
"Cimolesta"	"124"	"-0.106"	"-1.002"	"0.969"	"-0.416"	"-0.591"	"0.966"	"0.452"	"-0.334"	"0.879"	"0.335"	"-0.174"	"0.684"	"-1.082"	"-1.203"	"0.764"	"Exponential"	"0.969"
"Mesonychia"	"49"	"-0.359"	"-1.037"	"0.972"	"-0.547"	"-0.894"	"0.949"	"0.336"	"-0.322"	"0.91"	"0.268"	"-0.245"	"0.693"	"-1.148"	"-0.623"	"0.702"	"Exponential"	"0.972"
"Multituberculata"	"104"	"0.062"	"-0.821"	"0.844"	"-0.222"	"-0.459"	"0.936"	"0.606"	"-0.365"	"0.947"	"0.462"	"-0.186"	"0.872"	"-0.805"	"-1.179"	"0.641"	"Linear"	"0.947"
"Leptictida"	"30"	"-0.188"	"-0.884"	"0.916"	"-0.41"	"-0.648"	"0.967"	"0.429"	"-0.329"	"0.982"	"0.339"	"-0.226"	"0.911"	"-1.033"	"-1.044"	"0.779"	"Linear"	"0.982"
