"Order"	"Nsp"	"InterceptSemilog"	"SlopeSemilog"	"R2Semilog"	"InterceptSemilog2"	"SlopeSemilog2"	"R2Semilog2"	"IntereptPlain"	"SlopePlain"	"R2Plain"	"IntereptPlain2"	"SlopePlain2"	"R2Plain2"	"InterceptLoglog"	"SlopeLoglog"	"R2Loglog"	"BestModel"	"R2Best"
"Artiodactyla"	"1836"	"-0.411"	"-0.392"	"0.988"	"-0.652"	"-0.068"	"0.744"	"0.31"	"-0.095"	"0.678"	"0.243"	"-0.013"	"0.291"	"-0.971"	"-0.622"	"0.666"	"Exponential"	"0.988"
"Perissodactyla"	"756"	"-0.308"	"-0.381"	"0.995"	"-0.559"	"-0.074"	"0.825"	"0.37"	"-0.111"	"0.776"	"0.284"	"-0.017"	"0.394"	"-0.86"	"-0.657"	"0.655"	"Exponential"	"0.995"
"Rodentia"	"2796"	"-0.508"	"-0.501"	"0.976"	"-0.737"	"-0.11"	"0.727"	"0.255"	"-0.1"	"0.639"	"0.202"	"-0.017"	"0.272"	"-1.151"	"-0.679"	"0.718"	"Exponential"	"0.976"
"Lagomorpha"	"239"	"-0.352"	"-0.476"	"0.991"	"-0.566"	"-0.138"	"0.871"	"0.346"	"-0.137"	"0.813"	"0.273"	"-0.033"	"0.479"	"-0.956"	"-0.593"	"0.66"	"Exponential"	"0.991"
"Proboscidea"	"181"	"-0.355"	"-0.241"	"0.987"	"-0.557"	"-0.038"	"0.878"	"0.348"	"-0.072"	"0.843"	"0.277"	"-0.009"	"0.512"	"-0.799"	"-0.49"	"0.609"	"Exponential"	"0.987"
"Primates"	"527"	"-0.749"	"-0.386"	"0.816"	"-0.922"	"-0.047"	"0.427"	"0.173"	"-0.055"	"0.427"	"0.146"	"-0.005"	"0.121"	"-1.331"	"-0.617"	"0.774"	"Exponential"	"0.816"
"Carnivora"	"1261"	"-0.478"	"-0.247"	"0.984"	"-0.684"	"-0.03"	"0.77"	"0.278"	"-0.055"	"0.668"	"0.224"	"-0.005"	"0.315"	"-0.922"	"-0.596"	"0.691"	"Exponential"	"0.984"
"Eulipotyphla"	"675"	"-0.443"	"-0.594"	"0.976"	"-0.709"	"-0.147"	"0.689"	"0.281"	"-0.132"	"0.691"	"0.214"	"-0.025"	"0.278"	"-1.116"	"-0.675"	"0.679"	"Exponential"	"0.976"
"Didelphimorphia"	"56"	"-0.312"	"-0.989"	"0.898"	"-0.54"	"-0.779"	"0.93"	"0.326"	"-0.277"	"0.937"	"0.253"	"-0.197"	"0.794"	"-1.099"	"-0.615"	"0.537"	"Linear"	"0.937"
"Chiroptera"	"236"	"-0.725"	"-0.481"	"0.882"	"-0.943"	"-0.095"	"0.54"	"0.165"	"-0.068"	"0.559"	"0.131"	"-0.011"	"0.213"	"-1.295"	"-0.605"	"0.673"	"Exponential"	"0.882"
"Creodonta"	"131"	"-0.591"	"-0.816"	"0.96"	"-0.752"	"-0.496"	"0.857"	"0.219"	"-0.164"	"0.759"	"0.182"	"-0.087"	"0.521"	"-1.326"	"-0.603"	"0.748"	"Exponential"	"0.96"
"Condylarthra"	"226"	"-0.253"	"-1.112"	"0.953"	"-0.537"	"-0.774"	"0.966"	"0.335"	"-0.281"	"0.909"	"0.253"	"-0.172"	"0.71"	"-1.227"	"-0.996"	"0.684"	"Exponential2"	"0.966"
"Cimolesta"	"124"	"-0.268"	"-1.356"	"0.969"	"-0.586"	"-1.052"	"0.921"	"0.321"	"-0.33"	"0.85"	"0.235"	"-0.224"	"0.619"	"-1.344"	"-1.074"	"0.72"	"Exponential"	"0.969"
"Multituberculata"	"104"	"-0.052"	"-1.042"	"0.919"	"-0.37"	"-0.673"	"0.987"	"0.448"	"-0.334"	"0.968"	"0.333"	"-0.195"	"0.848"	"-1.071"	"-1.301"	"0.719"	"Exponential2"	"0.987"
