"SETON2012"	"MERDITH2021"	"MULLER2016"	"MULLER2019"	"MULLER2022"	"MATTHEWS2016_mantle_ref"	"MATTHEWS2016_pmag_ref"	"PALEOMAP"	"age"
-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	0
-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	-1.29	1
-1.3874	-1.754	-1.4705	-1.4657	-1.3814	-1.4727	-1.5251	-1.3538	2
-1.4851	-2.2183	-1.6508	-1.6419	-1.4729	-1.6551	-1.7605	-1.4172	3
-1.5832	-2.6843	-1.831	-1.82	-1.5658	-1.8385	-1.9976	-1.4827	4
-1.6736	-3.1543	-2.0109	-2.0021	-1.6622	-2.0251	-2.2385	-1.5479	5
-1.7619	-3.6269	-2.1907	-2.187	-1.7611	-2.2137	-2.4823	-1.6126	6
-1.8503	-4.1	-2.3703	-2.375	-1.8673	-2.402	-2.7264	-1.6537	7
-1.9388	-4.5747	-2.5498	-2.5649	-1.9749	-2.5913	-2.9722	-1.6886	8
-2.0275	-5.0497	-2.729	-2.7553	-2.0827	-2.7804	-3.2183	-1.723	9
-2.1163	-5.5234	-2.9081	-2.9446	-2.189	-2.9676	-3.4631	-1.7724	10
-2.2053	-5.9905	-3.087	-3.1276	-2.2888	-3.1479	-3.7014	-1.8105	11
-2.3304	-6.0845	-3.2579	-3.264	-2.3654	-3.3202	-3.9103	-1.847	12
-2.4766	-6.1623	-3.4287	-3.3845	-2.4263	-3.4769	-4.1029	-1.8834	13
-2.6229	-6.2401	-3.5992	-3.505	-2.4871	-3.6334	-4.2957	-1.9195	14
-2.7694	-6.318	-3.7697	-3.6253	-2.5478	-3.7896	-4.4886	-1.9555	15
-2.9159	-6.3961	-3.9399	-3.7456	-2.6084	-3.9456	-4.6815	-1.9913	16
-3.0625	-6.4742	-4.11	-3.867	-2.6648	-4.1014	-4.8746	-2.0263	17
-3.2092	-6.5385	-4.2798	-3.9732	-2.7057	-4.2408	-5.0538	-2.0611	18
-3.356	-6.5761	-4.4495	-4.0526	-2.7199	-4.3536	-5.2063	-2.0957	19
-3.503	-6.5869	-4.6191	-4.1053	-2.7073	-4.4396	-5.3321	-2.1302	20
-3.65	-6.6215	-4.7884	-4.1821	-2.7189	-4.5501	-5.4816	-2.1645	21
-3.8179	-6.8463	-4.9653	-4.3838	-2.8984	-4.7257	-5.6163	-2.3133	22
-3.9858	-7.0712	-5.1419	-4.5854	-3.0776	-4.9011	-5.7509	-2.4619	23
-4.1538	-7.2961	-5.3184	-4.7869	-3.2568	-5.0763	-5.8855	-2.6103	24
-4.3217	-7.521	-5.4946	-4.9882	-3.4357	-5.2513	-6.0201	-2.7586	25
-4.4896	-7.7459	-5.6707	-5.1894	-3.6145	-5.4261	-6.1547	-3.0118	26
-4.6575	-7.9707	-5.8465	-5.3919	-3.7769	-5.6007	-6.2893	-3.2638	27
-4.8254	-8.1956	-6.0221	-5.5944	-3.939	-5.7751	-6.4239	-3.5151	28
-4.9932	-8.4205	-6.1976	-5.7967	-4.1011	-5.9492	-6.5585	-3.7657	29
-5.1611	-8.6454	-6.3728	-5.9988	-4.263	-6.1232	-6.6931	-4.0156	30
-5.3289	-8.8703	-6.5478	-6.2008	-4.4247	-6.2969	-6.8276	-4.2647	31
-5.481	-9.4475	-6.715	-6.427	-4.6049	-6.4629	-7.0972	-4.5958	32
-5.6327	-10.0246	-6.882	-6.6531	-4.7849	-6.6287	-7.3667	-4.926	33
-5.7841	-10.6018	-7.0488	-6.8791	-4.9647	-6.7942	-7.6362	-5.2553	34
-5.9351	-11.179	-7.2154	-7.105	-5.1444	-6.9596	-7.9058	-5.5302	35
-6.0858	-11.7562	-7.3818	-7.3308	-5.3239	-7.1248	-8.1753	-5.8049	36
-6.2361	-12.3334	-7.548	-7.5569	-5.5059	-7.2898	-8.4448	-6.0791	37
-6.3861	-12.9106	-7.7141	-7.7829	-5.6876	-7.4545	-8.7143	-6.353	38
-6.5358	-13.4877	-7.8799	-8.0087	-5.869	-7.6191	-8.9839	-6.6267	39
-6.685	-14.0649	-8.0455	-8.2344	-6.0501	-7.7834	-9.2534	-6.9002	40
-6.834	-14.642	-8.2109	-8.4601	-6.2308	-7.9475	-9.5229	-7.1734	41
-7.077	-14.8119	-8.2876	-8.6759	-6.4022	-8.0231	-10.1033	-7.5415	42
-7.3202	-14.9817	-8.364	-8.8914	-6.5733	-8.0984	-10.6837	-7.9094	43
-7.5633	-15.1515	-8.4403	-9.1066	-6.7441	-8.1735	-11.2642	-8.2772	44
-7.8065	-15.3212	-8.5163	-9.3213	-6.9146	-8.2483	-11.8446	-8.6447	45
-8.0498	-15.4909	-8.5921	-9.5357	-7.0848	-8.323	-12.425	-9.012	46
-8.2931	-15.6605	-8.6677	-9.7503	-7.2899	-8.3974	-13.0055	-9.3815	47
-8.5364	-15.83	-8.7431	-9.9645	-7.4947	-8.4716	-13.5859	-9.7508	48
-8.7798	-15.9995	-8.8183	-10.1783	-7.6992	-8.5456	-14.1663	-10.1199	49
-9.0232	-16.1689	-8.8933	-10.3917	-7.9033	-8.6194	-14.7467	-10.4887	50
-9.2667	-16.3382	-8.968	-10.6048	-8.1072	-8.6929	-15.3271	-10.8574	0
