"SETON2012"	"MERDITH2021"	"MULLER2016"	"MULLER2019"	"MULLER2022"	"MATTHEWS2016_mantle_ref"	"MATTHEWS2016_pmag_ref"	"PALEOMAP"	"age"
36.82	36.82	36.82	36.82	36.82	36.82	36.82	36.82	0
36.82	36.82	36.82	36.82	36.82	36.82	36.82	36.82	1
36.6306	36.7857	36.705	36.5366	36.5254	36.6637	36.7848	36.6773	2
36.4413	36.7535	36.5897	36.2534	36.2308	36.5071	36.7506	36.5344	3
36.252	36.722	36.4741	35.9691	35.9348	36.3488	36.7161	36.3862	4
36.1173	36.689	36.3583	35.6813	35.6351	36.1864	36.6789	36.2379	5
35.998	36.6557	36.2421	35.3913	35.3329	36.0212	36.6404	36.0894	6
35.8788	36.6246	36.1257	35.1042	35.0619	35.8557	36.6029	35.9866	7
35.7597	36.6	36.0089	34.8216	34.7952	35.6941	36.5709	35.8952	8
35.6407	36.5776	35.8919	34.5392	34.5286	35.5322	36.5399	35.8037	9
35.5217	36.5585	35.7746	34.2583	34.2631	35.3711	36.5112	35.6277	10
35.4029	36.5459	35.6569	33.9821	34.0023	35.2144	36.4879	35.4669	11
35.2764	36.517	35.5441	33.7281	33.7519	35.0626	36.4598	35.3605	12
35.134	36.5028	35.431	33.489	33.5167	34.926	36.4466	35.2541	13
34.9916	36.4888	35.3177	33.2498	33.2814	34.7891	36.4338	35.1477	14
34.8493	36.4748	35.204	33.0106	33.046	34.6519	36.4214	35.0412	15
34.7071	36.461	35.0901	32.7712	32.8106	34.5145	36.4094	34.9348	16
34.565	36.4473	34.9759	32.5326	32.575	34.3768	36.3978	34.8284	17
34.423	36.4083	34.8614	32.2693	32.3149	34.2148	36.3612	34.7221	18
34.281	36.374	34.7466	32.0119	32.0612	34.0597	36.3297	34.6158	19
34.1391	36.3444	34.6315	31.7605	31.8139	33.9116	36.303	34.5094	20
33.9973	36.327	34.5161	31.5201	31.5772	33.7733	36.2888	34.403	21
33.8653	36.3325	34.3951	31.2872	31.4012	33.6526	36.2955	34.2144	22
33.7332	36.3378	34.2739	31.0541	31.2251	33.5315	36.3023	34.0256	23
33.601	36.3431	34.1523	30.8209	31.0487	33.4101	36.3093	33.8368	24
33.4689	36.3483	34.0303	30.5874	30.8722	33.2884	36.3163	33.6479	25
33.3367	36.3533	33.9081	30.3538	30.6955	33.1663	36.3234	33.4144	26
33.2044	36.3583	33.7855	30.1213	30.5677	33.0439	36.3307	33.1802	27
33.0721	36.3631	33.6625	29.8886	30.4397	32.9212	36.338	32.9456	28
32.9397	36.3678	33.5393	29.6557	30.3115	32.7981	36.3454	32.7104	29
32.8073	36.3724	33.4157	29.4226	30.1831	32.6747	36.3529	32.4747	30
32.6749	36.377	33.2917	29.1892	30.0545	32.5509	36.3605	32.2385	31
32.5188	36.3822	33.1728	29.0784	29.96	32.4322	36.3717	31.9922	32
32.3623	36.3861	33.0536	28.9673	29.8651	32.3132	36.383	31.7451	33
32.2055	36.3885	32.9341	28.8559	29.7699	32.1938	36.3944	31.4971	34
32.0483	36.3896	32.8142	28.7443	29.6744	32.0741	36.406	31.292	35
31.8907	36.3893	32.694	28.6324	29.5785	31.9541	36.4176	31.0864	36
31.7328	36.3876	32.5735	28.5213	29.4462	31.8338	36.4293	30.8815	37
31.5744	36.3844	32.4527	28.4099	29.3135	31.7131	36.4411	30.6761	38
31.4157	36.3799	32.3315	28.2982	29.1803	31.5921	36.453	30.4703	39
31.2566	36.3738	32.21	28.1862	29.0466	31.4708	36.465	30.264	40
31.0971	36.3664	32.0882	28.0739	28.9123	31.3491	36.4772	30.0573	41
31.0501	36.3464	31.9516	27.8602	28.7609	31.2127	36.4833	29.9613	42
31.0033	36.3259	31.8148	27.6461	28.6091	31.0762	36.4877	29.8644	43
30.9567	36.3049	31.6778	27.4314	28.4569	30.9396	36.4905	29.7667	44
30.9103	36.2834	31.5407	27.2163	28.3043	30.8028	36.4915	29.6681	45
30.8641	36.2613	31.4035	27.0006	28.1514	30.6658	36.4909	29.5687	46
30.8182	36.2387	31.2661	26.7852	27.9427	30.5288	36.4885	29.4715	47
30.7724	36.2156	31.1286	26.5693	27.7336	30.3915	36.4843	29.3735	48
30.7269	36.1919	30.9909	26.3528	27.5241	30.2541	36.4784	29.2746	49
30.6815	36.1677	30.8531	26.1358	27.3141	30.1166	36.4708	29.1748	50
30.6364	36.143	30.7151	25.9183	27.1037	29.9789	36.4613	29.0741	0
