"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"	"sp_pal_area_sq"
24548	Artiodactyla	Cainotheriidae		Microtherium	renggeri	Microtherium	NA	NA	S2300	Microtherium	1	1	0	13.52	13.52	0	0	0	47.383	47.383	8.05	8.05	0	0
27190	Artiodactyla	Bachitheriidae		Bachitherium	insigne	Bachitherium	36000	bra	NA	Bachitherium	39	4	11.13	31.73	20.6	1.2072411504	0.947684303064	1.09874526183279	48.935721	40.717	11.3666666666667	-0.55	5.115	1.0268617104
21848	Perissodactyla	Equidae	Equinae	Equus	indet.	Equus	NA	hyp	L2320	Equus	1133	59	5.41	5.41	0	398.391242967	312.737125729095	19.9597405535994	75.3	-39.0025	160	-122.893056	1.53	394.645190769
25034	Perissodactyla	Rhinocerotidae		Coelodonta	antiquitatis	Coelodonta	1837313	hyp	L2222	Coelodonta	250	19	3.89	3.89	0	90.6953344128	71.195837514048	9.52340981018878	71.25	31.5652777777778	179.66	-5.85	1.6	93.1181432454
25173	Artiodactyla	Bovidae	Bovinae	Bos	primigenius	Bos	1059726	hyp	L2220	Bos	290	44	3.96	3.96	0	145.7951975613	114.449230085621	12.07456821428	60.69	-25.2	129.771177	-8	0.135	145.7951975613
29944	Artiodactyla	Bovidae	Antilopini	Gazella	prjewalskyi	Gazella	NA	NA	L2220	Gazella	629	45	15.7	15.7	0	143.319251952	112.50561278232	11.97160189582	52.45	-34.15	126.316666666667	-8	0.818	146.2485253464
21244	Rodentia	Muridae	Murinae	Stephanomys	donnezani	Stephanomys	NA	NA	NA	Stephanomys	127	4	6.74	7.35	0.61	15.945271434	12.51703807569	3.99315306919231	47.333	36.733	115.916666666667	-6.1724551	3.7125	15.9236037234
21245	Rodentia	Muridae	Murinae	Castillomys	crusafonti	Castillomys	NA	NA	NA	Castillomys	65	6	5.24	6.2	0.96	5.9034038535	4.6341720249975	2.42969213142324	44.7	31.033	28.48	-6.567	5.24	6.4521577836
21359	Rodentia	Muridae	Arvicolinae	Mimomys	indet.	Mimomys	50	hyp	NA	Mimomys	380	24	4.79	5.15	0.36	73.202658732	57.46408710462	8.55585523089305	54.6	27.8	121.688888888889	-100	1.67	70.9605952731
22325	Lagomorpha	Ochotonidae		Prolagus	ibericus	Prolagus	NA	NA	NA	Prolagus	647	19	20.75	21.15	0.4	12.172359456	9.55530217296	3.48889086329739	51.117	31.033	40.0285148620605	-9.1713628	9.60166666666667	11.94077394
