"species"	"hexcount"
"Cabassous"	"5361"
"Calyptophractus"	"155"
"Chaetophractus"	"1504"
"Chlamyphorus"	"235"
"Dasypus"	"10092"
"Doedicurus"	"311"
"Euphractus"	"3321"
"Eutatus"	"954"
"Glyptodon"	"2723"
"Glyptotherium"	"7798"
"Holmesina"	"6559"
"Hoplophorus"	"4009"
"Neosclerocalyptus"	"1006"
"Neuryurus"	"2195"
"Pachyarmatherium"	"1692"
"Pampatherium"	"5555"
"Panochthus"	"1427"
"Priodontes"	"4080"
"Propraopus"	"1353"
"Tolypeutes"	"1083"
"Zaedyus"	"672"
