"species"	"hexcount"
"Acerodon"	"674"
"Aethalops"	"328"
"Alionycteris"	"18"
"Ametrida"	"2530"
"Amorphochilus"	"232"
"Anoura"	"4653"
"Anthops"	"58"
"Antrozous"	"2057"
"Aproteles"	"24"
"Ardops"	"40"
"Arielulus"	"341"
"Ariteus"	"14"
"Artibeus"	"6802"
"Asellia"	"7345"
"Aselliscus"	"1174"
"Austronomus"	"2790"
"Balantiopteryx"	"560"
"Balionycteris"	"387"
"Barbastella"	"4165"
"Bauerus"	"173"
"Brachyphylla"	"301"
"Cardioderma"	"1102"
"Carollia"	"6002"
"Casinycteris"	"780"
"Centronycteris"	"3626"
"Centurio"	"1183"
"Chaerephon"	"9060"
"Chalinolobus"	"3733"
"Cheiromeles"	"1354"
"Chilonatalus"	"238"
"Chiroderma"	"5873"
"Chironax"	"234"
"Choeroniscus"	"3237"
"Choeronycteris"	"959"
"Chrotopterus"	"5743"
"Cistugo"	"261"
"Cloeotis"	"323"
"Coelops"	"1608"
"Coleura"	"1780"
"Cormura"	"3386"
"Corynorhinus"	"2902"
"Craseonycteris"	"25"
"Cynomops"	"5705"
"Cynopterus"	"4351"
"Cyttarops"	"468"
"Dermanura"	"5622"
"Desmodus"	"12139"
"Diaemus"	"5672"
"Diclidurus"	"5470"
"Diphylla"	"3810"
"Dobsonia"	"1312"
"Dyacopterus"	"430"
"Ectophylla"	"92"
"Eidolon"	"5552"
"Emballonura"	"2118"
"Enchisthenes"	"1725"
"Eonycteris"	"2540"
"Epomophorus"	"5036"
"Epomops"	"2967"
"Eptesicus"	"28061"
"Erophylla"	"265"
"Euderma"	"1001"
"Eudiscopus"	"56"
"Eumops"	"7529"
"Falsistrellus"	"905"
"Furipterus"	"4299"
"Glauconycteris"	"4851"
"Glischropus"	"1388"
"Glossophaga"	"6608"
"Glyphonycteris"	"3441"
"Haplonycteris"	"279"
"Harpiocephalus"	"769"
"Harpiola"	"50"
"Harpyionycteris"	"375"
"Hesperoptenus"	"916"
"Hipposideros"	"13559"
"Histiotus"	"3965"
"Hylonycteris"	"144"
"Hypsignathus"	"1542"
"Hypsugo"	"3033"
"Ia"	"854"
"Idionycteris"	"695"
"Kerivoula"	"7483"
"Laephotis"	"1261"
"Lampronycteris"	"1870"
"Lasionycteris"	"4561"
"Lasiurus"	"14070"
"Latidens"	"20"
"Lavia"	"3560"
"Leptonycteris"	"1331"
"Lichonycteris"	"3416"
"Lionycteris"	"3113"
"Lissonycteris"	"3983"
"Lonchophylla"	"3812"
