"species"	"hexcount"
"Aztlanolagus"	"857"
"Brachylagus"	"300"
"Bunolagus"	"67"
"Caprolagus"	"107"
"Lepus"	"38466"
"Nesolagus"	"85"
"Ochotona"	"11375"
"Oryctolagus"	"451"
"Pentalagus"	"11"
"Poelagus"	"156"
"Prolagus"	"32"
"Pronolagus"	"975"
"Romerolagus"	"10"
"Sylvilagus"	"9176"
