"species"	"hexcount"
"Ceratotherium"	"1538"
"Coelodonta"	"7189"
"Dicerorhinus"	"2335"
"Diceros"	"4908"
"Elasmotherium"	"1595"
"Equus"	"39909"
"Hippidion"	"5211"
"Rhinoceros"	"1778"
"Stephanorhinus"	"10049"
"Tapirus"	"12816"
