"species"	"hexcount"
"Antechinomys"	"1231"
"Antechinus"	"824"
"Dasycercus"	"1110"
"Dasykaluta"	"222"
"Dasyuroides"	"164"
"Dasyurus"	"3783"
"Murexia"	"348"
"Myoictis"	"345"
"Myrmecobius"	"860"
"Neophascogale"	"106"
"Ningaui"	"1377"
"Parantechinus"	"43"
"Phascogale"	"1886"
"Phascolosorex"	"182"
"Planigale"	"1724"
"Pseudantechinus"	"1116"
"Sarcophilus"	"1394"
"Sminthopsis"	"3331"
"Thylacinus"	"3588"
