"species"	"hexcount"	"area"
"Dendrohyrax_arboreus_Centroid"	"1234"	"782.827889945904"
"Dendrohyrax_dorsalis_Centroid"	"1459"	"822.335880732795"
"Dendrohyrax_validus_Centroid"	"79"	"36.42537627986"
"Heterohyrax_brucei_Centroid"	"2739"	"1854.20388242481"
"Procavia_capensis_Centroid"	"7211"	"5297.4467787499"
