"species"	"hexcount"
"Oreotragus_oreotragus_Centroid"	2717
"Oryx_beisa_Centroid"	611
"Oryx_gazella_Centroid"	851
"Oryx_leucoryx_Centroid"	67
"Ourebia_ourebi_Centroid"	3780
"Ovibos_moschatus_Centroid"	1530
"Ovis_ammon_Centroid"	2213
"Ovis_canadensis_Centroid"	973
"Ovis_dalli_Centroid"	668
"Ovis_nivicola_Centroid"	1073
"Ovis_orientalis_Centroid"	1349
"Ozotoceros_bezoarticus_Centroid"	489
"Pantholops_hodgsonii_Centroid"	526
"Pecari_tajacu_Centroid"	6801
"Pelea_capreolus_Centroid"	355
"Phacochoerus_aethiopicus_Centroid"	361
"Phacochoerus_africanus_Centroid"	5098
"Philantomba_maxwellii_Centroid"	452
"Philantomba_monticola_Centroid"	2963
"Philantomba_walteri_Centroid"	144
"Porcula_salvania_Centroid"	13
"Potamochoerus_larvatus_Centroid"	2896
"Potamochoerus_porcus_Centroid"	2206
"Procapra_gutturosa_Centroid"	400
"Procapra_picticaudata_Centroid"	1083
"Procapra_przewalskii_Centroid"	18
"Pseudois_nayaur_Centroid"	1301
"Pseudoryx_nghetinhensis_Centroid"	43
"Pudu_mephistophiles_Centroid"	170
"Pudu_puda_Centroid"	148
"Rangifer_tarandus_Centroid"	9753
"Raphicerus_campestris_Centroid"	1896
"Raphicerus_melanotis_Centroid"	161
"Raphicerus_sharpei_Centroid"	1153
"Redunca_arundinum_Centroid"	2243
"Redunca_fulvorufula_Centroid"	660
"Redunca_redunca_Centroid"	2711
"Rucervus_duvaucelii_Centroid"	67
"Rucervus_eldii_Centroid"	113
"Rupicapra_pyrenaica_Centroid"	47
"Rupicapra_rupicapra_Centroid"	465
"Rusa_alfredi_Centroid"	26
"Rusa_marianna_Centroid"	224
"Rusa_timorensis_Centroid"	38
"Rusa_unicolor_Centroid"	3827
"Saiga_tatarica_Centroid"	487
"Sus_ahoenobarbus_Centroid"	43
"Sus_barbatus_Centroid"	460
"Sus_cebifrons_Centroid"	35
"Sus_celebensis_Centroid"	196
"Sus_oliveri_Centroid"	15
"Sus_philippensis_Centroid"	175
"Sus_scrofa_Centroid"	13588
"Sus_verrucosus_Centroid"	45
"Sylvicapra_grimmia_Centroid"	5998
"Syncerus_caffer_Centroid"	4069
"Tayassu_pecari_Centroid"	5222
"Tetracerus_quadricornis_Centroid"	952
"Tragelaphus_angasii_Centroid"	243
"Tragelaphus_buxtoni_Centroid"	31
"Tragelaphus_derbianus_Centroid"	256
"Tragelaphus_eurycerus_Centroid"	1104
"Tragelaphus_imberbis_Centroid"	784
"Tragelaphus_oryx_Centroid"	3046
"Tragelaphus_scriptus_Centroid"	5608
"Tragelaphus_spekii_Centroid"	2177
"Tragelaphus_strepsiceros_Centroid"	3045
"Tragulus_javanicus_Centroid"	120
"Tragulus_kanchil_Centroid"	1408
"Tragulus_napu_Centroid"	933
"Tragulus_nigricans_Centroid"	7
"Tragulus_versicolor_Centroid"	20
"Tragulus_williamsoni_Centroid"	7
"Vicugna_vicugna_Centroid"	500
"Ceratotherium_simum_Centroid"	1166
"Dicerorhinus_sumatrensis_Centroid"	36
"Diceros_bicornis_Centroid"	2778
"Equus_africanus_Centroid"	64
"Equus_ferus_Centroid"	62
"Equus_grevyi_Centroid"	83
"Equus_hemionus_Centroid"	403
"Equus_kiang_Centroid"	865
"Equus_quagga_Centroid"	1440
"Equus_zebra_Centroid"	268
"Rhinoceros_sondaicus_Centroid"	11
"Rhinoceros_unicornis_Centroid"	46
"Tapirus_bairdii_Centroid"	511
"Tapirus_indicus_Centroid"	264
"Tapirus_pinchaque_Centroid"	116
"Tapirus_terrestris_Centroid"	4969
"Elephas_maximus_Centroid"	1116
"Loxodonta_africana_Centroid"	3381
