"species"	"hexcount"	"area"
"Elephantulus"	"3690"	"4434.97405525218"
"Macroscelides"	"347"	"246.654238521937"
"Petrodromus"	"1558"	"807.90671964016"
"Rhynchocyon"	"966"	"577.119061548685"
