"species"	"hexcount"
"Mazama_gouazoubira_Centroid"	2585
"Mazama_nana_Centroid"	241
"Mazama_nemorivaga_Centroid"	3306
"Mazama_pandora_Centroid"	103
"Mazama_rufina_Centroid"	104
"Mazama_temama_Centroid"	545
"Megaceroides_algericus_Centroid"	279
"Megaloceros_giganteus_Centroid"	6936
"Megalotragus_priscus_Centroid"	460
"Megalovis_guangxiensis_Centroid"	579
"Metridiochoerus_compactus_Centroid"	2221
"Morenelaphus_brachyceros_Centroid"	2195
"Morenelaphus_lujanensis_Centroid"	4894
"Moschiola_indica_Centroid"	949
"Moschiola_kathygre_Centroid"	19
"Moschiola_meminna_Centroid"	50
"Moschus_anhuiensis_Centroid"	16
"Moschus_berezovskii_Centroid"	765
"Moschus_chrysogaster_Centroid"	697
"Moschus_cupreus_Centroid"	96
"Moschus_fuscus_Centroid"	162
"Moschus_leucogaster_Centroid"	174
"Moschus_moschiferus_Centroid"	3320
"Muknalia_minima_Centroid"	1663
"Muntiacus_atherodes_Centroid"	396
"Muntiacus_crinifrons_Centroid"	360
"Muntiacus_feae_Centroid"	73
"Muntiacus_gongshanensis_Centroid"	149
"Muntiacus_montanus_Centroid"	118
"Muntiacus_muntjak_Centroid"	943
"Muntiacus_putaoensis_Centroid"	87
"Muntiacus_reevesi_Centroid"	1021
"Muntiacus_rooseveltorum_Centroid"	291
"Muntiacus_truongsonensis_Centroid"	214
"Muntiacus_vaginalis_Centroid"	2812
"Muntiacus_vuquangensis_Centroid"	130
"Mylohyus_nasutus_Centroid"	3678
"Myotragus_balearicus_Centroid"	17
"Naemorhedus_baileyi_Centroid"	155
"Naemorhedus_caudatus_Centroid"	239
"Naemorhedus_goral_Centroid"	233
"Naemorhedus_griseus_Centroid"	1398
"Nanger_dama_Centroid"	2308
"Nanger_granti_Centroid"	439
"Nanger_soemmerringii_Centroid"	324
"Navahoceros_fricki_Centroid"	4520
"Neotragus_batesi_Centroid"	471
"Neotragus_pygmaeus_Centroid"	269
"Nesotragus_moschatus_Centroid"	760
"Nilgiritragus_hylocrius_Centroid"	41
"Odocoileus_hemionus_Centroid"	3581
"Odocoileus_virginianus_Centroid"	6839
"Okapia_johnstoni_Centroid"	183
"Oreamnos_americanus_Centroid"	983
"Oreamnos_harringtoni_Centroid"	1497
"Oreotragus_oreotragus_Centroid"	2717
"Oryx_beisa_Centroid"	1200
"Oryx_dammah_Centroid"	2267
"Oryx_gazella_Centroid"	851
"Oryx_leucoryx_Centroid"	1188
"Ourebia_ourebi_Centroid"	3780
"Ovibos_moschatus_Centroid"	4110
"Ovis_ammon_Centroid"	2266
"Ovis_canadensis_Centroid"	1517
"Ovis_dalli_Centroid"	668
"Ovis_nivicola_Centroid"	1073
"Ovis_orientalis_Centroid"	1597
"Ozotoceros_bezoarticus_Centroid"	2543
"Palaeolama_major_Centroid"	4779
"Palaeolama_mirifica_Centroid"	1095
"Palaeolama_weddeli_Centroid"	545
"Pantholops_hodgsonii_Centroid"	544
"Paraceros_fragilis_Centroid"	2195
"Pecari_tajacu_Centroid"	7032
"Pelea_capreolus_Centroid"	355
"Pelorovis_antiquus_Centroid"	1427
"Phacochoerus_aethiopicus_Centroid"	361
"Phacochoerus_africanus_Centroid"	5098
"Phanourios_minutes_Centroid"	23
"Philantomba_maxwellii_Centroid"	452
"Philantomba_monticola_Centroid"	2963
"Philantomba_walteri_Centroid"	144
"Platygonus_compressus_Centroid"	5160
"Porcula_salvania_Centroid"	31
"Potamochoerus_larvatus_Centroid"	2896
"Potamochoerus_porcus_Centroid"	2206
"Praemegaceros_cazioti_Centroid"	32
"Procapra_gutturosa_Centroid"	400
"Procapra_picticaudata_Centroid"	1083
"Procapra_przewalskii_Centroid"	215
"Pseudois_nayaur_Centroid"	1301
"Pseudoryx_nghetinhensis_Centroid"	46
"Pudu_mephistophiles_Centroid"	170
"Pudu_puda_Centroid"	148
"Rangifer_tarandus_Centroid"	14992
"Raphicerus_campestris_Centroid"	2024
"Raphicerus_melanotis_Centroid"	161
"Raphicerus_sharpei_Centroid"	1153
"Redunca_arundinum_Centroid"	2243
"Redunca_fulvorufula_Centroid"	660
"Redunca_redunca_Centroid"	2711
